time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T10:06:35.4260000Z,2021-06-10T23:59:58.3500000Z,12.22,17.0,10.0,13.25,1196048.82996295,58112
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:03.3680000Z,2021-06-11T23:59:24.2540000Z,13.25,18.3,11.78,11.96,2412372.49,155345
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:14.3590000Z,2021-06-12T23:59:52.2160000Z,11.99,12.26,10.58,11.21,301907.87,17241
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:39.2730000Z,2021-06-13T23:59:47.9430000Z,11.23,11.31,9.56,10.48,314750.92,16103
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:05.5150000Z,2021-06-14T23:59:38.3190000Z,10.49,12.16,10.0,10.38,289390.38,15727
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:26.7450000Z,2021-06-15T23:58:02.1670000Z,10.38,11.13,10.2,10.71,140956.62,8528
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:47.0170000Z,2021-06-16T23:58:40.3430000Z,10.72,11.2,8.98,9.17,164315.51,8763
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:16.6510000Z,2021-06-17T23:58:50.0550000Z,9.17,10.0,8.26,8.42,147401.91,5827
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:02.2650000Z,2021-06-18T23:59:26.6300000Z,8.44,8.87,7.61,7.97,142087.51,4962
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:03.9310000Z,2021-06-19T23:53:12.4200000Z,7.99,8.36,7.83,8.0,100451.11,2421
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:04:05.5250000Z,2021-06-20T23:56:14.9670000Z,8.0,8.11,6.71,7.46,143463.64,3101
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:23.4090000Z,2021-06-21T23:58:59.3370000Z,7.42,7.7,5.44,5.5,160734.35,4303
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:32.8580000Z,2021-06-22T23:58:42.1910000Z,5.49,6.17,4.63,5.27,124794.43,3091
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:45.8960000Z,2021-06-23T23:59:35.9500000Z,5.24,6.27,5.12,5.74,90566.05,2576
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:25.9370000Z,2021-06-24T23:57:43.8220000Z,5.72,6.13,5.27,5.68,108863.6,2087
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:16.1460000Z,2021-06-25T23:59:58.6610000Z,5.71,6.89,5.59,5.74,352573.18,6078
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:06.6390000Z,2021-06-26T23:57:55.6200000Z,5.71,6.19,5.28,5.79,197770.97,2449
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:02.1090000Z,2021-06-27T23:59:33.4260000Z,5.81,7.65,5.58,7.22,856845.99,13875
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:00:17.7670000Z,2021-06-28T23:58:42.1460000Z,7.23,8.8,7.14,7.44,808977.01,26139
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:14.4940000Z,2021-06-29T23:59:43.1690000Z,7.44,9.01,7.36,8.44,201850.41,7445
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:49.4830000Z,2021-06-30T23:59:57.6730000Z,8.47,9.1,7.2,7.73,261585.3,6388
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:22.5190000Z,2021-07-01T23:57:06.9030000Z,7.76,7.76,6.69,7.09,214110.16,4409
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:01:25.5180000Z,2021-07-02T23:58:42.7650000Z,7.04,7.36,6.4,6.86,117694.72,2504
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:00:35.5220000Z,2021-07-03T23:59:56.1470000Z,6.86,7.85,6.7,7.37,215682.21,4442
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:00:38.6820000Z,2021-07-04T23:55:40.4840000Z,7.37,7.79,6.96,7.25,118833.16,2431
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:00:17.5570000Z,2021-07-05T23:59:21.6270000Z,7.22,7.28,6.61,6.83,107067.02,2683
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:01:47.3830000Z,2021-07-06T23:58:01.0460000Z,6.88,7.41,6.85,7.17,201160.3,2504
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:02:12.7980000Z,2021-07-07T23:58:56.4450000Z,7.11,7.48,6.96,6.98,81371.0,1747
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:28.0490000Z,2021-07-08T23:55:52.2870000Z,6.97,7.0,6.24,6.5,114226.14,2315
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:00:42.1340000Z,2021-07-09T23:58:40.6610000Z,6.51,6.68,6.16,6.45,72101.1,1373
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:03:43.0010000Z,2021-07-10T23:53:44.8060000Z,6.52,6.73,6.16,6.32,57021.21,1216
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:04:33.9670000Z,2021-07-11T23:52:11.8110000Z,6.33,6.56,6.27,6.34,33380.72,642
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:02:23.9560000Z,2021-07-12T23:59:37.2140000Z,6.34,6.45,5.88,6.12,96968.02,1092
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:00:07.2080000Z,2021-07-13T23:57:03.4630000Z,6.11,6.27,5.55,5.74,163164.51,2022
