time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T07:23:21.6650000Z,2021-04-16T23:59:47.4530000Z,0.01876,0.0196,0.01865,0.01915,3507453.3,401
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:11.4200000Z,2021-04-17T23:59:44.5260000Z,0.01918,0.02181,0.01858,0.01881,176305268.2,13035
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:01.4590000Z,2021-04-18T23:59:48.8250000Z,0.01886,0.01904,0.01,0.01703,126393169.7,12077
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:09.1000000Z,2021-04-19T23:59:40.2890000Z,0.01713,0.01853,0.0155,0.01583,101836339.4,9967
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:02:05.5830000Z,2021-04-20T01:59:57.8130000Z,0.01578,0.01578,0.01375,0.0146,27232199.9,1971
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:07.1190000Z,2021-04-21T23:59:59.4900000Z,0.01607,0.01707,0.0147,0.01492,92181243.5,7932
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:15.6620000Z,2021-04-22T23:59:51.0220000Z,0.01494,0.01548,0.0115,0.0127,129320542.3,8657
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:25.5780000Z,2021-04-23T23:59:54.1080000Z,0.01266,0.0139,0.00882,0.01284,304675724.8,15369
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:04.3910000Z,2021-04-24T23:59:46.5240000Z,0.01277,0.0154,0.01174,0.01211,278930218.6,16596
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:02.9980000Z,2021-04-25T03:59:14.0750000Z,0.01211,0.01262,0.01199,0.01212,16768349.1,869
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:03.8330000Z,2021-04-26T23:59:33.1230000Z,0.01176,0.0149,0.01162,0.01403,216604974.6,16070
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:20.1480000Z,2021-04-27T23:59:44.8080000Z,0.01397,0.01768,0.01354,0.01651,427596719.1,35977
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:10.8730000Z,2021-04-28T23:59:38.6940000Z,0.01651,0.01737,0.01426,0.0159,325060532.5,27472
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:00:26.7690000Z,2021-04-29T23:58:00.0880000Z,0.0159,0.01643,0.01481,0.0154,227984758.0,19284
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:03.4280000Z,2021-04-30T23:59:48.8230000Z,0.01538,0.01636,0.01507,0.01611,180513422.2,18553
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:23.5170000Z,2021-05-01T23:59:37.4480000Z,0.01609,0.017,0.0157,0.01622,257545858.9,24322
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:00:40.0650000Z,2021-05-02T23:59:06.2570000Z,0.01624,0.0163,0.01495,0.01556,130537629.2,17250
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:00:20.1200000Z,2021-05-03T23:59:08.0850000Z,0.01556,0.01625,0.01456,0.01529,148531770.5,18332
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:01:31.9920000Z,2021-05-04T23:58:57.6930000Z,0.01529,0.01553,0.01315,0.01352,185195945.1,18358
