time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-11T00:00:00.0000000Z,2021-05-12T00:00:00.0000000Z,2021-05-11T01:28:01.4640000Z,2021-05-11T23:59:57.5670000Z,397.1,1200.0,335.81,364.93,240553.37,161423
2021-05-12T00:00:00.0000000Z,2021-05-13T00:00:00.0000000Z,2021-05-12T00:00:00.1730000Z,2021-05-12T23:59:58.7130000Z,367.1,388.46,254.52,257.11,156389.29,91915
2021-05-13T00:00:00.0000000Z,2021-05-14T00:00:00.0000000Z,2021-05-13T00:00:01.2290000Z,2021-05-13T23:59:56.0740000Z,256.35,346.88,251.57,302.06,118569.58,63550
2021-05-14T00:00:00.0000000Z,2021-05-15T00:00:00.0000000Z,2021-05-14T00:00:06.9220000Z,2021-05-14T23:59:58.4350000Z,301.0,343.49,291.0,304.15,62094.72,34993
2021-05-15T00:00:00.0000000Z,2021-05-16T00:00:00.0000000Z,2021-05-15T00:00:28.1430000Z,2021-05-15T23:59:56.1940000Z,304.15,308.05,240.12,245.59,62071.01,27452
2021-05-16T00:00:00.0000000Z,2021-05-17T00:00:00.0000000Z,2021-05-16T00:00:03.8220000Z,2021-05-16T23:59:41.0970000Z,245.99,263.7,205.02,224.75,70339.23,25929
2021-05-17T00:00:00.0000000Z,2021-05-18T00:00:00.0000000Z,2021-05-17T00:00:27.4220000Z,2021-05-17T23:59:30.8950000Z,225.36,225.49,184.73,195.9,89830.71,26341
2021-05-18T00:00:00.0000000Z,2021-05-19T00:00:00.0000000Z,2021-05-18T00:00:07.2870000Z,2021-05-18T23:59:57.9420000Z,195.53,205.95,160.51,163.76,101275.34,27714
2021-05-19T00:00:00.0000000Z,2021-05-20T00:00:00.0000000Z,2021-05-19T00:00:01.1110000Z,2021-05-19T23:59:16.8620000Z,163.71,179.33,89.0,123.07,194116.26,46030
2021-05-20T00:00:00.0000000Z,2021-05-21T00:00:00.0000000Z,2021-05-20T00:00:10.7610000Z,2021-05-20T23:59:58.7990000Z,123.37,232.0,103.86,164.56,533650.35,142681
2021-05-21T00:00:00.0000000Z,2021-05-22T00:00:00.0000000Z,2021-05-21T00:00:00.8050000Z,2021-05-21T23:59:57.1810000Z,164.81,187.0,120.02,146.0,196304.1,61314
2021-05-22T00:00:00.0000000Z,2021-05-23T00:00:00.0000000Z,2021-05-22T00:00:03.4570000Z,2021-05-22T23:47:42.0250000Z,145.96,169.13,125.06,149.59,131062.69,35166
2021-05-23T00:00:00.0000000Z,2021-05-24T00:00:00.0000000Z,2021-05-23T00:01:29.8470000Z,2021-05-23T23:59:53.8440000Z,145.26,165.57,121.0,144.17,156050.52,42630
2021-05-24T00:00:00.0000000Z,2021-05-25T00:00:00.0000000Z,2021-05-24T00:00:00.0660000Z,2021-05-24T23:59:44.4690000Z,144.16,163.73,135.72,147.68,117625.62,35730
2021-05-25T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T00:00:05.4540000Z,2021-05-25T23:59:18.5490000Z,147.7,157.23,123.47,134.28,118522.95,35000
2021-05-26T00:00:00.0000000Z,2021-05-27T00:00:00.0000000Z,2021-05-26T00:00:14.0960000Z,2021-05-26T23:59:53.2680000Z,134.35,152.44,132.11,142.78,122974.2,29858
2021-05-27T00:00:00.0000000Z,2021-05-28T00:00:00.0000000Z,2021-05-27T00:00:02.2860000Z,2021-05-27T23:59:59.6560000Z,142.91,145.94,129.84,132.45,59592.29,18766
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T00:00:03.5110000Z,2021-05-28T23:57:32.5520000Z,132.46,132.99,110.2,115.66,81122.62,25903
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:00:25.3620000Z,2021-05-29T23:59:59.5640000Z,115.6,119.8,105.62,110.77,39128.92,11915
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:01:47.5670000Z,2021-05-30T23:59:54.9050000Z,110.42,118.76,104.53,112.01,43300.61,9740
2021-05-31T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-31T00:00:18.8780000Z,2021-05-31T23:58:10.1030000Z,111.83,115.37,105.54,114.82,51944.68,10742
2021-06-01T00:00:00.0000000Z,2021-06-02T00:00:00.0000000Z,2021-06-01T00:00:01.7830000Z,2021-06-01T23:59:19.6940000Z,114.91,117.1,106.5,107.57,48718.37,11167
2021-06-02T00:00:00.0000000Z,2021-06-03T00:00:00.0000000Z,2021-06-02T00:00:07.4470000Z,2021-06-02T23:59:59.7580000Z,107.57,113.0,102.09,107.97,81631.06,16101
2021-06-03T00:00:00.0000000Z,2021-06-04T00:00:00.0000000Z,2021-06-03T00:00:17.2700000Z,2021-06-03T23:59:57.3060000Z,107.47,136.58,105.27,124.5,176795.9,33744
2021-06-04T00:00:00.0000000Z,2021-06-05T00:00:00.0000000Z,2021-06-04T00:00:33.3830000Z,2021-06-04T23:59:56.3170000Z,124.52,124.68,105.33,108.75,147439.51,31442
2021-06-05T00:00:00.0000000Z,2021-06-06T00:00:00.0000000Z,2021-06-05T00:00:07.1620000Z,2021-06-05T23:58:32.1150000Z,109.0,116.16,100.0,104.71,85975.82,16895
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T00:00:09.4660000Z,2021-06-06T23:59:51.3290000Z,104.56,109.95,102.61,104.61,55091.54,10006
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:56.7390000Z,2021-06-07T23:59:53.3950000Z,104.56,107.29,88.95,91.45,81687.21,16361
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:06.8730000Z,2021-06-08T23:59:33.5930000Z,91.17,94.37,76.83,81.51,126963.25,20751
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:18.8540000Z,2021-06-09T23:59:59.9380000Z,81.4,88.99,77.2,81.57,136091.62,18006
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:02.8640000Z,2021-06-10T23:59:55.3070000Z,81.62,83.73,65.73,66.6,249024.68,30814
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:00.5580000Z,2021-06-11T23:59:57.2420000Z,66.6,72.39,56.16,58.33,284672.22,29222
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:09.6660000Z,2021-06-12T23:59:50.1040000Z,58.48,67.9,52.95,61.1,254181.85,26642
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:11.8040000Z,2021-06-13T23:59:49.1980000Z,61.1,66.5,57.2,64.38,221699.66,23276
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:06.3390000Z,2021-06-14T23:59:59.1750000Z,64.51,70.78,61.94,66.72,171185.92,19637
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:14.9760000Z,2021-06-15T23:59:13.5860000Z,66.78,68.91,58.65,60.4,193495.04,21724
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:01:05.2460000Z,2021-06-16T23:59:47.6950000Z,60.35,60.4,54.62,55.31,117156.43,15431
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:15.3280000Z,2021-06-17T23:59:57.6560000Z,55.26,60.14,51.13,54.13,131045.67,16020
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:08.6580000Z,2021-06-18T23:59:59.6670000Z,54.1,55.47,46.99,48.42,109888.85,14534
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:06.0170000Z,2021-06-19T23:59:58.7120000Z,48.43,54.91,46.35,48.68,186167.56,20058
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:01.5720000Z,2021-06-20T23:59:52.5850000Z,48.62,50.7,44.12,47.11,123566.43,14815
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:36.7220000Z,2021-06-21T23:59:51.7000000Z,47.15,47.58,36.19,36.72,182916.24,18270
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:24.5930000Z,2021-06-22T23:59:59.6260000Z,36.83,40.12,31.85,34.51,180661.99,17351
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:00.1170000Z,2021-06-23T23:58:49.0050000Z,34.49,40.91,32.9,37.72,182943.93,17136
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:20.9970000Z,2021-06-24T23:58:33.8850000Z,37.73,38.89,33.18,34.65,238417.12,19519
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:00.2580000Z,2021-06-25T23:59:59.3520000Z,34.61,36.67,30.69,31.09,173574.55,19314
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:00:01.4990000Z,2021-06-26T23:59:40.7240000Z,31.13,33.73,28.29,30.29,200429.87,15417
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:27.3500000Z,2021-06-27T23:59:57.5100000Z,30.29,45.32,29.48,43.03,656833.25,54716
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:00:00.1610000Z,2021-06-28T23:59:59.5250000Z,43.02,52.0,40.51,51.5,797640.4,70799
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:00.2940000Z,2021-06-29T23:59:59.5270000Z,51.34,59.49,46.77,54.22,746169.6,68109
