time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T12:58:14.8440000Z,2021-06-25T23:57:55.7300000Z,0.01549,0.01589,0.01481,0.01491,2547646.0,85
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:13.4850000Z,2021-06-26T23:59:41.1290000Z,0.01477,0.01559,0.0137,0.01549,76306633.0,1013
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:06.2450000Z,2021-06-27T23:55:36.5270000Z,0.01549,0.01603,0.01514,0.01603,37993696.0,639
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:02:21.2380000Z,2021-06-28T23:59:57.5270000Z,0.01602,0.05599,0.01585,0.02106,498717787.0,33565
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:09.2570000Z,2021-06-29T23:59:49.6320000Z,0.02107,0.02187,0.01969,0.02035,436263568.0,13997
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:17.0750000Z,2021-06-30T23:55:25.4910000Z,0.02035,0.02036,0.01856,0.01905,146283367.0,2602
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:54.3420000Z,2021-07-01T23:55:05.2850000Z,0.01903,0.01942,0.01805,0.01919,86550275.0,1485
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:05:13.0030000Z,2021-07-02T23:59:19.9620000Z,0.01923,0.0206,0.01779,0.01976,116262322.0,3537
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:01:22.2020000Z,2021-07-03T23:59:35.6930000Z,0.01987,0.023,0.01936,0.02136,200270453.0,11163
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:00:37.4240000Z,2021-07-04T23:51:42.9620000Z,0.02125,0.02138,0.02032,0.02096,154629174.0,5058
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:01:24.0280000Z,2021-07-05T23:58:50.4130000Z,0.02096,0.02098,0.01904,0.01939,112738153.0,3311
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:02:41.9790000Z,2021-07-06T23:56:14.9680000Z,0.01939,0.02021,0.01902,0.01965,94873112.0,2718
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:00:11.0760000Z,2021-07-07T23:59:33.7010000Z,0.01965,0.01998,0.01903,0.01903,66919726.0,2062
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:15.5010000Z,2021-07-08T23:59:51.4840000Z,0.01906,0.01916,0.01733,0.01752,69721988.0,2089
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:00:12.0960000Z,2021-07-09T23:57:00.7980000Z,0.01752,0.02046,0.01679,0.01883,79126586.0,3364
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:06:27.0440000Z,2021-07-10T23:59:10.8880000Z,0.01883,0.02025,0.01816,0.01827,154299845.0,3580
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:00:28.2170000Z,2021-07-11T23:59:47.6880000Z,0.01828,0.02001,0.01824,0.01922,101268329.0,2641
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:00:06.3950000Z,2021-07-12T23:59:58.3900000Z,0.01922,0.01984,0.0185,0.01874,59188818.0,1461
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:01:56.2610000Z,2021-07-13T23:53:52.0210000Z,0.01872,0.01915,0.01785,0.01797,36996420.0,1160
2021-07-14T00:00:00.0000000Z,2021-07-15T00:00:00.0000000Z,2021-07-14T00:02:11.1490000Z,2021-07-14T23:58:33.6140000Z,0.01813,0.01839,0.01722,0.01805,20195299.0,736
2021-07-15T00:00:00.0000000Z,2021-07-16T00:00:00.0000000Z,2021-07-15T00:00:14.7570000Z,2021-07-15T23:43:49.6970000Z,0.01801,0.01843,0.01718,0.01751,16973942.0,682
2021-07-16T00:00:00.0000000Z,2021-07-17T00:00:00.0000000Z,2021-07-16T00:02:18.3170000Z,2021-07-16T23:59:30.4410000Z,0.01786,0.01994,0.01735,0.01882,76901902.0,3038
2021-07-17T00:00:00.0000000Z,2021-07-18T00:00:00.0000000Z,2021-07-17T00:00:02.7760000Z,2021-07-17T23:59:45.2600000Z,0.01882,0.02197,0.01817,0.0195,396927863.0,16257
2021-07-18T00:00:00.0000000Z,2021-07-19T00:00:00.0000000Z,2021-07-18T00:01:11.8260000Z,2021-07-18T23:59:32.9750000Z,0.01951,0.02027,0.01888,0.01918,107563960.0,3730
2021-07-19T00:00:00.0000000Z,2021-07-20T00:00:00.0000000Z,2021-07-19T00:00:09.6450000Z,2021-07-19T23:58:14.5260000Z,0.01918,0.01964,0.01757,0.01777,55035439.0,1997
2021-07-20T00:00:00.0000000Z,2021-07-21T00:00:00.0000000Z,2021-07-20T00:06:44.4880000Z,2021-07-20T23:58:33.6000000Z,0.01777,0.01816,0.01604,0.01683,26544669.0,1080
2021-07-21T00:00:00.0000000Z,2021-07-22T00:00:00.0000000Z,2021-07-21T00:00:05.9770000Z,2021-07-21T23:58:58.8700000Z,0.01684,0.02134,0.01644,0.0191,93773893.0,5341
2021-07-22T00:00:00.0000000Z,2021-07-23T00:00:00.0000000Z,2021-07-22T00:00:19.2030000Z,2021-07-22T23:59:48.1550000Z,0.01915,0.02054,0.01896,0.01926,107455450.0,3913
2021-07-23T00:00:00.0000000Z,2021-07-24T00:00:00.0000000Z,2021-07-23T00:01:20.1090000Z,2021-07-23T23:58:28.2540000Z,0.01927,0.01984,0.01872,0.01926,33316252.0,1932
2021-07-24T00:00:00.0000000Z,2021-07-25T00:00:00.0000000Z,2021-07-24T00:00:25.5300000Z,2021-07-24T23:57:34.3060000Z,0.0193,0.01995,0.01901,0.01968,81906999.0,2224
2021-07-25T00:00:00.0000000Z,2021-07-26T00:00:00.0000000Z,2021-07-25T00:01:13.5200000Z,2021-07-25T23:56:46.8860000Z,0.01968,0.02019,0.01905,0.01983,47426853.0,1792
2021-07-26T00:00:00.0000000Z,2021-07-27T00:00:00.0000000Z,2021-07-26T00:02:33.2700000Z,2021-07-26T23:58:54.4480000Z,0.01982,0.0212,0.019,0.01918,29381757.0,2488
2021-07-27T00:00:00.0000000Z,2021-07-28T00:00:00.0000000Z,2021-07-27T00:04:01.1530000Z,2021-07-27T23:57:29.2700000Z,0.01911,0.01954,0.0186,0.01913,55770237.0,2163
2021-07-28T00:00:00.0000000Z,2021-07-29T00:00:00.0000000Z,2021-07-28T00:02:35.8600000Z,2021-07-28T23:55:55.4330000Z,0.01923,0.01967,0.01893,0.01927,22397157.0,1274
2021-07-29T00:00:00.0000000Z,2021-07-30T00:00:00.0000000Z,2021-07-29T00:00:03.8490000Z,2021-07-29T23:50:55.6510000Z,0.01928,0.01965,0.019,0.01932,61191654.0,1327
2021-07-30T00:00:00.0000000Z,2021-07-31T00:00:00.0000000Z,2021-07-30T00:00:52.9340000Z,2021-07-30T23:59:20.5610000Z,0.01939,0.0204,0.01907,0.0202,84258076.0,2082
2021-07-31T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-31T00:00:06.0030000Z,2021-07-31T23:59:36.8560000Z,0.02015,0.0205,0.01954,0.02026,78281762.0,2191
2021-08-01T00:00:00.0000000Z,2021-08-02T00:00:00.0000000Z,2021-08-01T00:02:05.5850000Z,2021-08-01T23:58:54.6160000Z,0.02023,0.02121,0.01968,0.0198,85222157.0,3059
2021-08-02T00:00:00.0000000Z,2021-08-03T00:00:00.0000000Z,2021-08-02T00:00:42.7760000Z,2021-08-02T23:58:23.7300000Z,0.01973,0.0209,0.01939,0.02063,26139121.0,3881
2021-08-03T00:00:00.0000000Z,2021-08-04T00:00:00.0000000Z,2021-08-03T00:05:37.0520000Z,2021-08-03T23:57:19.9920000Z,0.02055,0.02107,0.01983,0.02007,41974488.0,5811
