time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T12:10:04.2130000Z,2021-11-22T23:59:58.7680000Z,0.2725,0.29,0.1877,0.2374,172155543.8,129849
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:02.6040000Z,2021-11-23T23:59:52.9790000Z,0.2371,0.25,0.1955,0.2006,89593297.2,55010
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:15.8100000Z,2021-11-24T23:59:46.8500000Z,0.2008,0.2012,0.1727,0.1874,68708186.9,29606
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:09.4260000Z,2021-11-25T23:59:58.2270000Z,0.1873,0.2452,0.174,0.2057,78343700.7,31968
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:08.6150000Z,2021-11-26T23:59:58.8360000Z,0.2051,0.2112,0.1655,0.1722,54602754.3,18642
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:27.5540000Z,2021-11-27T23:59:56.8230000Z,0.1724,0.19,0.17,0.1766,33411919.9,8082
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:20.2700000Z,2021-11-28T23:59:40.6610000Z,0.1766,0.1766,0.1603,0.1696,38125973.3,8420
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:31.0570000Z,2021-11-29T23:58:40.8670000Z,0.1696,0.1748,0.1666,0.1681,29866550.3,6623
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:08.2370000Z,2021-11-30T23:56:15.8440000Z,0.1681,0.1691,0.1613,0.1659,17524218.1,4287
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:29.5840000Z,2021-12-01T23:59:35.2520000Z,0.1661,0.1723,0.1642,0.1674,27220525.2,5938
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:09.1100000Z,2021-12-02T23:59:53.0800000Z,0.1674,0.185,0.164,0.1763,53380577.3,12691
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:37.5830000Z,2021-12-03T23:58:33.1100000Z,0.1763,0.185,0.1621,0.1621,29997647.8,8221
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:31.2100000Z,2021-12-04T23:59:35.1870000Z,0.1623,0.1625,0.1132,0.1399,42707034.9,11316
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:01:35.2190000Z,2021-12-05T23:59:41.9490000Z,0.1399,0.1405,0.1261,0.1312,13142974.1,4022
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:02:52.3300000Z,2021-12-06T23:59:42.8600000Z,0.1324,0.1334,0.1036,0.1267,20556814.2,6383
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:18.5070000Z,2021-12-07T23:59:38.3300000Z,0.1265,0.1293,0.114,0.117,17082586.2,4812
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:03.6710000Z,2021-12-08T23:56:44.5680000Z,0.1169,0.1236,0.112,0.1199,22347654.9,5329
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:00:34.1430000Z,2021-12-09T23:58:45.9450000Z,0.1199,0.1212,0.1018,0.1037,27513084.8,5967
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:01:13.5130000Z,2021-12-10T23:59:01.5450000Z,0.1037,0.1062,0.0952,0.0953,45217340.2,8004
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:35.9800000Z,2021-12-11T23:59:00.3620000Z,0.0951,0.1063,0.0903,0.102,44329522.2,6643
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:01:02.4670000Z,2021-12-12T13:29:02.6450000Z,0.1017,0.1018,0.0945,0.099,20913836.2,3061
