time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T10:03:55.5570000Z,2021-06-06T23:59:33.6040000Z,4.662,5.5,1.16,4.701,31773.44,766
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:02:50.3560000Z,2021-06-07T23:57:37.4340000Z,4.679,4.89,4.077,4.145,56820.15,1376
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:28.6430000Z,2021-06-08T23:51:59.3380000Z,4.114,4.238,3.703,4.109,68614.39,1938
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:01:17.5020000Z,2021-06-09T23:59:13.3340000Z,4.11,4.149,3.8,4.132,57906.33,1763
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:05.5520000Z,2021-06-10T23:56:28.2480000Z,4.14,4.299,3.8,3.857,54064.59,1625
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:06:08.8760000Z,2021-06-11T23:59:38.5650000Z,3.848,3.894,3.503,3.575,37327.03,1178
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:02:22.6030000Z,2021-06-12T23:59:59.0310000Z,3.54,3.789,3.3,3.636,91474.85,2353
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:01:05.4020000Z,2021-06-13T23:58:36.0650000Z,3.635,3.87,3.461,3.85,57943.28,1935
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:18.6820000Z,2021-06-14T23:59:34.0750000Z,3.869,4.053,3.771,4.01,236275.76,2239
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:03:37.4710000Z,2021-06-15T23:40:52.0650000Z,4.004,4.149,3.83,4.059,51636.54,1661
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:15:30.0410000Z,2021-06-16T23:49:12.4180000Z,4.086,4.507,3.89,4.131,192226.46,4811
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:02:28.5630000Z,2021-06-17T23:59:48.5320000Z,4.115,4.265,3.93,4.167,66099.77,1231
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:01:16.2990000Z,2021-06-18T23:59:56.2630000Z,4.154,4.183,3.617,3.764,46257.78,1115
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:36:52.4110000Z,2021-06-19T23:59:56.9510000Z,3.751,4.039,3.651,3.841,41501.58,1054
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:05:32.9150000Z,2021-06-20T23:46:38.5480000Z,3.849,4.093,3.555,4.037,140547.01,2101
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:02:59.4620000Z,2021-06-21T23:59:26.3060000Z,4.063,4.068,3.015,3.09,114869.06,2539
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:00.5830000Z,2021-06-22T23:59:14.3190000Z,3.103,3.362,2.576,3.217,241605.25,3426
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:01:06.9390000Z,2021-06-23T23:59:40.8990000Z,3.217,3.633,3.079,3.395,197275.4,3886
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:25.6960000Z,2021-06-24T23:57:24.4730000Z,3.39,3.64,3.233,3.548,76362.96,2126
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:16.9270000Z,2021-06-25T23:59:57.6980000Z,3.558,3.693,3.164,3.255,59725.85,1744
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:01:59.5210000Z,2021-06-26T23:59:01.6340000Z,3.236,3.547,3.166,3.451,113558.53,3435
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:15.0210000Z,2021-06-27T23:56:36.7380000Z,3.457,3.7,3.313,3.528,82124.88,2304
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:00:05.0910000Z,2021-06-28T23:52:34.2440000Z,3.544,3.686,3.462,3.602,55198.52,1828
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:26.1240000Z,2021-06-29T23:57:52.1360000Z,3.631,4.131,3.615,3.998,179343.57,3809
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:04.5300000Z,2021-06-30T23:59:59.9160000Z,4.021,4.58,3.883,4.223,222898.17,6007
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:01.1990000Z,2021-07-01T23:59:29.1950000Z,4.223,4.226,3.759,3.947,135571.14,2332
