time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T06:16:21.3150000Z,2021-06-17T23:59:59.6830000Z,0.6539,0.7613,0.5873,0.627,154369731.0,301555
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:00.3670000Z,2021-06-18T23:59:53.2730000Z,0.6263,0.6349,0.4992,0.5239,42135708.0,71673
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:16.3830000Z,2021-06-19T23:59:55.5930000Z,0.5239,0.528,0.443,0.4556,29671407.0,40813
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:15.0860000Z,2021-06-20T23:59:53.0030000Z,0.4569,0.4727,0.3941,0.4155,19914773.0,25159
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:29.0390000Z,2021-06-21T23:59:30.6210000Z,0.4154,0.4154,0.295,0.3015,26637784.0,30931
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:25.4110000Z,2021-06-22T23:59:59.6090000Z,0.301,0.33,0.2389,0.2525,51201679.0,52653
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:00.1870000Z,2021-06-23T23:59:54.8920000Z,0.2525,0.3177,0.2414,0.2715,33819460.0,36027
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:00.1110000Z,2021-06-24T23:59:56.7180000Z,0.2715,0.2871,0.2553,0.2704,18811543.0,17877
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:00.8950000Z,2021-06-25T23:59:58.6010000Z,0.2701,0.2867,0.2428,0.2428,24540101.0,17073
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:26.6990000Z,2021-06-26T23:59:56.3560000Z,0.2425,0.261,0.2245,0.2458,22765003.0,14433
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:01:31.8300000Z,2021-06-27T23:59:58.6020000Z,0.2453,0.3266,0.2427,0.2974,61549980.0,57947
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:00:00.0730000Z,2021-06-28T23:58:55.2360000Z,0.2974,0.2978,0.2725,0.2843,26709077.0,29725
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:00.0930000Z,2021-06-29T23:59:49.6230000Z,0.2844,0.3167,0.2767,0.2858,22749860.0,26523
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:27.5380000Z,2021-06-30T23:59:47.2740000Z,0.286,0.2921,0.2566,0.271,27612332.0,26013
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:02.2690000Z,2021-07-01T23:59:51.4800000Z,0.271,0.2714,0.2473,0.2521,18778366.0,14251
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:00:14.8330000Z,2021-07-02T23:59:48.5860000Z,0.2517,0.2686,0.2417,0.261,17067741.0,13504
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:00:12.6690000Z,2021-07-03T23:57:23.2490000Z,0.2613,0.276,0.2497,0.2635,10052536.0,7566
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:00:04.4090000Z,2021-07-04T23:59:55.7020000Z,0.2639,0.2823,0.2566,0.2701,16235753.0,11468
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:00:17.1680000Z,2021-07-05T23:59:45.1050000Z,0.27,0.2712,0.2518,0.2584,10763055.0,7080
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:00:05.3570000Z,2021-07-06T23:59:59.6480000Z,0.2584,0.3303,0.2556,0.3255,55894577.0,63701
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:00:00.7350000Z,2021-07-07T23:59:47.2940000Z,0.3253,0.3896,0.312,0.3165,101606908.0,151243
