time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T12:57:15.3270000Z,2021-06-25T23:59:58.6940000Z,0.9632,1.0,0.9178,0.931,2550233.0,11437
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:05.6580000Z,2021-06-26T23:59:47.3710000Z,0.9234,0.965,0.8635,0.9341,3579623.0,14056
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:02.6220000Z,2021-06-27T23:59:48.8830000Z,0.9341,1.0014,0.92,0.9933,2319212.0,10099
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:00:01.8130000Z,2021-06-28T23:58:39.7340000Z,0.9911,1.046,0.957,1.0028,2982829.0,11490
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:01:27.6050000Z,2021-06-29T23:59:14.1700000Z,1.0029,1.07,1.0004,1.0301,3946774.0,15373
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:03.7790000Z,2021-06-30T23:59:45.6330000Z,1.0289,1.0322,0.956,1.0241,1762565.0,7357
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:47.0570000Z,2021-07-01T23:59:53.6890000Z,1.0243,1.04,0.953,0.9745,1712900.0,8466
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:02:17.5040000Z,2021-07-02T23:59:25.4750000Z,0.9745,1.0359,0.9394,0.9784,2042601.0,8982
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:01:04.3520000Z,2021-07-03T23:59:24.9770000Z,0.9771,1.054,0.9641,1.0084,2156186.0,8554
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:00:01.6790000Z,2021-07-04T23:59:59.9770000Z,1.0084,1.04,0.9998,1.0177,1408172.0,6351
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:00:16.9960000Z,2021-07-05T23:59:56.9650000Z,1.0199,1.0763,0.9997,1.017,3756227.0,17560
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:00:03.1580000Z,2021-07-06T23:59:58.4270000Z,1.017,1.06,1.0046,1.0235,2682586.0,22087
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:00:07.9000000Z,2021-07-07T23:59:10.2750000Z,1.0235,1.0522,1.002,1.0045,2355550.0,18700
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:14.6340000Z,2021-07-08T23:59:47.9430000Z,1.005,1.0086,0.931,0.9405,1847518.0,7075
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:00:10.2710000Z,2021-07-09T23:59:34.2120000Z,0.9421,1.0392,0.9,0.9581,2538217.0,9586
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:00:52.6820000Z,2021-07-10T23:59:53.8460000Z,0.955,0.9754,0.93,0.9517,1154327.0,11916
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:00:00.0570000Z,2021-07-11T23:59:40.5400000Z,0.9517,0.9999,0.94,0.9827,1187688.0,13201
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:00:20.4420000Z,2021-07-12T23:58:51.0360000Z,0.985,0.99,0.9312,0.9453,1854646.0,6551
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:01:55.3180000Z,2021-07-13T23:54:14.1250000Z,0.9489,0.9516,0.903,0.917,1135100.0,4810
2021-07-14T00:00:00.0000000Z,2021-07-15T00:00:00.0000000Z,2021-07-14T00:01:26.3200000Z,2021-07-14T23:59:01.9880000Z,0.9214,0.9353,0.8645,0.9186,1717497.0,6217
2021-07-15T00:00:00.0000000Z,2021-07-16T00:00:00.0000000Z,2021-07-15T00:00:09.0680000Z,2021-07-15T23:59:52.3090000Z,0.919,0.9485,0.8788,0.9001,778470.0,4111
2021-07-16T00:00:00.0000000Z,2021-07-17T00:00:00.0000000Z,2021-07-16T00:00:52.3240000Z,2021-07-16T23:58:53.7500000Z,0.9044,0.9246,0.8698,0.879,667048.0,3201
2021-07-17T00:00:00.0000000Z,2021-07-18T00:00:00.0000000Z,2021-07-17T00:01:51.2440000Z,2021-07-17T23:58:16.3360000Z,0.879,0.8926,0.861,0.8899,765024.0,2418
