time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T10:02:53.6660000Z,2021-11-12T23:59:59.9580000Z,1068.41,1542.21,930.42,1490.57,23077.6,61639
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:00.0320000Z,2021-11-13T23:59:51.9840000Z,1490.44,2065.0,1460.61,1658.01,108948.76,400335
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:04.0520000Z,2021-11-14T23:59:58.9350000Z,1655.0,1850.0,1433.11,1670.04,26354.2,85043
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:03.4070000Z,2021-11-15T23:59:58.6340000Z,1674.09,1939.16,1448.88,1640.01,38020.74,132337
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:09.5770000Z,2021-11-16T23:59:56.4620000Z,1640.02,1809.5,1480.3,1586.67,24207.56,96644
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:02.4160000Z,2021-11-17T23:59:32.6470000Z,1585.06,1585.36,1366.65,1443.05,12411.39,41796
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:05.0440000Z,2021-11-18T23:59:57.9800000Z,1443.79,1550.0,1133.16,1263.82,15572.7,34258
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:03.1830000Z,2021-11-19T23:59:41.6730000Z,1265.75,1390.0,1190.0,1294.52,11306.73,28383
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:04.3440000Z,2021-11-20T23:59:57.4790000Z,1294.47,1295.0,1136.84,1212.11,10591.73,30387
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:03.3980000Z,2021-11-21T23:59:59.1230000Z,1213.36,1290.0,1064.91,1227.33,12633.04,35646
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:01.9090000Z,2021-11-22T23:59:52.6480000Z,1222.67,1762.07,1176.43,1327.26,66939.98,259446
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:01.7140000Z,2021-11-23T23:58:26.4140000Z,1330.74,1420.0,1212.58,1302.0,14489.27,51717
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:37.9420000Z,2021-11-24T23:59:14.2930000Z,1302.0,1339.99,1213.01,1219.71,5931.54,21303
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:03.2190000Z,2021-11-25T23:59:53.5700000Z,1219.62,1319.0,1150.0,1203.11,11646.52,37203
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:09.5510000Z,2021-11-26T23:59:01.8760000Z,1203.12,1260.0,1003.0,1005.0,10680.29,25738
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:01.3650000Z,2021-11-27T23:59:49.4670000Z,1005.29,1146.24,988.99,1036.15,13395.02,34977
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:24.0740000Z,2021-11-28T23:59:59.1720000Z,1036.92,1342.28,1000.0,1179.54,55920.88,145785
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:02.1550000Z,2021-11-29T23:59:56.3120000Z,1181.86,1195.81,1105.01,1120.59,7110.46,19739
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:22.9070000Z,2021-11-30T23:59:46.5860000Z,1120.59,1130.0,1051.0,1080.63,5146.09,13668
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:38.1570000Z,2021-12-01T23:59:24.9580000Z,1077.26,1157.99,1065.0,1078.62,5726.83,13879
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:12.2500000Z,2021-12-02T23:59:02.9770000Z,1081.15,1138.0,1028.03,1035.86,4238.99,12318
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:01:19.4560000Z,2021-12-03T23:59:37.5380000Z,1034.7,1050.4,910.0,967.92,5356.37,13390
