time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T12:00:00.0000000Z,2021-03-18T23:59:59.9880000Z,0.085,0.488,0.085,0.2052,271350174.68,160788
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:01.5090000Z,2021-03-19T23:59:31.9940000Z,0.2052,0.2059,0.1665,0.1684,70738006.38,62175
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:02.0010000Z,2021-03-20T23:59:34.5770000Z,0.1685,0.1776,0.1526,0.1557,33943227.52,33723
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:08.9060000Z,2021-03-21T23:59:32.9900000Z,0.1558,0.18,0.1549,0.1694,23901391.35,28663
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:16.5580000Z,2021-03-22T23:59:58.9830000Z,0.1694,0.1698,0.1336,0.1406,20752693.87,17583
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:08.7010000Z,2021-03-23T23:59:50.0120000Z,0.1407,0.1472,0.1267,0.1303,18697117.89,14614
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:01.0580000Z,2021-03-24T23:59:03.1670000Z,0.1303,0.1484,0.1154,0.1212,24076019.35,15488
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:24.2360000Z,2021-03-25T23:57:35.8110000Z,0.121,0.126,0.1122,0.1152,15171806.47,10922
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:47.1080000Z,2021-03-26T23:56:45.9130000Z,0.115,0.1363,0.115,0.1305,24595611.25,17167
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:00:18.8360000Z,2021-03-27T23:56:52.2200000Z,0.1309,0.1454,0.1254,0.138,22366387.25,19782
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:34.4480000Z,2021-03-28T23:59:58.5260000Z,0.1385,0.1589,0.1349,0.1453,28506450.15,23232
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:39.8290000Z,2021-03-29T23:59:53.4610000Z,0.1456,0.1529,0.1405,0.1434,18205624.78,12679
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:11.2780000Z,2021-03-30T23:59:44.2990000Z,0.1436,0.1542,0.1403,0.1449,17420713.98,13523
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:00:03.3310000Z,2021-03-31T23:59:33.8220000Z,0.1449,0.1485,0.1311,0.1384,16428299.86,11998
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:55.0400000Z,2021-04-01T23:59:50.3460000Z,0.1384,0.145,0.1345,0.1351,13371437.03,8772
