time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T06:00:01.7000000Z,2021-02-04T23:59:06.9080000Z,1.6,13.39,1.6,3.07,4551028.13,63635
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:07.2290000Z,2021-02-05T23:59:59.0210000Z,3.07,5.9597,3.0605,5.6595,1320966.49,18759
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:00:01.8480000Z,2021-02-06T23:59:23.9620000Z,5.4603,9.5,4.12,7.3472,3890313.9,73793
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:15.9250000Z,2021-02-07T23:59:59.2030000Z,7.4407,9.67,6.9133,7.5644,1677251.29,41453
2021-02-08T00:00:00.0000000Z,2021-02-09T00:00:00.0000000Z,2021-02-08T00:00:01.7320000Z,2021-02-08T23:59:39.3410000Z,7.5521,8.5999,6.3504,6.4399,890341.06,22226
2021-02-09T00:00:00.0000000Z,2021-02-10T00:00:00.0000000Z,2021-02-09T00:00:12.6320000Z,2021-02-09T23:59:02.3590000Z,6.4399,7.8,6.0529,7.1638,936454.38,26080
2021-02-10T00:00:00.0000000Z,2021-02-11T00:00:00.0000000Z,2021-02-10T00:01:01.2850000Z,2021-02-10T23:58:53.8540000Z,7.1641,7.7731,6.1135,6.5275,479144.95,16463
2021-02-11T00:00:00.0000000Z,2021-02-12T00:00:00.0000000Z,2021-02-11T00:00:45.6050000Z,2021-02-11T23:59:42.9210000Z,6.5619,8.4475,6.2725,7.5593,615271.51,21209
2021-02-12T00:00:00.0000000Z,2021-02-13T00:00:00.0000000Z,2021-02-12T00:00:43.2370000Z,2021-02-12T23:59:59.6040000Z,7.5594,8.7766,7.2,8.5624,458586.68,18015
2021-02-13T00:00:00.0000000Z,2021-02-14T00:00:00.0000000Z,2021-02-13T00:00:07.2650000Z,2021-02-13T23:59:58.1750000Z,8.6299,10.2998,7.7,9.7686,505048.15,26014
2021-02-14T00:00:00.0000000Z,2021-02-15T00:00:00.0000000Z,2021-02-14T00:00:27.0400000Z,2021-02-14T23:59:39.4610000Z,9.7686,12.2937,9.3193,11.6975,911531.39,50534
2021-02-15T00:00:00.0000000Z,2021-02-16T00:00:00.0000000Z,2021-02-15T00:00:08.7440000Z,2021-02-15T23:59:49.2720000Z,11.6914,14.5,9.7265,13.411,1192544.83,65145
2021-02-16T00:00:00.0000000Z,2021-02-17T00:00:00.0000000Z,2021-02-16T00:00:21.5580000Z,2021-02-16T23:59:48.5790000Z,13.363,14.7983,11.8151,12.6118,648734.05,45348
2021-02-17T00:00:00.0000000Z,2021-02-18T00:00:00.0000000Z,2021-02-17T00:00:02.4820000Z,2021-02-17T23:59:44.9900000Z,12.5656,13.0155,10.8527,11.2202,743792.62,41073
2021-02-18T00:00:00.0000000Z,2021-02-19T00:00:00.0000000Z,2021-02-18T00:00:35.1150000Z,2021-02-18T23:59:45.2680000Z,11.2207,13.0,11.0,11.2505,561247.56,38979
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T00:00:04.9460000Z,2021-02-19T23:59:27.1000000Z,11.2592,11.5421,9.95,10.2187,601579.73,35369
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:12.6590000Z,2021-02-20T23:59:48.8180000Z,10.2358,12.4,9.0,10.3481,598280.73,41166
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:08.3020000Z,2021-02-21T23:59:22.8880000Z,10.3027,11.4998,10.0056,10.5779,344701.58,26695
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:01.3590000Z,2021-02-22T23:59:45.0170000Z,10.6284,11.1052,7.3,9.1874,463005.16,25986
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:00:08.4530000Z,2021-02-23T23:59:51.8600000Z,9.1411,9.2392,6.1951,7.6153,455204.85,17545
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:11.1190000Z,2021-02-24T23:55:40.5080000Z,7.6205,9.1222,7.0726,8.5098,490960.96,17091
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:08.9200000Z,2021-02-25T23:59:51.6270000Z,8.5102,9.978,8.0217,8.146,471528.75,20012
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:06.1870000Z,2021-02-26T23:58:45.0050000Z,8.1401,8.8728,7.1471,7.9916,488007.65,16204
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:13.3730000Z,2021-02-27T23:58:58.7600000Z,7.992,8.6401,7.4894,7.7612,260393.84,10580
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:22.9850000Z,2021-02-28T23:59:57.5250000Z,7.7416,7.8586,6.3772,6.9052,342474.96,9749
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:16.7100000Z,2021-03-01T23:58:46.6020000Z,6.9055,7.8302,6.846,7.6279,335268.52,11015
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:25.7910000Z,2021-03-02T23:59:10.7690000Z,7.6278,8.5101,7.2072,8.2716,415830.01,17965
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:04.5400000Z,2021-03-03T23:59:49.9200000Z,8.272,8.9295,8.0387,8.2088,270644.4,12241
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:20.2600000Z,2021-03-04T23:59:09.2750000Z,8.166,8.4613,7.521,7.7969,240238.66,9031
