time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T05:07:21.0830000Z,2021-05-28T23:58:26.5670000Z,30.42,30.7,25.98,27.13,240232.35,16297
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:01:08.6610000Z,2021-05-29T23:59:31.2940000Z,27.13,27.99,21.77,23.19,312428.16,14407
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:00:00.0450000Z,2021-05-30T23:56:21.5350000Z,23.21,24.16,22.18,23.41,152429.28,5692
2021-05-31T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-31T00:00:30.8890000Z,2021-05-31T23:59:59.0760000Z,23.4,24.44,22.38,24.04,127790.49,5574
2021-06-01T00:00:00.0000000Z,2021-06-02T00:00:00.0000000Z,2021-06-01T00:00:15.2460000Z,2021-06-01T23:59:54.6030000Z,24.07,25.49,23.32,25.29,166243.42,5945
2021-06-02T00:00:00.0000000Z,2021-06-03T00:00:00.0000000Z,2021-06-02T00:00:01.6320000Z,2021-06-02T23:58:35.4170000Z,25.32,27.83,24.38,27.69,144333.26,8197
2021-06-03T00:00:00.0000000Z,2021-06-04T00:00:00.0000000Z,2021-06-03T00:00:09.9610000Z,2021-06-03T23:59:47.7570000Z,27.66,31.1,27.65,30.9,197977.54,10777
2021-06-04T00:00:00.0000000Z,2021-06-05T00:00:00.0000000Z,2021-06-04T00:00:04.9330000Z,2021-06-04T23:59:23.0420000Z,30.92,32.86,27.3,28.05,223735.7,10060
2021-06-05T00:00:00.0000000Z,2021-06-06T00:00:00.0000000Z,2021-06-05T00:00:34.4640000Z,2021-06-05T23:59:51.4130000Z,28.08,29.86,26.96,27.33,111751.11,5242
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T00:00:13.3630000Z,2021-06-06T23:58:48.5500000Z,27.33,27.46,25.43,25.58,150357.03,5724
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:58.0790000Z,2021-06-07T23:59:26.6860000Z,25.59,26.77,24.68,24.73,137593.52,5338
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:00.9580000Z,2021-06-08T23:59:59.7700000Z,24.75,25.88,23.83,25.81,193933.95,6842
