time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-23T00:00:00.0000000Z,2021-07-24T00:00:00.0000000Z,2021-07-23T10:00:23.6140000Z,2021-07-23T23:53:15.9520000Z,0.1666,0.23,0.1528,0.161,11228757.0,9290
2021-07-24T00:00:00.0000000Z,2021-07-25T00:00:00.0000000Z,2021-07-24T00:02:23.8860000Z,2021-07-24T23:59:40.1620000Z,0.1602,0.179,0.1581,0.1644,3318112.0,2304
2021-07-25T00:00:00.0000000Z,2021-07-26T00:00:00.0000000Z,2021-07-25T00:04:22.1120000Z,2021-07-25T23:56:57.6600000Z,0.1633,0.1684,0.1544,0.1631,791921.0,602
2021-07-26T00:00:00.0000000Z,2021-07-27T00:00:00.0000000Z,2021-07-26T00:03:56.7230000Z,2021-07-26T23:56:10.3130000Z,0.162,0.184,0.1615,0.171,1252228.0,1062
2021-07-27T00:00:00.0000000Z,2021-07-28T00:00:00.0000000Z,2021-07-27T00:08:20.0110000Z,2021-07-27T23:59:16.3940000Z,0.171,0.2798,0.1627,0.204,40059228.0,28575
2021-07-28T00:00:00.0000000Z,2021-07-29T00:00:00.0000000Z,2021-07-28T00:00:38.8980000Z,2021-07-28T23:56:04.6140000Z,0.204,0.25,0.198,0.2078,18754352.0,15753
2021-07-29T00:00:00.0000000Z,2021-07-30T00:00:00.0000000Z,2021-07-29T00:01:07.0670000Z,2021-07-29T23:49:09.9240000Z,0.2078,0.2098,0.196,0.199,2032572.0,1564
2021-07-30T00:00:00.0000000Z,2021-07-31T00:00:00.0000000Z,2021-07-30T00:01:00.7290000Z,2021-07-30T23:58:03.7740000Z,0.2003,0.204,0.1869,0.1989,1430918.0,1212
2021-07-31T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-31T00:01:00.0700000Z,2021-07-31T23:59:51.6180000Z,0.1992,0.2665,0.1933,0.2292,19839623.0,21824
2021-08-01T00:00:00.0000000Z,2021-08-02T00:00:00.0000000Z,2021-08-01T00:00:43.7900000Z,2021-08-01T23:59:00.1280000Z,0.2291,0.3158,0.2282,0.2695,31361775.0,39435
2021-08-02T00:00:00.0000000Z,2021-08-03T00:00:00.0000000Z,2021-08-02T00:00:24.3400000Z,2021-08-02T23:58:28.7040000Z,0.2682,0.291,0.2478,0.2505,16618505.0,30037
2021-08-03T00:00:00.0000000Z,2021-08-04T00:00:00.0000000Z,2021-08-03T00:00:21.8180000Z,2021-08-03T23:57:04.9390000Z,0.2509,0.2666,0.231,0.2355,6008012.0,12515
2021-08-04T00:00:00.0000000Z,2021-08-05T00:00:00.0000000Z,2021-08-04T00:03:19.9630000Z,2021-08-04T23:59:54.7750000Z,0.2353,0.322,0.229,0.2799,18134286.0,29971
2021-08-05T00:00:00.0000000Z,2021-08-06T00:00:00.0000000Z,2021-08-05T00:00:02.4290000Z,2021-08-05T23:56:49.7330000Z,0.2804,0.299,0.261,0.2678,14993038.0,26368
2021-08-06T00:00:00.0000000Z,2021-08-07T00:00:00.0000000Z,2021-08-06T00:00:29.0910000Z,2021-08-06T23:58:51.8220000Z,0.2691,0.284,0.2599,0.2631,4866745.0,9306
2021-08-07T00:00:00.0000000Z,2021-08-08T00:00:00.0000000Z,2021-08-07T00:01:55.7460000Z,2021-08-07T23:58:29.7330000Z,0.2631,0.29,0.2628,0.2875,6622159.0,12056
2021-08-08T00:00:00.0000000Z,2021-08-09T00:00:00.0000000Z,2021-08-08T00:00:48.5400000Z,2021-08-08T23:59:17.5200000Z,0.2875,0.29,0.245,0.2521,3339103.0,8074
2021-08-09T00:00:00.0000000Z,2021-08-10T00:00:00.0000000Z,2021-08-09T00:01:32.5270000Z,2021-08-09T23:58:55.8220000Z,0.2522,0.3272,0.2447,0.2737,13489600.0,21740
2021-08-10T00:00:00.0000000Z,2021-08-11T00:00:00.0000000Z,2021-08-10T00:00:12.3080000Z,2021-08-10T23:58:31.7310000Z,0.274,0.2791,0.2633,0.2726,2534898.0,5467
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T00:08:43.1550000Z,2021-08-11T23:58:21.9140000Z,0.2718,0.3479,0.271,0.2987,10912876.0,17061
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:00:01.6200000Z,2021-08-12T23:53:49.6740000Z,0.2988,0.3333,0.281,0.2949,7285556.0,14378
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:00:47.6420000Z,2021-08-13T23:59:32.3130000Z,0.2949,0.346,0.2901,0.3202,3366212.0,8149
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:01:25.6830000Z,2021-08-14T23:56:26.3300000Z,0.3204,0.3278,0.3043,0.314,3014508.0,6849
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:03:46.3560000Z,2021-08-15T23:58:16.6890000Z,0.312,0.322,0.2965,0.3181,2098083.0,4586
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:02:37.9170000Z,2021-08-16T23:58:03.9640000Z,0.3181,0.345,0.3083,0.3114,2426127.0,6361
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:00:23.0210000Z,2021-08-17T23:57:48.4580000Z,0.3099,0.3207,0.2769,0.281,1709069.0,4143
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:01:06.6130000Z,2021-08-18T23:59:00.0450000Z,0.2814,0.3,0.2625,0.2796,1835347.0,3761
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T00:01:02.4690000Z,2021-08-19T23:59:38.8380000Z,0.2804,0.3183,0.2692,0.312,2641438.0,5687
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:00:33.8420000Z,2021-08-20T23:57:32.0560000Z,0.3115,0.316,0.2991,0.3074,1441186.0,3684
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:13.0740000Z,2021-08-21T23:59:49.9440000Z,0.3074,0.3262,0.3001,0.305,3040174.0,4995
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:02:36.2430000Z,2021-08-22T23:48:32.4010000Z,0.305,0.3147,0.2933,0.3102,1400830.0,3181
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:06:01.5530000Z,2021-08-23T23:56:17.6560000Z,0.31,0.32,0.3011,0.314,3051197.0,4468
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:00:41.0100000Z,2021-08-24T23:55:27.9530000Z,0.3121,0.3195,0.278,0.2837,1248036.0,3530
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:02:23.9580000Z,2021-08-25T23:59:53.8860000Z,0.284,0.2996,0.266,0.2896,1147187.0,2760
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:02:04.6890000Z,2021-08-26T23:59:55.0890000Z,0.2922,0.3072,0.2615,0.2619,1554453.0,3519
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:11.9210000Z,2021-08-27T23:59:45.6490000Z,0.262,0.2871,0.2505,0.2828,1426168.0,2634
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:02:04.3610000Z,2021-08-28T23:46:25.3770000Z,0.2824,0.317,0.2759,0.2894,6217709.0,9868
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:04:50.7800000Z,2021-08-29T23:59:06.3140000Z,0.2886,0.2981,0.2783,0.2879,1212018.0,2722
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:06.2960000Z,2021-08-30T23:59:05.5370000Z,0.2869,0.4083,0.27,0.2986,16614548.0,22170
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:51.3570000Z,2021-08-31T23:58:50.3300000Z,0.299,0.3489,0.2922,0.3009,17949434.0,30680
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:29.3830000Z,2021-09-01T23:56:40.4490000Z,0.3,0.319,0.2932,0.3105,2936906.0,7040
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:47.8130000Z,2021-09-02T23:57:47.9840000Z,0.3112,0.3178,0.3003,0.304,1722638.0,4298
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:06:12.0080000Z,2021-09-03T23:59:51.4540000Z,0.304,0.3252,0.3,0.3128,1705075.0,4204
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:01:43.8740000Z,2021-09-04T23:58:22.0200000Z,0.3127,0.3447,0.3068,0.3228,2828502.0,8544
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:39.2930000Z,2021-09-05T23:59:37.9230000Z,0.324,0.34,0.3213,0.3345,2125957.0,5576
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:01:15.7700000Z,2021-09-06T23:57:20.7180000Z,0.3347,0.3701,0.3167,0.3488,4368571.0,9003
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:00:52.4470000Z,2021-09-07T23:57:03.3770000Z,0.35,0.38,0.2637,0.2866,6749780.0,13415
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:16.1370000Z,2021-09-08T23:58:01.0700000Z,0.2856,0.3073,0.2604,0.2931,2702592.0,4931
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:06:36.0510000Z,2021-09-09T23:55:57.7830000Z,0.2931,0.335,0.2803,0.3213,3315972.0,5540
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:02:24.0340000Z,2021-09-10T23:54:47.7030000Z,0.3221,0.335,0.2837,0.2943,2648404.0,5129
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:22.4210000Z,2021-09-11T23:33:28.0520000Z,0.2944,0.3243,0.2878,0.3026,2852771.0,4902
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:05:08.5760000Z,2021-09-12T23:59:27.8640000Z,0.3048,0.3225,0.2946,0.3036,2088735.0,4274
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:01:49.8710000Z,2021-09-13T23:57:22.5290000Z,0.3029,0.3073,0.268,0.282,2140472.0,3163
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:03:05.6990000Z,2021-09-14T23:59:56.3030000Z,0.2813,0.3092,0.2624,0.2926,2553145.0,4573
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:01:00.7310000Z,2021-09-15T23:49:54.2430000Z,0.2923,0.3076,0.289,0.3032,1213199.0,2546
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:02:13.9620000Z,2021-09-16T23:57:51.1540000Z,0.3049,0.32,0.2922,0.2987,2536484.0,4864
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:01.9540000Z,2021-09-17T23:28:07.6850000Z,0.2986,0.2993,0.2759,0.2796,1053845.0,2217
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:06:00.6650000Z,2021-09-18T23:58:44.4580000Z,0.2804,0.362,0.2777,0.2971,12738828.0,16469
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:02:49.5200000Z,2021-09-19T23:57:10.9860000Z,0.2958,0.3319,0.2889,0.2939,10820805.0,15098
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:04:44.3020000Z,2021-09-20T23:58:22.6870000Z,0.2939,0.2939,0.2385,0.2431,3632078.0,5092
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:01:16.5210000Z,2021-09-21T23:57:20.5190000Z,0.2432,0.2589,0.2133,0.2293,2326362.0,3747
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:02:40.1870000Z,2021-09-22T23:57:31.7190000Z,0.2304,0.274,0.229,0.2599,6570074.0,8305
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:53.2900000Z,2021-09-23T23:52:06.3140000Z,0.2603,0.2897,0.2524,0.2692,5166086.0,7493
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:04:56.8300000Z,2021-09-24T23:57:54.5820000Z,0.2706,0.2799,0.2371,0.245,2764393.0,4050
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:00.1020000Z,2021-09-25T23:59:53.3660000Z,0.2448,0.312,0.2284,0.2848,25276084.0,31963
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:01.2370000Z,2021-09-26T23:59:25.4290000Z,0.2848,0.379,0.2488,0.2848,49185612.0,71223
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:00:19.1060000Z,2021-09-27T23:59:24.6290000Z,0.2853,0.2932,0.2549,0.2569,6229479.0,10155
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:34.4780000Z,2021-09-28T23:57:27.3590000Z,0.2565,0.263,0.2321,0.2362,2971464.0,5472
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:02:29.8910000Z,2021-09-29T23:49:17.7790000Z,0.2352,0.2567,0.2297,0.2374,1809752.0,3821
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:01:24.6230000Z,2021-09-30T23:59:48.4240000Z,0.2384,0.2529,0.2375,0.2498,1925757.0,3799
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:02:14.7970000Z,2021-10-01T23:57:33.2270000Z,0.2492,0.287,0.2482,0.2685,4315389.0,7374
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:01:42.8690000Z,2021-10-02T23:59:15.4760000Z,0.2685,0.2839,0.2606,0.2736,1987735.0,3849
