time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-25T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T06:05:02.6700000Z,2021-05-25T23:59:51.5400000Z,9.539,10.25,7.592,8.013,1461437.8,46179
2021-05-26T00:00:00.0000000Z,2021-05-27T00:00:00.0000000Z,2021-05-26T00:00:37.5070000Z,2021-05-26T23:59:55.9550000Z,8.043,8.938,7.65,8.03,651883.64,26662
2021-05-27T00:00:00.0000000Z,2021-05-28T00:00:00.0000000Z,2021-05-27T00:00:04.1500000Z,2021-05-27T23:59:56.1460000Z,8.023,8.5,7.364,7.768,396486.95,17553
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T00:00:05.8090000Z,2021-05-28T23:59:47.4060000Z,7.736,8.056,6.75,7.202,365602.26,12471
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:02:02.9570000Z,2021-05-29T23:54:52.8740000Z,7.202,7.655,6.85,6.973,173838.56,7125
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:03:34.1710000Z,2021-05-30T23:54:47.4660000Z,6.94,7.213,6.75,6.992,132556.08,5580
2021-05-31T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-31T00:00:31.1810000Z,2021-05-31T23:58:04.6540000Z,6.995,7.122,6.582,7.0,236520.34,8763
2021-06-01T00:00:00.0000000Z,2021-06-02T00:00:00.0000000Z,2021-06-01T00:00:42.7730000Z,2021-06-01T23:56:30.5860000Z,6.969,7.278,6.493,6.692,417297.23,11304
2021-06-02T00:00:00.0000000Z,2021-06-03T00:00:00.0000000Z,2021-06-02T00:01:03.7280000Z,2021-06-02T23:59:59.4090000Z,6.69,6.734,6.2,6.267,847109.91,24858
2021-06-03T00:00:00.0000000Z,2021-06-04T00:00:00.0000000Z,2021-06-03T00:00:00.2860000Z,2021-06-03T23:59:55.8280000Z,6.267,7.213,6.221,6.889,589972.41,18776
2021-06-04T00:00:00.0000000Z,2021-06-05T00:00:00.0000000Z,2021-06-04T00:00:00.2380000Z,2021-06-04T23:59:16.1300000Z,6.906,7.009,6.123,6.508,630995.79,19898
2021-06-05T00:00:00.0000000Z,2021-06-06T00:00:00.0000000Z,2021-06-05T00:00:31.5770000Z,2021-06-05T23:59:06.7350000Z,6.523,6.699,6.153,6.262,287145.13,9440
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T00:00:19.7510000Z,2021-06-06T23:59:50.8980000Z,6.244,6.4,6.063,6.179,278918.28,7870
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:41.7650000Z,2021-06-07T23:59:56.3370000Z,6.176,6.329,5.361,5.532,344382.02,10758
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:11.1640000Z,2021-06-08T23:59:45.7600000Z,5.516,5.534,4.614,4.915,544000.22,15377
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:20.1990000Z,2021-06-09T23:53:33.6410000Z,4.915,5.207,4.62,5.058,379428.48,9972
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:28.0260000Z,2021-06-10T23:58:22.3960000Z,5.068,5.35,4.793,5.019,297027.55,7467
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:23.2940000Z,2021-06-11T23:59:58.5800000Z,5.038,5.49,4.75,4.914,410393.47,8865
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:13.7670000Z,2021-06-12T23:57:53.0620000Z,4.92,4.97,4.277,4.437,308530.35,9422
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:17.5630000Z,2021-06-13T23:57:39.7860000Z,4.446,4.628,4.233,4.624,247317.01,4236
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:01:36.7080000Z,2021-06-14T23:55:45.4770000Z,4.625,4.86,4.489,4.818,207110.77,4361
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:01:21.2580000Z,2021-06-15T23:59:41.5340000Z,4.833,5.09,4.581,4.675,240307.8,5079
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:01:33.6800000Z,2021-06-16T23:59:46.5130000Z,4.66,5.37,4.376,4.854,1154227.54,23397
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:00.3390000Z,2021-06-17T23:59:56.6020000Z,4.847,5.68,4.685,4.871,1514786.13,29000
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:07.6400000Z,2021-06-18T23:59:34.1730000Z,4.872,5.0,4.196,4.268,423235.46,8429
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:02.5280000Z,2021-06-19T23:59:54.4980000Z,4.285,8.6,4.0,6.24,11616893.1,217498
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:01.0010000Z,2021-06-20T23:59:47.1780000Z,6.241,6.26,5.06,5.258,5541582.2,119771
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:22.7740000Z,2021-06-21T23:59:56.5720000Z,5.265,5.338,4.0,4.051,2622707.24,53905
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:24.3060000Z,2021-06-22T23:59:50.2600000Z,4.066,4.167,3.33,3.634,1287552.13,25060
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:04.0020000Z,2021-06-23T23:59:46.5870000Z,3.627,4.164,3.577,3.819,1119960.21,20661
