time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T08:00:15.8290000Z,2021-08-19T23:59:57.9760000Z,3.5,5.87,3.171,4.674,98021531.1,874718
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:00:00.0260000Z,2021-08-20T23:59:58.1550000Z,4.675,5.33,4.24,4.345,24753075.3,263868
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:00.0420000Z,2021-08-21T23:59:51.8290000Z,4.345,4.379,3.754,3.852,9063623.9,106606
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:00:12.2400000Z,2021-08-22T23:59:58.7810000Z,3.852,4.8,3.778,4.35,14013196.7,181658
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:00:02.4670000Z,2021-08-23T23:59:58.5330000Z,4.362,4.758,4.257,4.469,9694010.1,137931
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:00:00.6070000Z,2021-08-24T23:59:56.7480000Z,4.469,4.528,3.95,4.042,5003897.1,75019
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:00:12.3520000Z,2021-08-25T23:59:59.4830000Z,4.041,7.808,4.032,7.371,53726165.9,784864
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:00:00.4160000Z,2021-08-26T23:59:59.4500000Z,7.367,10.558,7.18,9.582,57097758.4,934890
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:00.0300000Z,2021-08-27T23:59:59.7380000Z,9.575,10.9,8.786,9.78,38831629.3,778178
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:00.4060000Z,2021-08-28T23:59:58.3320000Z,9.78,9.883,8.508,8.638,11404435.1,215825
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:00:00.4830000Z,2021-08-29T23:59:55.7340000Z,8.639,9.39,8.402,8.957,8725071.5,178389
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:02.5140000Z,2021-08-30T23:59:59.0200000Z,8.965,10.33,8.65,8.771,12699180.7,248717
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:01.8480000Z,2021-08-31T23:59:58.8380000Z,8.762,9.31,7.336,7.54,8889670.8,160899
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:07.0510000Z,2021-09-01T23:59:58.0680000Z,7.539,8.093,7.05,7.55,7522061.9,124225
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:11.7600000Z,2021-09-02T23:59:57.5800000Z,7.554,8.61,7.465,7.512,9456925.6,160456
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:04.5510000Z,2021-09-03T23:59:59.5560000Z,7.51,7.559,7.061,7.098,4861212.4,84111
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:06.8430000Z,2021-09-04T23:59:57.2660000Z,7.095,7.46,6.673,6.911,7892158.4,140203
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:00.1850000Z,2021-09-05T23:59:59.7320000Z,6.906,7.297,6.72,6.807,4674439.3,61113
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:06.7740000Z,2021-09-06T23:59:57.7990000Z,6.804,7.145,6.364,6.41,4988842.2,66282
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:00:03.1460000Z,2021-09-07T23:59:47.4200000Z,6.415,6.67,4.2,4.981,10262469.8,116738
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:08.7240000Z,2021-09-08T23:59:59.7490000Z,4.988,5.568,4.461,5.494,7071561.7,86749
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:00:00.0610000Z,2021-09-09T23:59:56.7560000Z,5.479,6.632,5.036,5.931,10499014.9,139217
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:00.2010000Z,2021-09-10T23:59:24.0980000Z,5.93,6.62,5.253,5.389,6458846.1,106991
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:12.7630000Z,2021-09-11T23:59:36.7430000Z,5.379,5.6,5.233,5.3,2699813.0,42625
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:08.4560000Z,2021-09-12T23:59:51.8600000Z,5.3,5.497,4.953,5.294,2697732.7,45145
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:00:08.6880000Z,2021-09-13T23:59:28.3140000Z,5.294,5.318,4.5,4.827,3391413.4,51196
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:00:12.1320000Z,2021-09-14T23:59:58.4140000Z,4.827,5.153,4.732,5.051,3170490.8,45635
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:01:03.4720000Z,2021-09-15T23:59:58.8930000Z,5.056,5.8,5.018,5.354,5568003.2,81784
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:00:09.3990000Z,2021-09-16T23:59:59.5360000Z,5.354,7.453,5.138,6.4,18714037.7,292164
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:03.3920000Z,2021-09-17T23:59:59.9960000Z,6.4,7.33,5.69,5.74,12318895.7,185296
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:00.5450000Z,2021-09-18T23:59:59.6860000Z,5.74,6.87,5.701,6.11,9106836.5,135860
