time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-24T00:00:00.0000000Z,2021-05-25T00:00:00.0000000Z,2021-05-24T09:04:18.9720000Z,2021-05-24T23:59:47.3450000Z,2.1235,2.1646,1.8186,2.0393,2963059.83,12136
2021-05-25T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T00:00:46.5010000Z,2021-05-25T23:59:00.2860000Z,2.0362,2.5,1.8268,1.9553,1079531.19,10216
2021-05-26T00:00:00.0000000Z,2021-05-27T00:00:00.0000000Z,2021-05-26T00:01:33.0730000Z,2021-05-26T23:59:29.8640000Z,1.9573,2.1,1.8606,1.957,741282.37,4813
2021-05-27T00:00:00.0000000Z,2021-05-28T00:00:00.0000000Z,2021-05-27T00:00:39.9900000Z,2021-05-27T23:56:36.0440000Z,1.9475,2.1692,1.8514,2.05,948126.82,4845
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T00:00:02.1500000Z,2021-05-28T23:59:54.3000000Z,2.0548,2.2,1.9216,1.9912,951757.38,8885
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:00:18.6710000Z,2021-05-29T23:58:37.5540000Z,1.9911,2.3097,1.9625,2.1646,1533038.16,9738
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:01:29.7020000Z,2021-05-30T23:59:37.5590000Z,2.1497,2.2958,2.0436,2.1371,988830.55,5523
2021-05-31T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-31T00:00:10.7600000Z,2021-05-31T23:58:57.2520000Z,2.1371,2.25,2.0205,2.21,1276978.38,4509
2021-06-01T00:00:00.0000000Z,2021-06-02T00:00:00.0000000Z,2021-06-01T00:04:28.1780000Z,2021-06-01T23:59:53.7490000Z,2.2274,2.7829,2.1447,2.4704,2539156.7,14890
2021-06-02T00:00:00.0000000Z,2021-06-03T00:00:00.0000000Z,2021-06-02T00:00:03.6360000Z,2021-06-02T23:57:40.2280000Z,2.4704,2.6666,2.4012,2.4484,1257709.04,9888
2021-06-03T00:00:00.0000000Z,2021-06-04T00:00:00.0000000Z,2021-06-03T00:01:01.0840000Z,2021-06-03T23:59:43.6600000Z,2.4467,2.4918,2.3202,2.3904,1203536.2,7572
2021-06-04T00:00:00.0000000Z,2021-06-05T00:00:00.0000000Z,2021-06-04T00:00:14.1630000Z,2021-06-04T23:59:52.9460000Z,2.391,2.397,2.0785,2.2336,994346.4,6075
2021-06-05T00:00:00.0000000Z,2021-06-06T00:00:00.0000000Z,2021-06-05T00:00:17.0310000Z,2021-06-05T23:59:06.9130000Z,2.2381,2.45,2.1131,2.2204,1001132.29,7337
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T00:02:42.2770000Z,2021-06-06T23:59:15.2380000Z,2.2205,2.2559,2.0606,2.1446,610498.17,3669
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:01:28.1440000Z,2021-06-07T23:56:41.6260000Z,2.1451,2.2579,2.0752,2.0752,1101655.75,4707
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:51.4430000Z,2021-06-08T23:59:36.9100000Z,2.076,2.1442,1.8922,2.0581,787464.95,4804
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:05:30.0420000Z,2021-06-09T23:57:42.6780000Z,2.0514,2.1821,1.99,2.1445,548906.31,3659
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:30.9400000Z,2021-06-10T23:58:53.6980000Z,2.1538,2.163,1.9786,2.03,592630.59,3353
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:02.1290000Z,2021-06-11T23:59:47.5560000Z,2.0247,2.0988,1.9475,2.0036,716860.81,3241
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:04:39.3490000Z,2021-06-12T23:50:23.3710000Z,1.9914,2.0005,1.8772,1.9013,535682.73,2189
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:41.1370000Z,2021-06-13T23:58:16.4330000Z,1.9084,1.9431,1.8377,1.9262,507120.92,2153
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:38.5930000Z,2021-06-14T23:59:23.7920000Z,1.9374,1.9942,1.905,1.9739,494056.36,2811
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:01:32.6120000Z,2021-06-15T23:58:57.6160000Z,1.9759,2.0065,1.9347,1.9505,373027.19,1837
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:15.0060000Z,2021-06-16T23:58:13.9990000Z,1.9473,2.0986,1.9111,1.9183,1911810.07,5977
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:02:15.0320000Z,2021-06-17T23:59:56.9220000Z,1.9196,2.0841,1.9167,2.0273,8106334.77,24393
