time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T06:05:06.2250000Z,2021-07-05T23:59:59.6860000Z,131.56,166.68,87.95,101.5,521889.7,194807
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:00:00.5600000Z,2021-07-06T23:59:28.8010000Z,101.13,120.46,100.2,101.08,183667.22,66000
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:00:21.7480000Z,2021-07-07T23:59:58.3100000Z,101.35,106.0,92.0,92.27,53473.79,25539
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:00.0070000Z,2021-07-08T23:59:48.2130000Z,92.27,93.33,81.15,83.21,39322.92,17007
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:01:05.8860000Z,2021-07-09T23:59:52.5180000Z,83.47,93.44,78.14,89.5,24703.61,10876
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:00:07.6780000Z,2021-07-10T23:59:48.1950000Z,89.54,103.5,88.44,93.59,90594.76,38705
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:00:09.7220000Z,2021-07-11T23:59:56.1000000Z,93.74,94.52,88.02,90.53,22145.42,9998
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:01:12.0080000Z,2021-07-12T23:55:27.1050000Z,90.74,91.58,84.29,85.58,12881.6,6381
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:01:28.3200000Z,2021-07-13T23:59:08.5120000Z,85.6,92.0,81.06,81.5,14450.12,6379
2021-07-14T00:00:00.0000000Z,2021-07-15T00:00:00.0000000Z,2021-07-14T00:00:05.3480000Z,2021-07-14T23:54:35.6630000Z,81.52,87.47,76.6,80.93,18419.6,6928
