time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T10:09:24.5640000Z,2021-09-03T23:59:05.7300000Z,4.247,4.402,4.165,4.261,67889.0,744
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:27.8610000Z,2021-09-04T23:59:31.2490000Z,4.262,4.262,4.065,4.171,94015.5,869
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:01:02.7690000Z,2021-09-05T23:54:02.7090000Z,4.143,4.195,3.946,4.121,78170.2,1061
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:18.2470000Z,2021-09-06T23:46:37.0710000Z,4.158,4.218,3.857,4.111,47493.4,749
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:03:22.7920000Z,2021-09-07T23:54:28.4380000Z,4.074,4.789,2.954,3.258,142986.7,2172
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:09.3700000Z,2021-09-08T23:58:04.1280000Z,3.258,3.52,2.912,3.386,107765.7,1371
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:01:35.4500000Z,2021-09-09T23:58:19.3710000Z,3.338,3.664,3.259,3.486,168779.6,1277
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:01:17.3300000Z,2021-09-10T23:45:53.5700000Z,3.489,3.745,3.11,3.211,171670.6,1450
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:05:10.6460000Z,2021-09-11T23:54:58.2400000Z,3.216,3.374,3.152,3.327,93668.1,862
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:34.0910000Z,2021-09-12T23:59:07.0980000Z,3.323,3.499,3.241,3.425,126808.7,1706
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:01:58.1670000Z,2021-09-13T23:58:11.4910000Z,3.424,3.424,2.998,3.231,117823.6,1331
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:09:05.0370000Z,2021-09-14T23:57:07.3950000Z,3.197,3.35,3.154,3.326,225043.5,1860
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:02:12.4070000Z,2021-09-15T23:45:19.0460000Z,3.326,3.653,3.307,3.522,81179.9,1710
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:05:50.0160000Z,2021-09-16T23:52:17.4290000Z,3.508,3.553,3.329,3.435,40166.1,947
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:09:28.8220000Z,2021-09-17T23:53:49.6610000Z,3.411,3.848,3.354,3.403,496410.2,8173
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:45.2190000Z,2021-09-18T23:55:11.4690000Z,3.426,3.598,3.34,3.523,91268.8,1653
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:00:32.9150000Z,2021-09-19T23:59:25.9400000Z,3.514,3.924,3.484,3.64,560736.6,9532
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:00:24.7870000Z,2021-09-20T23:53:03.4910000Z,3.65,3.653,2.902,3.025,130541.0,2074
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:00:25.3840000Z,2021-09-21T23:57:05.4510000Z,3.021,3.525,2.769,2.82,886507.3,11119
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:00:28.1700000Z,2021-09-22T23:59:46.8960000Z,2.82,3.295,2.697,3.098,281056.0,3505
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:04:21.7640000Z,2021-09-23T23:57:59.1970000Z,3.063,3.14,2.939,3.14,138905.4,1342
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:10:56.1170000Z,2021-09-24T23:59:13.0550000Z,3.091,3.116,2.621,2.853,135270.3,1388
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:00.1820000Z,2021-09-25T23:58:07.8600000Z,2.869,3.14,2.724,2.929,250769.5,3649
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:02:57.7860000Z,2021-09-26T23:59:07.7250000Z,2.923,2.952,2.653,2.796,200390.1,1925
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:01:51.6800000Z,2021-09-27T23:59:32.2970000Z,2.796,2.875,2.721,2.723,91554.7,1209
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:10:01.4440000Z,2021-09-28T23:59:50.0550000Z,2.755,2.945,2.695,2.7,154477.0,2353
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:26.8990000Z,2021-09-29T23:59:32.7240000Z,2.697,2.888,2.66,2.714,79236.8,1200
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:00:13.6840000Z,2021-09-30T23:59:30.4320000Z,2.715,2.966,2.692,2.91,147301.0,1869
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:46.7790000Z,2021-10-01T23:59:45.0640000Z,2.91,3.238,2.89,3.183,169957.9,1979
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:32.3460000Z,2021-10-02T23:46:44.0790000Z,3.178,3.45,3.114,3.226,97696.0,2158
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:06:33.4560000Z,2021-10-03T23:50:15.4830000Z,3.251,3.388,3.135,3.292,71284.4,1491
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:03:00.4360000Z,2021-10-04T23:59:10.1090000Z,3.301,3.552,3.196,3.385,100575.8,2607
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:16.5750000Z,2021-10-05T23:57:51.8630000Z,3.385,3.538,3.309,3.493,94299.4,1720
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:43.6840000Z,2021-10-06T23:54:02.9330000Z,3.48,4.163,3.242,3.554,648890.9,10426
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:14.1360000Z,2021-10-07T23:53:05.1310000Z,3.538,3.58,3.366,3.45,144098.0,1961
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:20.2420000Z,2021-10-08T23:59:40.6290000Z,3.45,3.684,3.393,3.637,107563.5,1788
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:08.3770000Z,2021-10-09T23:49:00.5090000Z,3.638,3.833,3.401,3.48,120379.6,2510
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:19.2530000Z,2021-10-10T23:59:43.6570000Z,3.48,3.805,3.414,3.618,160192.4,3626
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:28.2800000Z,2021-10-11T23:55:43.9520000Z,3.611,3.782,3.374,3.503,44583.3,1318
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:01:05.1940000Z,2021-10-12T23:59:17.0130000Z,3.493,3.493,3.152,3.359,33730.0,1077
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:03:06.2110000Z,2021-10-13T23:59:58.9700000Z,3.342,3.464,3.253,3.443,31124.2,957
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:07.0030000Z,2021-10-14T23:59:48.2530000Z,3.451,3.741,3.45,3.53,93446.7,2454
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:17.2580000Z,2021-10-15T23:58:05.1830000Z,3.538,3.54,3.179,3.249,101268.3,2320
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:06:39.6240000Z,2021-10-16T23:42:17.0950000Z,3.249,3.307,3.19,3.235,94432.7,1099
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:06:40.4600000Z,2021-10-17T23:59:57.7640000Z,3.201,3.35,3.044,3.155,89571.6,1949
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:13.1920000Z,2021-10-18T23:44:46.2310000Z,3.157,3.157,3.007,3.118,60618.8,1231
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:10:46.1200000Z,2021-10-19T23:59:07.8200000Z,3.118,3.194,3.09,3.167,48390.4,791
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:32.6450000Z,2021-10-20T23:59:47.7650000Z,3.17,3.299,3.113,3.286,55671.9,988
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:01:13.6070000Z,2021-10-21T23:58:54.0960000Z,3.284,3.313,3.101,3.126,67351.6,1100
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:03:46.2780000Z,2021-10-22T23:59:58.6250000Z,3.139,3.293,3.12,3.232,102879.9,1283
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:06:12.6840000Z,2021-10-23T23:28:08.3290000Z,3.219,3.427,3.219,3.323,56925.2,1165
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:14.4840000Z,2021-10-24T23:59:46.6270000Z,3.324,3.82,3.163,3.241,234397.2,4178
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:20.5350000Z,2021-10-25T23:57:38.8860000Z,3.241,3.372,3.193,3.32,53423.4,1523
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:05:17.0730000Z,2021-10-26T23:54:09.9650000Z,3.311,3.467,3.237,3.287,47085.3,1314
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:04:04.0880000Z,2021-10-27T23:54:54.3320000Z,3.272,3.343,2.679,2.903,86808.4,1839
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:06:35.1520000Z,2021-10-28T23:52:40.1480000Z,2.903,3.1,2.85,3.073,35718.9,844
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:05:04.4180000Z,2021-10-29T23:27:35.0430000Z,3.092,3.253,3.058,3.201,48342.9,1214
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:03.4450000Z,2021-10-30T23:57:14.2880000Z,3.223,3.418,3.173,3.343,63390.6,1903
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:08.1150000Z,2021-10-31T23:55:03.0880000Z,3.343,3.575,3.176,3.432,73864.8,2089
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:01.6320000Z,2021-11-01T23:54:15.4340000Z,3.447,3.522,3.22,3.476,69662.9,2071
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:00:12.1920000Z,2021-11-02T23:59:53.2740000Z,3.476,3.59,3.378,3.5,62171.8,2360
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:49.7540000Z,2021-11-03T23:40:49.6450000Z,3.515,3.515,3.267,3.383,50593.3,1481
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:57.9710000Z,2021-11-04T23:59:32.4700000Z,3.377,3.548,3.332,3.462,54315.9,1975
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:51.6790000Z,2021-11-05T23:59:49.3700000Z,3.462,3.561,3.341,3.443,49017.5,1780
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:37.7110000Z,2021-11-06T23:59:17.3300000Z,3.421,3.458,3.221,3.361,21530.3,938
