time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T10:09:29.8170000Z,2021-09-03T23:59:54.7830000Z,1.2128,1.41,1.1884,1.3619,4305895.8,13321
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:00.9640000Z,2021-09-04T23:57:28.3050000Z,1.3585,1.3776,1.2432,1.2713,2478283.6,7036
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:52.2680000Z,2021-09-05T23:59:30.0540000Z,1.2713,1.355,1.2534,1.3378,599157.9,2044
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:19.5050000Z,2021-09-06T23:59:51.7630000Z,1.3409,1.41,1.2785,1.371,955008.4,3345
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:02:38.0560000Z,2021-09-07T23:58:33.5190000Z,1.3692,1.3719,0.8622,1.0055,1841665.6,5309
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:14.8020000Z,2021-09-08T23:59:34.0200000Z,1.009,1.0427,0.8889,0.9923,1491198.8,2587
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:00:17.2680000Z,2021-09-09T23:59:52.6400000Z,0.9926,1.1,0.9585,1.0032,1545059.6,2392
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:01:32.3830000Z,2021-09-10T23:59:08.6450000Z,1.0097,1.0499,0.9,0.931,1210056.3,1646
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:55.4520000Z,2021-09-11T23:58:10.7350000Z,0.9299,0.9884,0.9109,0.9473,823588.3,1643
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:02:00.5920000Z,2021-09-12T23:59:30.4780000Z,0.9466,1.0284,0.9228,0.9979,654083.5,3260
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:01:17.7060000Z,2021-09-13T23:58:56.5640000Z,0.9963,1.0076,0.8719,0.9189,1457402.1,3343
