time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T09:00:00.0000000Z,2021-03-08T23:59:57.5480000Z,0.2816,0.79,0.2816,0.4338,33686750.13,75514
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:03.7480000Z,2021-03-09T23:58:40.9920000Z,0.4341,0.4415,0.3653,0.4032,13697726.37,36384
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:26.0840000Z,2021-03-10T23:59:54.1340000Z,0.4025,0.4088,0.3401,0.3458,3688066.78,9947
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:42.2680000Z,2021-03-11T23:58:39.1080000Z,0.3455,0.3939,0.3314,0.3782,3176254.49,10518
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:04.7110000Z,2021-03-12T23:59:55.7340000Z,0.3799,0.4245,0.3514,0.3794,3024105.41,9957
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:01:05.5040000Z,2021-03-13T23:59:23.9830000Z,0.3781,0.4911,0.37,0.4291,4093141.18,12413
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:01:47.5620000Z,2021-03-14T23:59:53.8980000Z,0.4277,0.7646,0.4277,0.7302,7219305.6,25858
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:03.5710000Z,2021-03-15T23:59:35.5980000Z,0.739,0.8805,0.5361,0.7234,18427175.68,71910
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:00.6100000Z,2021-03-16T23:59:47.3840000Z,0.7241,0.7242,0.5067,0.5818,6523611.27,30133
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:17.9490000Z,2021-03-17T23:58:43.4810000Z,0.5827,0.5844,0.5053,0.5485,2988529.08,13119
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:42.5900000Z,2021-03-18T23:58:50.3470000Z,0.5485,0.5815,0.51,0.5144,2189778.34,8453
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:52.1700000Z,2021-03-19T23:57:42.5010000Z,0.5122,0.5979,0.5052,0.5545,1686248.86,6742
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:11.2390000Z,2021-03-20T23:59:33.8880000Z,0.5545,0.6408,0.5364,0.5364,2189954.09,10971
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:01:03.2570000Z,2021-03-21T23:58:21.1050000Z,0.5362,0.585,0.5013,0.525,1236646.4,5303
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:06:30.1300000Z,2021-03-22T23:58:24.4090000Z,0.5248,0.5838,0.454,0.457,2941083.74,10009
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:01:05.1690000Z,2021-03-23T23:57:55.5280000Z,0.456,0.4957,0.4216,0.4476,2745939.66,8256
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:17.0550000Z,2021-03-24T23:58:57.5470000Z,0.4469,0.4968,0.4013,0.4145,1913234.2,5514
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:48.2650000Z,2021-03-25T23:54:39.2790000Z,0.4145,0.4237,0.371,0.3954,2028622.74,5232
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:40.3620000Z,2021-03-26T23:58:46.2670000Z,0.3941,0.4488,0.3907,0.4451,1390193.29,4442
