time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T12:00:27.2340000Z,2021-08-13T23:57:53.6070000Z,9.677,9.747,8.681,9.07,62425.2,1644
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:00:27.2790000Z,2021-08-14T23:58:48.3070000Z,9.07,9.541,8.552,8.932,33166.6,1086
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:00:57.6140000Z,2021-08-15T23:59:23.9000000Z,8.932,9.096,8.141,8.545,42795.6,1046
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:00:24.2190000Z,2021-08-16T23:58:51.5220000Z,8.606,9.298,8.442,8.638,46050.5,1311
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:05:41.2240000Z,2021-08-17T23:58:35.3480000Z,8.509,9.236,8.313,8.384,48210.9,1341
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:02:03.2260000Z,2021-08-18T23:59:59.8330000Z,8.416,9.0,8.083,8.583,38063.2,1257
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T00:00:04.7820000Z,2021-08-19T23:59:44.8990000Z,8.583,12.0,8.441,9.845,347978.0,9218
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:01:02.2870000Z,2021-08-20T23:57:52.1940000Z,9.75,9.93,9.296,9.528,134654.4,2937
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:29.4720000Z,2021-08-21T23:59:57.3890000Z,9.528,9.828,9.17,9.424,48248.2,1544
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:00:27.0760000Z,2021-08-22T23:55:43.0510000Z,9.373,9.418,8.824,9.282,42928.3,1391
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:05:25.2490000Z,2021-08-23T23:55:25.4810000Z,9.325,9.794,9.176,9.58,31194.1,1203
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:01:27.8080000Z,2021-08-24T23:59:36.5890000Z,9.58,9.798,8.568,8.842,51734.7,1529
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:02:59.9510000Z,2021-08-25T23:59:43.1430000Z,8.846,9.201,8.436,8.972,62765.0,1405
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:01:43.7540000Z,2021-08-26T23:59:07.7380000Z,8.97,9.167,7.798,7.976,56234.9,1892
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:01:36.2470000Z,2021-08-27T23:59:21.2130000Z,7.937,8.654,7.828,8.484,41564.4,1394
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:34.5520000Z,2021-08-28T23:57:34.7430000Z,8.519,8.6,8.123,8.357,42016.5,1151
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:04:21.0340000Z,2021-08-29T23:59:55.6590000Z,8.357,8.828,8.121,8.383,72820.5,1469
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:01.9740000Z,2021-08-30T23:59:47.4030000Z,8.376,9.9,8.201,8.707,363133.9,9941
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:30.3430000Z,2021-08-31T23:59:39.1940000Z,8.7,8.931,8.183,8.3,98653.7,2480
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:01:05.9160000Z,2021-09-01T23:57:56.6080000Z,8.242,9.08,8.104,8.955,60894.4,1657
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:03:49.1700000Z,2021-09-02T23:56:04.5510000Z,8.897,8.949,8.45,8.545,53756.8,1502
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:01:45.7570000Z,2021-09-03T23:53:53.1840000Z,8.515,9.101,8.307,8.779,66513.2,1748
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:33.4500000Z,2021-09-04T23:56:45.9370000Z,8.87,9.066,8.726,8.86,46750.0,1384
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:46.2140000Z,2021-09-05T23:57:38.4020000Z,8.895,9.745,8.805,9.597,72544.5,2576
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:03.0790000Z,2021-09-06T23:59:42.7020000Z,9.614,9.776,9.174,9.669,83056.4,3058
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:00:07.7360000Z,2021-09-07T23:59:59.0720000Z,9.67,10.823,6.811,7.938,232236.8,8675
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:23.9960000Z,2021-09-08T23:58:49.0770000Z,7.963,8.35,7.301,7.913,92041.4,3245
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:01:34.9130000Z,2021-09-09T23:59:56.1520000Z,7.963,8.595,7.677,7.821,76120.4,2582
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:09.9040000Z,2021-09-10T23:59:41.6630000Z,7.828,9.115,7.452,8.273,209895.8,5496
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:03.6940000Z,2021-09-11T23:59:05.7980000Z,8.273,9.205,8.1,8.615,258964.4,6828
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:14.5420000Z,2021-09-12T23:58:34.0580000Z,8.621,10.199,8.524,9.678,244525.6,10309
