time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T10:04:18.8400000Z,2021-11-05T23:57:25.9630000Z,0.522,0.5838,0.4845,0.4919,1417129.0,3140
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:01:38.9360000Z,2021-11-06T23:57:08.3040000Z,0.4902,0.5193,0.4772,0.4997,590182.0,718
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:02:12.0580000Z,2021-11-07T23:49:50.3210000Z,0.4949,0.5221,0.494,0.511,651098.0,812
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:06:17.6480000Z,2021-11-08T23:59:22.5520000Z,0.5104,0.7246,0.5104,0.592,17977421.0,31833
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:06.5180000Z,2021-11-09T23:59:20.9970000Z,0.593,0.69,0.556,0.6243,9292804.0,24438
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:00:21.2680000Z,2021-11-10T23:59:19.6960000Z,0.6243,0.789,0.5823,0.687,12783111.0,33560
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:18.9050000Z,2021-11-11T23:59:54.7920000Z,0.685,0.7727,0.639,0.6425,7886542.0,24175
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:55.4570000Z,2021-11-12T23:59:07.8510000Z,0.6425,0.6567,0.5833,0.6075,2134702.0,5548
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:02:18.9240000Z,2021-11-13T23:59:35.0780000Z,0.6081,0.7376,0.5902,0.67,4478547.0,13712
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:28.5630000Z,2021-11-14T23:59:53.3280000Z,0.67,0.7264,0.6335,0.6557,3450795.0,11460
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:12.1570000Z,2021-11-15T23:58:54.4990000Z,0.6557,0.662,0.6119,0.6135,728448.0,2870
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:34.7660000Z,2021-11-16T23:54:22.9970000Z,0.6146,0.6146,0.5363,0.5574,728942.0,3501
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:17.8390000Z,2021-11-17T23:57:55.9220000Z,0.5577,0.5914,0.5325,0.5587,1073668.0,4025
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:01:33.7830000Z,2021-11-18T23:57:40.8370000Z,0.5608,0.5731,0.4922,0.4969,594592.0,2250
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:08.2280000Z,2021-11-19T23:46:59.5800000Z,0.4969,0.5573,0.4902,0.5304,633269.0,2104
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:05:03.9680000Z,2021-11-20T23:51:23.4940000Z,0.5299,0.5575,0.52,0.5379,411811.0,1671
