time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-25T00:00:00.0000000Z,2021-01-26T00:00:00.0000000Z,2021-01-25T10:00:00.0000000Z,2021-01-25T23:31:57.8320000Z,1.0,1.0002,0.9986,0.9999,321177.4,153
2021-01-26T00:00:00.0000000Z,2021-01-27T00:00:00.0000000Z,2021-01-26T00:15:44.0790000Z,2021-01-26T23:57:40.1020000Z,0.9999,1.0002,0.9987,0.9998,210584.29,316
2021-01-27T00:00:00.0000000Z,2021-01-28T00:00:00.0000000Z,2021-01-27T00:02:29.1720000Z,2021-01-27T23:59:03.3820000Z,0.9998,1.0002,0.9998,0.9999,165376.21,586
2021-01-28T00:00:00.0000000Z,2021-01-29T00:00:00.0000000Z,2021-01-28T00:06:14.4950000Z,2021-01-28T23:58:06.2620000Z,0.9998,1.0002,0.9994,0.9999,1691096.03,949
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T00:00:05.8880000Z,2021-01-29T23:57:58.0450000Z,0.9999,1.0036,0.999,0.9998,6115697.17,3239
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:02:17.1500000Z,2021-01-30T23:59:19.8710000Z,0.9998,1.0032,0.9997,0.9999,1224712.2,1110
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:00:14.4200000Z,2021-01-31T23:59:48.3200000Z,1.0,1.0074,0.9998,1.0,3104303.38,1887
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:00:51.6850000Z,2021-02-01T23:58:41.2370000Z,1.0,1.0002,0.9998,0.9999,1627752.96,2052
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:14:27.4390000Z,2021-02-02T23:59:01.1570000Z,1.0,1.0,0.9994,0.9999,4559615.2,1976
2021-02-03T00:00:00.0000000Z,2021-02-04T00:00:00.0000000Z,2021-02-03T00:00:18.6530000Z,2021-02-03T23:55:58.1770000Z,1.0,1.0006,0.9989,1.0,7198233.02,3233
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T00:04:30.9590000Z,2021-02-04T23:59:49.0580000Z,0.9999,1.0001,0.9993,0.9999,3435967.22,1490
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:07.8340000Z,2021-02-05T23:57:23.1790000Z,0.9999,1.0022,0.9999,1.0,1760724.68,843
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:00:58.3240000Z,2021-02-06T23:39:34.3950000Z,0.9999,1.0001,0.9998,1.0,1774336.31,968
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:12.6310000Z,2021-02-07T23:59:56.4140000Z,0.9999,1.0001,0.9998,0.9999,1130206.97,938
