time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T08:00:00.0000000Z,2021-03-19T23:59:57.9220000Z,9.38,17.6,9.38,9.613,9479325.481,187330
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:22.4790000Z,2021-03-20T23:59:56.1850000Z,9.61,10.1,8.48,8.504,2192529.697,50193
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:08.1650000Z,2021-03-21T23:59:15.4010000Z,8.509,9.0,7.653,8.004,1184122.252,24288
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:02.0110000Z,2021-03-22T23:59:16.1750000Z,8.007,8.64,7.551,7.601,1087157.196,22392
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:03.5390000Z,2021-03-23T23:58:10.5570000Z,7.59,7.692,6.5,7.102,827157.993,16250
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:40.7710000Z,2021-03-24T23:58:35.5920000Z,7.098,7.333,6.3,6.315,1371449.262,25969
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:00.2090000Z,2021-03-25T23:59:44.1470000Z,6.322,6.663,5.68,6.048,1033300.998,31747
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:12.8310000Z,2021-03-26T23:59:57.0460000Z,6.037,6.968,5.892,6.81,1802023.527,44869
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:00:16.5080000Z,2021-03-27T23:59:39.3980000Z,6.817,6.877,6.377,6.502,608609.515,13669
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:01:04.2900000Z,2021-03-28T23:59:48.5020000Z,6.507,7.98,6.456,7.278,1787674.445,31877
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:40.1140000Z,2021-03-29T23:59:40.3050000Z,7.279,7.899,7.15,7.317,1080193.645,21975
