time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T09:00:00.0000000Z,2021-02-25T23:59:54.4150000Z,0.4513,1.488,0.4513,0.7947,44783316.23,125893
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:00.6170000Z,2021-02-26T23:59:44.9480000Z,0.7931,0.825,0.5712,0.6004,16100790.92,48277
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:01.7900000Z,2021-02-27T23:59:48.3330000Z,0.6004,0.68,0.5669,0.5999,5421359.46,24206
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:04.6900000Z,2021-02-28T23:59:59.5810000Z,0.5999,0.672,0.4532,0.6228,8704893.39,27113
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:05.7590000Z,2021-03-01T23:59:59.0530000Z,0.6228,0.8679,0.6006,0.7953,26229390.73,78077
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:05.2110000Z,2021-03-02T23:59:59.4660000Z,0.7945,0.86,0.6211,0.675,26837111.97,40046
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:00.4540000Z,2021-03-03T23:59:53.4750000Z,0.6732,0.7468,0.6655,0.6911,31317536.09,29815
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:00.8770000Z,2021-03-04T23:59:51.9730000Z,0.6904,0.732,0.624,0.6594,21045204.39,22459
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:06.5010000Z,2021-03-05T23:59:52.8780000Z,0.6594,0.689,0.6091,0.6825,15618346.44,18628
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:00:02.1160000Z,2021-03-06T23:59:49.7410000Z,0.6825,0.6832,0.6094,0.6289,9298954.75,15661
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:00.6090000Z,2021-03-07T23:59:53.5180000Z,0.628,0.6379,0.6,0.6129,8907602.18,19335
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:00:04.7410000Z,2021-03-08T23:59:52.0280000Z,0.6132,0.6198,0.5484,0.5731,8116621.02,17388
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:02.6920000Z,2021-03-09T23:59:57.7530000Z,0.5743,0.7293,0.567,0.6652,5930583.26,19485
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:12.5850000Z,2021-03-10T23:59:51.9420000Z,0.662,0.6757,0.6,0.6199,12571604.68,14976
