time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T06:10:41.2950000Z,2021-11-23T23:59:44.5560000Z,2.745,2.875,2.519,2.739,9671513.75,60524
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:14.3410000Z,2021-11-24T23:59:56.8480000Z,2.739,3.26,2.617,3.02,10363632.68,65167
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:00.6810000Z,2021-11-25T23:59:53.7760000Z,3.02,3.404,2.68,2.892,8052809.19,55030
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:05.4000000Z,2021-11-26T23:59:58.1580000Z,2.895,2.954,2.308,2.399,4759357.73,29687
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:09.4650000Z,2021-11-27T23:59:55.0320000Z,2.402,2.472,2.269,2.398,2658592.04,14033
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:26.3140000Z,2021-11-28T23:59:41.3920000Z,2.393,2.538,2.089,2.521,4259847.48,22104
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:21.3890000Z,2021-11-29T23:59:59.3580000Z,2.527,2.529,2.322,2.425,3157057.68,15673
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:04.5530000Z,2021-11-30T23:59:19.3820000Z,2.427,2.596,2.32,2.371,3423162.56,19856
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:05.3920000Z,2021-12-01T23:59:55.7880000Z,2.377,2.535,2.22,2.241,3101062.48,14341
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:01.0810000Z,2021-12-02T23:59:34.7330000Z,2.24,2.567,2.072,2.369,3903097.27,26330
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:22.3660000Z,2021-12-03T23:59:40.5150000Z,2.365,2.45,1.983,2.078,1898374.6,13408
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:01.0280000Z,2021-12-04T23:58:38.3070000Z,2.078,2.1,1.33,1.972,4517264.09,22808
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:16.4970000Z,2021-12-05T23:58:54.8520000Z,1.966,1.975,1.55,1.63,2747126.06,11971
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:23.2640000Z,2021-12-06T23:59:59.9130000Z,1.629,1.71,1.388,1.639,1752245.79,7669
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:36.9320000Z,2021-12-07T23:56:44.9330000Z,1.637,1.72,1.599,1.638,682285.06,4381
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:08.4490000Z,2021-12-08T23:59:30.3710000Z,1.643,1.668,1.508,1.588,1402496.98,5695
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:00:10.5650000Z,2021-12-09T23:59:42.7090000Z,1.587,1.646,1.468,1.47,1145994.0,5986
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:06.3970000Z,2021-12-10T23:59:00.3820000Z,1.469,1.513,1.357,1.401,2513594.67,13763
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:16.5010000Z,2021-12-11T23:59:33.4370000Z,1.401,1.498,1.401,1.45,1446633.09,7210
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:01:05.0670000Z,2021-12-12T13:29:49.7430000Z,1.452,1.501,1.428,1.453,656414.98,3918
