time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-19T00:00:00.0000000Z,2021-05-20T00:00:00.0000000Z,2021-05-19T07:25:50.9870000Z,2021-05-19T23:59:41.1750000Z,2.766,3.105,1.343,2.172,6588090.2,53049
2021-05-20T00:00:00.0000000Z,2021-05-21T00:00:00.0000000Z,2021-05-20T00:00:17.6130000Z,2021-05-20T23:59:50.2160000Z,2.173,2.93,1.9,2.481,3060369.11,34012
2021-05-21T00:00:00.0000000Z,2021-05-22T00:00:00.0000000Z,2021-05-21T00:00:14.7470000Z,2021-05-21T23:59:15.4140000Z,2.48,2.7,1.851,2.176,2365017.85,24803
2021-05-22T00:00:00.0000000Z,2021-05-23T00:00:00.0000000Z,2021-05-22T00:00:58.5950000Z,2021-05-22T23:47:41.5630000Z,2.176,2.206,1.85,1.901,1214747.04,13505
2021-05-23T00:00:00.0000000Z,2021-05-24T00:00:00.0000000Z,2021-05-23T00:01:35.2500000Z,2021-05-23T23:59:58.4430000Z,1.87,1.967,1.3,1.582,2089818.93,16962
2021-05-24T00:00:00.0000000Z,2021-05-25T00:00:00.0000000Z,2021-05-24T00:00:09.7190000Z,2021-05-24T23:59:39.4560000Z,1.571,2.1,1.57,2.04,2357954.27,23557
2021-05-25T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T00:00:07.0480000Z,2021-05-25T23:59:30.7040000Z,2.047,2.2,1.691,1.927,1502233.7,17932
2021-05-26T00:00:00.0000000Z,2021-05-27T00:00:00.0000000Z,2021-05-26T00:01:26.1200000Z,2021-05-26T23:59:48.1490000Z,1.923,2.172,1.88,2.062,1099917.27,15123
2021-05-27T00:00:00.0000000Z,2021-05-28T00:00:00.0000000Z,2021-05-27T00:00:11.8420000Z,2021-05-27T23:59:30.8450000Z,2.062,2.647,1.832,2.058,4962014.45,45045
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T00:00:07.0580000Z,2021-05-28T23:59:18.0780000Z,2.056,2.105,1.672,1.737,1755558.84,21461
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:00:24.5130000Z,2021-05-29T23:58:49.7030000Z,1.738,1.877,1.56,1.632,1057551.52,11091
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:00:15.8260000Z,2021-05-30T23:59:42.1650000Z,1.633,1.771,1.529,1.698,1116015.5,12300
2021-05-31T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-31T00:00:05.8310000Z,2021-05-31T23:59:33.9090000Z,1.698,1.85,1.576,1.843,1199762.42,14169
2021-06-01T00:00:00.0000000Z,2021-06-02T00:00:00.0000000Z,2021-06-01T00:00:25.9290000Z,2021-06-01T23:59:39.8000000Z,1.839,1.959,1.747,1.888,1410103.11,13615
2021-06-02T00:00:00.0000000Z,2021-06-03T00:00:00.0000000Z,2021-06-02T00:00:28.6000000Z,2021-06-02T23:59:39.0340000Z,1.888,1.98,1.773,1.874,1267302.5,15299
2021-06-03T00:00:00.0000000Z,2021-06-04T00:00:00.0000000Z,2021-06-03T00:00:33.8750000Z,2021-06-03T23:59:18.5090000Z,1.875,2.06,1.8,2.031,1284313.06,17499
2021-06-04T00:00:00.0000000Z,2021-06-05T00:00:00.0000000Z,2021-06-04T00:00:19.3920000Z,2021-06-04T23:57:42.3890000Z,2.032,2.04,1.703,1.785,1233796.24,15298
2021-06-05T00:00:00.0000000Z,2021-06-06T00:00:00.0000000Z,2021-06-05T00:01:47.8030000Z,2021-06-05T23:57:02.0830000Z,1.786,1.88,1.662,1.719,750368.44,9658
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T00:00:06.2420000Z,2021-06-06T23:58:00.5070000Z,1.722,1.767,1.7,1.742,415021.46,5134
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:54.7130000Z,2021-06-07T23:59:22.2310000Z,1.742,1.85,1.6,1.606,983711.17,10740
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:19.6670000Z,2021-06-08T23:56:30.8580000Z,1.612,1.652,1.4,1.533,1023806.07,11820
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:31.2440000Z,2021-06-09T23:59:24.4890000Z,1.547,1.614,1.48,1.595,998946.94,11092
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:01:10.6610000Z,2021-06-10T23:59:02.9970000Z,1.593,1.628,1.45,1.485,684371.44,7710
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:01:17.0360000Z,2021-06-11T23:54:17.1300000Z,1.476,1.503,1.368,1.385,818419.69,6505
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:16.4200000Z,2021-06-12T23:59:42.9370000Z,1.384,1.386,1.25,1.271,670840.24,5710
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:02:36.4720000Z,2021-06-13T23:58:33.1500000Z,1.268,1.436,1.254,1.389,1040170.95,8634
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:15.6780000Z,2021-06-14T23:59:42.1610000Z,1.385,1.455,1.363,1.446,1053057.73,8418
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:01.9340000Z,2021-06-15T23:58:35.7300000Z,1.445,1.489,1.371,1.39,698053.73,6036
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:32.3580000Z,2021-06-16T23:57:51.6610000Z,1.388,1.416,1.299,1.303,674135.49,6038
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:15.7630000Z,2021-06-17T23:58:09.5060000Z,1.301,1.382,1.3,1.334,709724.81,5644
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:02:13.7140000Z,2021-06-18T23:59:59.7020000Z,1.333,1.345,1.179,1.225,632628.41,6003
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:53.9130000Z,2021-06-19T23:59:34.0820000Z,1.225,1.703,1.2,1.374,10122899.7,60957
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:11.9260000Z,2021-06-20T23:59:55.7850000Z,1.373,1.645,1.326,1.571,14361034.79,113216
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:00.9300000Z,2021-06-21T23:59:52.8730000Z,1.571,1.613,1.119,1.125,4013479.65,31917
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:31.4510000Z,2021-06-22T23:59:50.6980000Z,1.125,1.201,0.883,0.986,2629953.56,20798
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:00.3600000Z,2021-06-23T23:59:45.0770000Z,0.984,1.25,0.954,1.026,2709072.79,15969
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:20.6120000Z,2021-06-24T23:58:05.7160000Z,1.026,1.139,0.985,1.056,1293601.64,9119
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:16.0760000Z,2021-06-25T23:59:23.7670000Z,1.056,1.086,0.925,0.936,1010378.95,7878
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:45.1940000Z,2021-06-26T23:59:09.2160000Z,0.926,0.972,0.88,0.933,684196.43,5649
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:18.1170000Z,2021-06-27T23:56:36.2340000Z,0.934,1.042,0.908,1.003,1291022.02,8140
