time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T08:00:00.0000000Z,2021-03-09T23:59:52.5660000Z,0.1588,0.1962,0.1481,0.1655,29305993.83,32823
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:00.3770000Z,2021-03-10T23:56:20.7570000Z,0.1654,0.1654,0.1404,0.1428,9308177.52,9653
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:01:27.2390000Z,2021-03-11T23:59:25.0690000Z,0.1426,0.153,0.1303,0.1474,8194859.53,9146
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:01:33.8400000Z,2021-03-12T23:45:38.2260000Z,0.1462,0.1524,0.1317,0.1343,4895687.47,5263
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:04:36.4900000Z,2021-03-13T23:58:20.2680000Z,0.1349,0.1592,0.1317,0.1485,6972484.79,7880
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:46.7770000Z,2021-03-14T23:59:53.4590000Z,0.1478,0.1999,0.1454,0.182,15620807.56,23318
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:11.1730000Z,2021-03-15T23:59:34.0540000Z,0.1819,0.218,0.1602,0.1695,16346897.51,23668
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:10.6210000Z,2021-03-16T23:58:02.0320000Z,0.169,0.1746,0.1492,0.1655,6946311.77,10241
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:38.7430000Z,2021-03-17T23:59:26.1880000Z,0.1655,0.1772,0.1565,0.1724,4237116.04,9038
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:34.5050000Z,2021-03-18T23:59:08.6940000Z,0.1725,0.2009,0.1678,0.1713,8044516.67,15889
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:11.6420000Z,2021-03-19T23:57:23.9310000Z,0.1714,0.1828,0.1601,0.1666,3905128.36,7052
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:03:05.0620000Z,2021-03-20T23:55:43.3610000Z,0.1666,0.1782,0.162,0.1629,2688576.69,4358
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:04:00.6500000Z,2021-03-21T23:59:14.4430000Z,0.162,0.1719,0.1501,0.1637,3721658.15,5038
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:48.3520000Z,2021-03-22T23:51:29.0230000Z,0.1636,0.1745,0.1564,0.1585,4334330.05,6444
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:22.9610000Z,2021-03-23T23:59:51.4670000Z,0.1577,0.1645,0.1444,0.1605,2956119.35,5997
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:20.0010000Z,2021-03-24T23:59:57.7860000Z,0.1603,0.1695,0.1446,0.1485,3508130.1,4762
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:03.3880000Z,2021-03-25T23:54:16.2090000Z,0.1488,0.15,0.1332,0.1389,3169266.85,4974
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:40.1780000Z,2021-03-26T23:58:00.1310000Z,0.1388,0.155,0.1388,0.1519,4361133.79,3581
