time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T12:03:12.2440000Z,2021-11-16T23:59:59.4000000Z,10.869,15.0,7.7382,8.303,25500607.29,673485
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:00.4630000Z,2021-11-17T23:59:53.9930000Z,8.2901,9.1798,6.5192,6.7703,7597666.07,150613
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:09.2540000Z,2021-11-18T23:59:52.5960000Z,6.7645,6.7886,5.234,5.492,3001129.46,45108
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:09.4140000Z,2021-11-19T23:59:58.7760000Z,5.492,7.0522,5.3323,6.1031,4437212.99,66064
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:12.3030000Z,2021-11-20T23:59:59.2540000Z,6.1037,6.5,5.8702,6.0635,1684376.25,25467
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:06.2980000Z,2021-11-21T23:59:14.4220000Z,6.0635,6.2798,5.65,5.6958,1320745.93,21417
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:12.3000000Z,2021-11-22T23:59:55.4430000Z,5.6677,6.5898,5.458,6.0217,2645719.63,47029
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:02.4250000Z,2021-11-23T23:59:59.1110000Z,6.013,6.4999,5.401,5.5502,2373192.39,45149
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:01:35.4520000Z,2021-11-24T23:59:36.4310000Z,5.56,5.7,5.0,5.0712,1153270.11,22311
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:35.4830000Z,2021-11-25T23:59:57.0130000Z,5.0716,5.35,4.93,5.0272,960458.87,16368
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:01:10.0730000Z,2021-11-26T23:59:35.3270000Z,5.0204,5.2382,4.25,4.3004,1037076.11,15767
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:03.3950000Z,2021-11-27T23:58:18.3440000Z,4.3102,4.6622,4.29,4.3207,560723.87,8734
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:01:08.0410000Z,2021-11-28T23:58:10.6490000Z,4.3238,4.3441,3.9332,4.2349,526734.24,8275
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:01:55.0070000Z,2021-11-29T23:57:37.9700000Z,4.217,4.2699,4.0759,4.1683,345287.02,5900
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:16.3400000Z,2021-11-30T23:59:35.3120000Z,4.1683,4.2537,3.9241,3.9429,595841.39,8179
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:24.8090000Z,2021-12-01T23:59:57.7400000Z,3.9514,4.15,3.89,3.8963,757864.86,10188
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:20.1710000Z,2021-12-02T23:59:37.0680000Z,3.8963,3.9009,3.625,3.7159,579365.82,7370
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:23.6310000Z,2021-12-03T23:59:40.9630000Z,3.7159,3.7891,3.168,3.5039,992519.48,11535
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:04.6510000Z,2021-12-04T23:59:38.6610000Z,3.5032,3.5035,2.6,3.0079,901398.34,9548
