time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T06:00:11.3500000Z,2021-11-17T23:59:59.1630000Z,0.7445,0.8497,0.6389,0.7137,48811096.0,107139
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:00.2410000Z,2021-11-18T23:59:54.7560000Z,0.7136,0.7137,0.5156,0.5255,14500243.0,25356
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:05.2990000Z,2021-11-19T23:59:22.0650000Z,0.5262,0.5446,0.4819,0.5378,5726497.0,9812
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:45.0010000Z,2021-11-20T23:59:54.5060000Z,0.538,0.8325,0.5189,0.786,43774546.0,62674
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:04.5260000Z,2021-11-21T23:59:38.4290000Z,0.7884,0.9571,0.7259,0.7906,16360606.0,26619
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:23.1030000Z,2021-11-22T23:58:31.8520000Z,0.7906,0.7906,0.7131,0.7321,3411464.0,4983
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:39.1880000Z,2021-11-23T23:59:48.6880000Z,0.7347,0.8073,0.728,0.7626,4129311.0,6112
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:33.0260000Z,2021-11-24T23:59:23.9710000Z,0.7637,0.8123,0.7209,0.7675,4437541.0,5166
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:10.3730000Z,2021-11-25T23:58:51.5060000Z,0.7629,0.7659,0.6876,0.7164,2771113.0,3635
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:01.5560000Z,2021-11-26T23:59:55.3280000Z,0.7163,0.7287,0.595,0.6243,2020025.0,2550
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:05.7170000Z,2021-11-27T23:56:21.6020000Z,0.6262,0.6675,0.6151,0.6496,1286883.0,1521
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:52.1600000Z,2021-11-28T23:59:28.4760000Z,0.654,0.6586,0.5793,0.6308,1057400.0,1235
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:01:33.7480000Z,2021-11-29T23:58:05.9900000Z,0.6285,0.6866,0.6231,0.6514,1591164.0,1963
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:47.4390000Z,2021-11-30T23:56:43.3930000Z,0.6512,0.6512,0.601,0.6076,788614.0,1246
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:04:14.1980000Z,2021-12-01T23:58:25.5800000Z,0.6075,0.6211,0.5803,0.5948,678432.0,1228
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:29.8390000Z,2021-12-02T23:59:59.1220000Z,0.5948,0.724,0.5948,0.6276,5930256.0,10319
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:07.0390000Z,2021-12-03T23:59:50.3910000Z,0.6271,0.6271,0.54,0.5554,1475488.0,2266
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:01:37.9670000Z,2021-12-04T23:59:48.2420000Z,0.5555,0.5556,0.3516,0.4869,1521595.0,2569
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:10.2780000Z,2021-12-05T23:59:30.4610000Z,0.4869,0.4964,0.4262,0.4458,1092606.0,1504
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:21.1880000Z,2021-12-06T23:59:11.5100000Z,0.4454,0.5118,0.375,0.4752,2761807.0,4280
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:00.9320000Z,2021-12-07T23:59:37.0840000Z,0.4736,0.5285,0.4702,0.5066,2639557.0,3996
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:28.5270000Z,2021-12-08T23:59:35.3160000Z,0.5072,0.5106,0.4666,0.4979,876848.0,1345
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:00:27.9050000Z,2021-12-09T23:58:30.1650000Z,0.4983,0.4997,0.4477,0.4512,990459.0,1582
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:03:13.2180000Z,2021-12-10T23:58:38.5080000Z,0.4516,0.522,0.449,0.4753,3602922.0,5903
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:36.8320000Z,2021-12-11T23:56:24.8530000Z,0.4728,0.4765,0.4552,0.4752,479976.0,811
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:01:13.2530000Z,2021-12-12T13:19:06.0830000Z,0.4737,0.4756,0.458,0.4642,191647.0,293
