time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T04:00:00.0000000Z,2021-04-09T23:59:53.7440000Z,7.03,9.699,5.201,5.529,33786704.112,561624
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:02.9180000Z,2021-04-10T23:59:57.3710000Z,5.529,5.67,4.324,4.774,20640156.117,261111
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:01.0370000Z,2021-04-11T23:59:58.9170000Z,4.767,4.8,3.862,4.47,14587275.178,169166
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:03.8060000Z,2021-04-12T23:59:57.1320000Z,4.475,5.6,4.431,4.673,20031416.005,244316
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:00:03.4180000Z,2021-04-13T23:59:58.3460000Z,4.663,4.74,4.221,4.532,9383892.564,117706
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:01.3330000Z,2021-04-14T23:59:52.0250000Z,4.546,4.789,3.82,4.147,11219570.051,134622
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:07.2300000Z,2021-04-15T23:59:52.7870000Z,4.145,4.55,4.04,4.314,8806478.408,101409
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:01.8700000Z,2021-04-16T23:59:58.2600000Z,4.31,4.315,3.6,3.835,10420074.231,119165
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:01.6020000Z,2021-04-17T23:59:44.2000000Z,3.841,4.241,3.661,3.918,9594438.187,98886
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:05.6970000Z,2021-04-18T23:59:54.5110000Z,3.902,3.916,2.83,3.389,8908028.508,80826
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:00.0650000Z,2021-04-19T23:59:58.9740000Z,3.39,3.8,2.98,3.129,8359358.621,76845
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:00.6070000Z,2021-04-20T01:59:55.8300000Z,3.13,3.149,2.8,2.885,858254.69,8967
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:00.4590000Z,2021-04-21T23:59:54.4300000Z,3.189,3.735,3.135,3.195,12862959.6,128269
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:05.2190000Z,2021-04-22T23:59:59.7070000Z,3.196,3.3,2.664,2.692,7371226.894,74103
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:00.2280000Z,2021-04-23T23:59:58.5720000Z,2.695,2.788,1.759,2.658,15456518.961,96924
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:05.5810000Z,2021-04-24T23:59:59.1910000Z,2.654,2.947,2.364,2.422,8209767.628,62985
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:00.1080000Z,2021-04-25T03:59:32.9470000Z,2.421,2.606,2.4,2.435,961760.037,8169
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:06.9240000Z,2021-04-26T23:59:59.7180000Z,2.509,3.6,2.445,3.398,19758960.317,175979
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:12.4420000Z,2021-04-27T23:59:53.6110000Z,3.356,3.6,3.18,3.549,7435280.868,80157
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:02.6940000Z,2021-04-28T23:59:47.8780000Z,3.549,3.55,3.034,3.325,5436458.381,56329
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:00:01.5420000Z,2021-04-29T23:59:58.2900000Z,3.329,3.463,3.075,3.239,4530239.182,43010
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:02.1950000Z,2021-04-30T23:59:58.3360000Z,3.238,3.421,3.13,3.366,5088582.975,44264
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:02.1900000Z,2021-05-01T23:59:50.3430000Z,3.369,3.369,3.208,3.309,3233376.635,29730
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:00:03.0550000Z,2021-05-02T23:59:59.2050000Z,3.307,3.4,3.08,3.311,5052168.657,45117
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:00:00.0650000Z,2021-05-03T23:59:40.5370000Z,3.312,3.579,3.302,3.371,7765231.339,67202
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:00:04.2880000Z,2021-05-04T23:59:52.4080000Z,3.365,3.373,2.869,2.928,7439644.596,66060
2021-05-05T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-05T00:00:01.0640000Z,2021-05-05T23:47:16.7020000Z,2.93,3.159,2.836,3.137,5956802.671,50190
2021-05-06T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-06T00:38:24.6570000Z,2021-05-06T23:59:23.2540000Z,3.05,3.19,2.9,2.993,5469026.958,50341
2021-05-07T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-07T00:00:02.9820000Z,2021-05-07T23:59:59.3390000Z,2.993,3.202,2.746,3.011,6735306.661,66860
2021-05-08T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-08T00:00:01.6040000Z,2021-05-08T23:59:59.9200000Z,3.011,3.309,2.933,3.026,8198761.754,60778
2021-05-09T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-09T00:00:02.8890000Z,2021-05-09T23:59:58.3550000Z,3.029,3.142,2.865,3.039,4628969.425,37074
2021-05-10T00:00:00.0000000Z,2021-05-11T00:00:00.0000000Z,2021-05-10T00:00:01.3210000Z,2021-05-10T23:59:58.9080000Z,3.04,3.04,2.34,2.619,6097645.794,51853
2021-05-11T00:00:00.0000000Z,2021-05-12T00:00:00.0000000Z,2021-05-11T00:00:04.1110000Z,2021-05-11T23:59:59.7780000Z,2.618,2.905,2.49,2.805,5943795.344,45266
2021-05-12T00:00:00.0000000Z,2021-05-13T00:00:00.0000000Z,2021-05-12T00:00:16.0620000Z,2021-05-12T23:59:59.7290000Z,2.804,3.057,2.2,2.248,5866180.015,54503
2021-05-13T00:00:00.0000000Z,2021-05-14T00:00:00.0000000Z,2021-05-13T00:00:00.0820000Z,2021-05-13T23:59:59.5760000Z,2.243,2.58,2.125,2.406,6209405.382,47077
2021-05-14T00:00:00.0000000Z,2021-05-15T00:00:00.0000000Z,2021-05-14T00:00:02.4860000Z,2021-05-14T23:59:58.4270000Z,2.405,2.599,2.336,2.569,3837757.465,32469
2021-05-15T00:00:00.0000000Z,2021-05-16T00:00:00.0000000Z,2021-05-15T00:00:02.8590000Z,2021-05-15T23:59:44.2200000Z,2.564,2.678,2.3,2.361,4568598.149,36488
2021-05-16T00:00:00.0000000Z,2021-05-17T00:00:00.0000000Z,2021-05-16T00:00:01.6160000Z,2021-05-16T23:59:49.2420000Z,2.362,2.504,2.165,2.349,4594226.307,35283
2021-05-17T00:00:00.0000000Z,2021-05-18T00:00:00.0000000Z,2021-05-17T00:00:03.9490000Z,2021-05-17T23:59:49.1230000Z,2.349,2.353,1.991,2.148,7965230.705,51419
2021-05-18T00:00:00.0000000Z,2021-05-19T00:00:00.0000000Z,2021-05-18T00:00:04.1060000Z,2021-05-18T23:59:58.4720000Z,2.148,2.378,2.063,2.205,7944330.657,52702
2021-05-19T00:00:00.0000000Z,2021-05-20T00:00:00.0000000Z,2021-05-19T00:00:02.8570000Z,2021-05-19T23:59:57.8430000Z,2.206,2.244,1.056,1.401,11415143.648,61053
2021-05-20T00:00:00.0000000Z,2021-05-21T00:00:00.0000000Z,2021-05-20T00:00:05.3050000Z,2021-05-20T23:59:57.0560000Z,1.411,1.73,1.24,1.697,5380965.254,31241
2021-05-21T00:00:00.0000000Z,2021-05-22T00:00:00.0000000Z,2021-05-21T00:00:01.7350000Z,2021-05-21T23:59:55.0940000Z,1.696,1.986,1.4,1.802,10436519.575,61567
2021-05-22T00:00:00.0000000Z,2021-05-23T00:00:00.0000000Z,2021-05-22T00:00:04.6080000Z,2021-05-22T23:47:15.4820000Z,1.801,1.944,1.544,1.777,5982404.092,37821
2021-05-23T00:00:00.0000000Z,2021-05-24T00:00:00.0000000Z,2021-05-23T00:01:30.0650000Z,2021-05-23T23:59:59.8970000Z,1.74,1.75,1.126,1.457,6309867.628,33890
2021-05-24T00:00:00.0000000Z,2021-05-25T00:00:00.0000000Z,2021-05-24T00:00:00.1210000Z,2021-05-24T23:59:55.9130000Z,1.456,1.974,1.256,1.761,11690552.523,63666
2021-05-25T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T00:00:06.6190000Z,2021-05-25T23:59:56.1100000Z,1.761,1.87,1.518,1.692,4572135.743,29605
2021-05-26T00:00:00.0000000Z,2021-05-27T00:00:00.0000000Z,2021-05-26T00:00:06.9070000Z,2021-05-26T23:59:53.0520000Z,1.694,1.829,1.623,1.812,3717052.628,25662
2021-05-27T00:00:00.0000000Z,2021-05-28T00:00:00.0000000Z,2021-05-27T00:00:07.1070000Z,2021-05-27T23:59:56.2430000Z,1.807,1.81,1.63,1.75,2772780.499,21663
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T00:00:00.3300000Z,2021-05-28T23:59:59.8200000Z,1.752,1.803,1.534,1.795,5335821.467,33356
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:00:00.1450000Z,2021-05-29T23:59:56.5960000Z,1.795,1.795,1.593,1.679,2866754.13,20088
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:00:00.9020000Z,2021-05-30T23:59:42.6760000Z,1.682,1.698,1.539,1.656,1783451.885,14990
2021-05-31T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-31T00:00:09.9150000Z,2021-05-31T23:59:20.8150000Z,1.655,1.748,1.555,1.707,2249084.402,15254
2021-06-01T00:00:00.0000000Z,2021-06-02T00:00:00.0000000Z,2021-06-01T00:00:11.1710000Z,2021-06-01T23:59:41.3350000Z,1.706,1.714,1.6,1.64,1760332.755,7442
2021-06-02T00:00:00.0000000Z,2021-06-03T00:00:00.0000000Z,2021-06-02T00:00:11.9730000Z,2021-06-02T23:59:58.0700000Z,1.64,1.715,1.611,1.69,3617257.116,25377
2021-06-03T00:00:00.0000000Z,2021-06-04T00:00:00.0000000Z,2021-06-03T00:00:01.0480000Z,2021-06-03T23:59:32.8230000Z,1.69,1.753,1.644,1.75,2365862.862,15204
2021-06-04T00:00:00.0000000Z,2021-06-05T00:00:00.0000000Z,2021-06-04T00:00:07.3360000Z,2021-06-04T23:58:59.4200000Z,1.75,1.756,1.511,1.594,2882957.352,17767
2021-06-05T00:00:00.0000000Z,2021-06-06T00:00:00.0000000Z,2021-06-05T00:00:12.6930000Z,2021-06-05T23:59:57.8170000Z,1.592,1.645,1.492,1.554,1798170.341,11048
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T00:00:02.9810000Z,2021-06-06T23:59:53.8640000Z,1.556,1.773,1.535,1.624,4777742.15,29364
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:12.6440000Z,2021-06-07T23:59:43.4060000Z,1.624,1.709,1.453,1.476,2113274.307,14422
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:06.2580000Z,2021-06-08T23:59:45.9220000Z,1.478,1.507,1.277,1.423,2777540.471,19110
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:11.2640000Z,2021-06-09T23:59:08.3340000Z,1.419,1.569,1.314,1.517,3707505.454,24180
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:12.6890000Z,2021-06-10T23:59:50.7190000Z,1.517,1.526,1.45,1.505,2030520.969,11507
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:02.1540000Z,2021-06-11T23:59:56.8910000Z,1.502,1.76,1.338,1.375,6412820.563,33943
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:12.5190000Z,2021-06-12T23:59:57.7210000Z,1.375,1.378,1.2,1.255,2717533.14,16698
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:12.7710000Z,2021-06-13T23:58:30.8190000Z,1.254,1.333,1.218,1.315,2536921.766,14388
