time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T08:13:13.2320000Z,2021-11-26T23:59:59.7330000Z,36.69,50.0,28.59,36.0,3049580.862,252183
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:00.8900000Z,2021-11-27T23:59:56.3600000Z,36.0,42.5,31.55,37.23,925004.39,81202
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:04.3540000Z,2021-11-28T23:59:53.6230000Z,37.24,43.0,33.52,38.75,494871.346,49024
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:06.0050000Z,2021-11-29T23:59:57.4440000Z,38.77,49.1,37.2,41.48,1042252.899,127428
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:03.2470000Z,2021-11-30T23:59:57.2080000Z,41.48,46.92,40.0,44.57,432895.144,52880
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:05.1650000Z,2021-12-01T23:59:56.5880000Z,44.53,49.78,40.99,41.11,671368.397,81066
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:04.8100000Z,2021-12-02T23:59:28.6800000Z,41.08,44.17,36.38,38.1,509033.054,64284
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:27.3420000Z,2021-12-03T23:59:46.9610000Z,38.08,42.5,32.27,35.11,437535.631,49374
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:49.5340000Z,2021-12-04T23:59:34.2180000Z,35.24,35.49,24.63,30.0,858660.21,72296
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:01.5770000Z,2021-12-05T23:59:46.7610000Z,29.91,34.8,25.5,26.35,691400.049,65401
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:16.4840000Z,2021-12-06T23:59:50.8930000Z,26.4,31.3,18.8,27.93,1552268.119,104169
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:02.2860000Z,2021-12-07T23:59:59.8540000Z,27.93,35.3,27.32,29.7,1729653.028,174688
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:02.5940000Z,2021-12-08T23:59:25.7470000Z,29.68,31.21,26.4,28.27,682641.138,60081
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:00:00.4880000Z,2021-12-09T23:59:53.3670000Z,28.3,29.85,23.73,27.63,991951.368,87611
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:03.8130000Z,2021-12-10T23:59:58.9830000Z,27.64,29.73,24.77,25.09,822714.198,85010
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:02.7430000Z,2021-12-11T23:59:37.5200000Z,25.02,29.15,24.55,28.0,425013.266,49052
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:00:01.6090000Z,2021-12-12T13:30:41.2670000Z,28.0,29.61,26.87,29.57,185225.065,22147
