time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T06:02:31.1940000Z,2021-10-11T23:59:58.9570000Z,3.63,4.431,2.393,2.559,76451705.5,496332
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:01.3730000Z,2021-10-12T23:59:55.4450000Z,2.558,3.1,2.304,2.398,38038102.0,203431
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:17.4110000Z,2021-10-13T23:59:55.2940000Z,2.398,2.503,1.96,2.055,13666102.7,67755
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:08.1110000Z,2021-10-14T23:59:19.8620000Z,2.055,2.25,1.956,2.11,10091823.2,48429
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:14.5530000Z,2021-10-15T23:59:44.3060000Z,2.111,2.2,1.793,1.877,8270951.7,41658
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:21.4580000Z,2021-10-16T23:59:51.8220000Z,1.874,2.031,1.85,1.892,4628325.3,25595
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:19.2380000Z,2021-10-17T23:59:58.3620000Z,1.892,2.761,1.854,2.056,30743714.6,161954
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:14.5900000Z,2021-10-18T23:59:53.8180000Z,2.056,2.54,2.011,2.19,14114496.6,81335
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:09.2970000Z,2021-10-19T23:59:55.7860000Z,2.193,2.465,2.122,2.36,11941990.8,81158
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:01.5640000Z,2021-10-20T23:59:38.2800000Z,2.359,2.5,2.19,2.245,7669099.8,47830
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:04.4380000Z,2021-10-21T23:59:39.0890000Z,2.245,2.275,2.036,2.068,4727234.3,30749
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:04.5680000Z,2021-10-22T23:59:54.7020000Z,2.068,2.12,1.868,1.928,3456670.9,22788
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:04.0700000Z,2021-10-23T23:59:27.6100000Z,1.927,2.038,1.882,1.95,2273132.7,18038
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:07.4900000Z,2021-10-24T23:59:47.1290000Z,1.952,2.15,1.851,1.885,4398838.9,36657
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:07.2550000Z,2021-10-25T23:58:38.9430000Z,1.886,2.049,1.86,1.942,3232710.6,26469
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:02.3130000Z,2021-10-26T23:59:59.1030000Z,1.939,1.976,1.876,1.897,2790962.8,21433
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:01:02.1820000Z,2021-10-27T23:58:52.6120000Z,1.897,1.946,1.589,1.595,3852679.1,26180
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:22.1750000Z,2021-10-28T23:58:35.6210000Z,1.595,1.725,1.52,1.661,4130740.3,26681
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:24.8660000Z,2021-10-29T23:59:52.4500000Z,1.657,1.854,1.61,1.767,3932266.4,32400
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:37.4420000Z,2021-10-30T23:59:55.5260000Z,1.767,2.1,1.7,1.86,10364555.1,100691
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:06.5240000Z,2021-10-31T23:59:58.4940000Z,1.86,2.1,1.857,1.959,6803329.6,59697
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:11.2270000Z,2021-11-01T23:59:44.9600000Z,1.959,1.995,1.82,1.901,2547853.2,24274
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:00:07.0320000Z,2021-11-02T23:59:32.3820000Z,1.902,1.95,1.848,1.921,2490647.3,20624
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:22.0340000Z,2021-11-03T23:59:46.9220000Z,1.921,2.047,1.85,2.036,4900464.9,39669
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:02.5050000Z,2021-11-04T23:59:45.8510000Z,2.035,2.051,1.769,1.81,3380303.1,23462
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:13.5560000Z,2021-11-05T23:59:44.4570000Z,1.812,1.832,1.738,1.748,2367936.2,15222
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:03.2990000Z,2021-11-06T23:59:52.0490000Z,1.75,1.752,1.619,1.724,2280726.5,14899
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:15.0580000Z,2021-11-07T23:59:10.9070000Z,1.727,1.858,1.717,1.772,2069424.7,14975
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:19.1700000Z,2021-11-08T23:59:41.9650000Z,1.773,1.781,1.662,1.684,1992415.7,15030
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:07.3680000Z,2021-11-09T23:59:41.3760000Z,1.681,1.717,1.601,1.676,3636237.4,25019
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:01:10.7890000Z,2021-11-10T23:59:52.3810000Z,1.674,1.823,1.485,1.5,6256998.2,39024
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:13.4320000Z,2021-11-11T23:59:18.6790000Z,1.5,1.635,1.47,1.573,3017643.5,18634
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:12.7780000Z,2021-11-12T23:59:52.8000000Z,1.578,1.595,1.426,1.485,2367962.9,17463
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:04.2600000Z,2021-11-13T23:59:53.3450000Z,1.484,1.6,1.44,1.55,2433753.3,18435
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:18.9700000Z,2021-11-14T23:59:21.3260000Z,1.549,1.598,1.469,1.507,2228741.2,15521
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:04.3940000Z,2021-11-15T23:59:13.4210000Z,1.507,1.785,1.506,1.697,9426989.5,66801
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:11.4070000Z,2021-11-16T23:59:39.9680000Z,1.697,1.697,1.415,1.5,3150822.2,21525
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:21.4490000Z,2021-11-17T23:59:59.0080000Z,1.501,1.7,1.406,1.569,4028993.1,26448
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:22.6450000Z,2021-11-18T23:59:59.3310000Z,1.569,2.319,1.51,1.642,33093880.2,228404
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:03.8640000Z,2021-11-19T23:59:53.0840000Z,1.645,2.28,1.626,1.878,28725220.3,197336
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:15.5190000Z,2021-11-20T23:59:54.7330000Z,1.88,2.038,1.75,1.884,9330814.0,65643
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:13.9780000Z,2021-11-21T23:59:57.8980000Z,1.884,2.64,1.847,2.132,24223656.7,222310
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:02.6650000Z,2021-11-22T23:59:15.7500000Z,2.131,2.5,2.031,2.055,14176077.8,145651
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:00.6740000Z,2021-11-23T23:59:58.2020000Z,2.052,2.052,1.777,1.834,8076052.1,74141
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:07.7780000Z,2021-11-24T23:59:46.2240000Z,1.835,1.961,1.685,1.926,10067372.2,88497
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:25.9250000Z,2021-11-25T23:59:57.3190000Z,1.926,2.131,1.818,1.843,7443777.2,71116
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:17.2530000Z,2021-11-26T23:59:54.8720000Z,1.845,1.858,1.561,1.584,8227258.2,70536
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:06.8360000Z,2021-11-27T23:59:24.2700000Z,1.58,1.719,1.58,1.623,3306820.2,32730
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:15.3680000Z,2021-11-28T23:59:38.6930000Z,1.619,1.8,1.535,1.737,3664594.2,38961
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:05.6020000Z,2021-11-29T23:59:15.4480000Z,1.734,1.798,1.652,1.657,2758719.6,27885
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:01:00.4270000Z,2021-11-30T23:59:59.0350000Z,1.657,1.958,1.651,1.923,6926002.8,76528
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:02.4790000Z,2021-12-01T23:59:39.2140000Z,1.921,2.08,1.788,1.822,7583152.8,76129
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:28.1980000Z,2021-12-02T23:59:47.4280000Z,1.821,1.823,1.657,1.681,3566100.6,32981
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:00.6030000Z,2021-12-03T23:59:51.0840000Z,1.683,1.719,1.496,1.542,3891162.4,34358
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:17.1270000Z,2021-12-04T23:59:34.8610000Z,1.542,1.544,0.992,1.322,4341097.3,27132
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:09.7820000Z,2021-12-05T23:59:51.5550000Z,1.322,1.332,1.182,1.203,1857790.4,12379
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:15.3730000Z,2021-12-06T23:59:51.4980000Z,1.202,1.796,1.066,1.326,10856737.7,88627
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:21.3630000Z,2021-12-07T23:59:59.5330000Z,1.322,1.597,1.258,1.418,9540903.0,83256
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:01:23.1670000Z,2021-12-08T23:59:57.7030000Z,1.419,1.501,1.328,1.421,3338970.8,27629
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:00:50.3990000Z,2021-12-09T23:59:56.0680000Z,1.421,1.48,1.235,1.25,2080203.6,16194
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:30.8490000Z,2021-12-10T23:59:59.0220000Z,1.25,1.304,1.141,1.148,1390704.8,10067
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:00.7840000Z,2021-12-11T23:59:56.6950000Z,1.147,1.237,1.129,1.185,1340493.8,8606
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:00:33.1940000Z,2021-12-12T13:30:08.7620000Z,1.188,1.234,1.16,1.21,1003864.0,6435
