time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-10T00:00:00.0000000Z,2021-08-11T00:00:00.0000000Z,2021-08-10T06:01:27.1010000Z,2021-08-10T23:59:56.3140000Z,4.491,4.65,4.006,4.222,836919.2,11437
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T00:02:25.2620000Z,2021-08-11T23:58:05.5310000Z,4.192,4.738,4.134,4.202,384270.7,5304
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:09:45.1870000Z,2021-08-12T23:57:27.0620000Z,4.219,4.83,4.042,4.519,451764.0,5341
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:04:08.9490000Z,2021-08-13T23:56:12.2750000Z,4.519,5.219,4.47,5.069,540006.5,9817
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:01:42.4030000Z,2021-08-14T23:59:48.7190000Z,5.09,5.348,4.808,4.991,203742.9,9555
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:00:42.7000000Z,2021-08-15T23:59:51.2630000Z,4.994,5.961,4.655,5.832,537525.6,14261
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:00:07.3960000Z,2021-08-16T23:59:44.7030000Z,5.83,6.99,5.796,6.275,1872025.1,45511
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:00:22.9350000Z,2021-08-17T23:59:55.4410000Z,6.264,8.927,5.96,6.882,2304355.4,46719
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:00:50.3950000Z,2021-08-18T23:59:55.1860000Z,6.89,8.396,6.336,7.621,1459784.9,30432
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T00:00:13.3430000Z,2021-08-19T23:59:24.2590000Z,7.621,7.945,7.127,7.466,700683.8,18311
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:00:17.0020000Z,2021-08-20T23:59:55.2200000Z,7.469,8.249,7.413,8.24,492639.7,13687
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:13.0550000Z,2021-08-21T23:59:43.0600000Z,8.24,8.249,7.225,7.386,355040.6,10232
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:00:13.0840000Z,2021-08-22T23:59:55.7990000Z,7.386,7.915,6.958,7.168,325966.6,9644
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:00:13.4870000Z,2021-08-23T23:59:16.2250000Z,7.168,7.789,7.068,7.232,463260.8,12185
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:00:20.3680000Z,2021-08-24T23:59:55.6260000Z,7.232,8.15,6.8,6.971,586036.4,17964
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:00:14.8690000Z,2021-08-25T23:59:11.8500000Z,6.964,7.424,6.689,7.222,365727.8,11400
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:00:22.6410000Z,2021-08-26T23:59:46.2920000Z,7.222,7.5,6.7,6.83,285469.1,10729
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:18.0050000Z,2021-08-27T23:59:59.9860000Z,6.865,12.89,6.725,10.144,6065002.5,232838
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:03.9560000Z,2021-08-28T23:59:59.1230000Z,10.136,17.785,9.589,11.301,7377123.1,313955
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:00:02.1010000Z,2021-08-29T23:59:59.3750000Z,11.301,13.0,10.525,11.506,3706507.0,148951
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:00.0080000Z,2021-08-30T23:59:54.9230000Z,11.505,13.393,10.7,11.694,3001792.8,130699
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:01.9690000Z,2021-08-31T23:59:58.9440000Z,11.692,14.5,11.236,12.036,3198435.3,143144
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:02.4590000Z,2021-09-01T23:59:57.2150000Z,12.051,12.462,11.39,11.588,1039653.5,46227
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:13.4390000Z,2021-09-02T23:59:55.0850000Z,11.58,12.8,11.289,11.777,1115538.7,51786
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:16.8010000Z,2021-09-03T23:59:54.4810000Z,11.777,13.79,11.732,12.721,1792664.5,97721
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:08.2110000Z,2021-09-04T23:59:56.3770000Z,12.718,13.7,12.003,12.371,724921.7,51215
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:31.5410000Z,2021-09-05T23:59:58.0770000Z,12.404,12.702,12.022,12.478,375456.1,24610
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:07.6020000Z,2021-09-06T23:59:58.4450000Z,12.478,13.08,10.18,12.834,1029838.7,53510
