time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T12:03:27.8010000Z,2021-09-22T23:59:59.4530000Z,0.7611,0.8499,0.7529,0.8351,7077858.0,30692
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:00.0340000Z,2021-09-23T23:59:59.9470000Z,0.8351,0.9134,0.7932,0.9089,2202050.0,7930
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:00:00.0830000Z,2021-09-24T23:59:55.1110000Z,0.9086,1.1698,0.8869,1.1193,20837118.0,93895
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:05.4050000Z,2021-09-25T23:59:30.8180000Z,1.1182,1.1777,0.9985,1.0204,6430178.0,30894
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:11.5970000Z,2021-09-26T23:59:46.3520000Z,1.02,1.1798,0.9245,1.16,4649760.0,21933
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:00:00.3140000Z,2021-09-27T23:59:46.0840000Z,1.1592,1.1636,1.0218,1.0258,3655193.0,15688
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:06.5820000Z,2021-09-28T23:59:47.4890000Z,1.0258,1.042,0.9256,0.9256,1248591.0,7404
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:01.4610000Z,2021-09-29T23:58:41.6080000Z,0.9251,1.0158,0.8951,0.9198,1356468.0,7318
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:00:21.9770000Z,2021-09-30T23:59:34.5410000Z,0.9194,1.0,0.9003,0.94,1527733.0,5567
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:04.5680000Z,2021-10-01T23:59:58.5890000Z,0.94,1.06,0.9096,1.0498,2813802.0,6423
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:05.8990000Z,2021-10-02T23:59:57.9330000Z,1.0485,1.374,1.0251,1.2255,12315564.0,43297
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:00:00.7890000Z,2021-10-03T23:56:01.5320000Z,1.226,1.2409,1.1614,1.2113,2573170.0,11248
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:20.0830000Z,2021-10-04T23:59:01.2240000Z,1.2113,1.2341,1.1058,1.1647,1668995.0,7055
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:02:22.8390000Z,2021-10-05T23:57:23.3840000Z,1.1671,1.3084,1.1508,1.2019,2172106.0,10167
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:49.6610000Z,2021-10-06T23:59:38.8390000Z,1.206,1.2228,1.1018,1.1315,1514067.0,5091
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:01:00.5470000Z,2021-10-07T23:59:52.3360000Z,1.1321,1.175,1.0864,1.1516,1189610.0,5316
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:29.0930000Z,2021-10-08T23:59:57.7480000Z,1.1517,1.1529,1.0101,1.0962,574133.0,3350
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:15.3590000Z,2021-10-09T23:44:05.8910000Z,1.1016,1.1042,1.0631,1.0725,399454.0,2233
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:58.5420000Z,2021-10-10T23:58:02.2310000Z,1.0686,1.0725,1.0059,1.0149,343072.0,2231
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:01:37.8740000Z,2021-10-11T23:59:11.2030000Z,1.0075,1.1477,0.984,1.0178,2191823.0,8649
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:02:16.4010000Z,2021-10-12T23:59:52.4930000Z,1.0159,1.0171,0.9396,1.01,820479.0,4646
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:25.2220000Z,2021-10-13T23:59:55.9990000Z,1.006,1.0253,0.904,0.9939,688794.0,3831
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:13.9840000Z,2021-10-14T23:59:32.9230000Z,0.996,1.0578,0.9845,1.008,1013878.0,4983
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:03:04.2260000Z,2021-10-15T23:57:50.3850000Z,1.0048,1.11,0.9795,1.0352,1382542.0,8969
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:02:01.5530000Z,2021-10-16T23:59:19.2850000Z,1.0352,1.0835,1.0127,1.03,505971.0,3324
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:44.6600000Z,2021-10-17T23:59:43.3950000Z,1.0292,1.0771,0.9882,1.0272,426823.0,3545
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:16.1250000Z,2021-10-18T23:58:33.0410000Z,1.0303,1.0305,0.9663,0.9901,522399.0,3097
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:16.8240000Z,2021-10-19T23:56:45.1410000Z,0.9913,1.0079,0.9635,0.9845,368812.0,2244
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:04:35.2700000Z,2021-10-20T23:58:07.2900000Z,0.9818,1.0698,0.9722,1.0588,592144.0,3427
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:09:20.4100000Z,2021-10-21T23:59:53.2900000Z,1.0598,1.137,1.0485,1.1194,1943863.0,10839
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:20.1850000Z,2021-10-22T23:59:30.1740000Z,1.1194,1.1485,1.0405,1.1084,883868.0,5288
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:01.1910000Z,2021-10-23T23:59:51.6190000Z,1.1069,1.1189,1.0854,1.1084,227733.0,2003
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:22.0790000Z,2021-10-24T23:59:16.8340000Z,1.1084,1.1422,1.062,1.0884,482441.0,2958
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:42.2050000Z,2021-10-25T23:54:37.8910000Z,1.0912,1.1349,1.0837,1.1169,947465.0,3144
