time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T06:00:40.7700000Z,2021-11-05T23:59:59.9530000Z,47.36,51.0,32.23,40.24,486993.32,52698
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:28.3310000Z,2021-11-06T23:59:56.7460000Z,40.3,70.0,40.25,49.6,1608063.57,238627
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:01.0560000Z,2021-11-07T23:59:32.0000000Z,49.56,50.5,45.58,48.48,217230.31,35720
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:38.6900000Z,2021-11-08T23:59:52.7780000Z,48.48,48.77,42.0,46.11,74254.5,14174
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:01:00.0480000Z,2021-11-09T23:58:59.0520000Z,46.11,46.21,42.71,43.38,39038.21,6856
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:01:43.1160000Z,2021-11-10T23:58:20.2250000Z,43.51,44.47,39.3,41.89,38924.75,8311
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:18.1030000Z,2021-11-11T23:57:25.0360000Z,41.89,42.59,40.2,41.25,22249.82,4671
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:01:23.5310000Z,2021-11-12T23:58:48.7510000Z,41.21,43.82,39.57,42.04,43090.39,8079
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:02:54.1960000Z,2021-11-13T23:59:56.8140000Z,42.18,43.34,41.02,41.1,19910.19,4560
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:08:52.9000000Z,2021-11-14T23:58:39.6060000Z,41.12,41.67,40.09,40.7,19814.14,2721
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:00.0500000Z,2021-11-15T23:56:54.7320000Z,40.58,41.98,38.21,39.34,119323.89,15775
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:14.6080000Z,2021-11-16T23:58:45.4890000Z,39.22,39.33,34.47,36.53,63559.6,7875
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:01:54.3610000Z,2021-11-17T23:59:44.6560000Z,36.4,36.84,30.7,31.93,87114.51,11137
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:09.0240000Z,2021-11-18T23:54:14.0820000Z,31.98,34.19,28.89,29.47,66052.08,8149
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:19.1410000Z,2021-11-19T23:58:26.5650000Z,29.51,32.39,28.8,30.2,59130.34,5797
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:05:20.0660000Z,2021-11-20T23:57:42.8990000Z,30.3,31.99,29.55,30.23,66908.42,5439
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:46.9410000Z,2021-11-21T23:59:56.6560000Z,30.36,76.95,29.22,36.87,1573178.26,173741
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:00.0100000Z,2021-11-22T23:59:32.6980000Z,36.73,43.6,30.01,32.0,597490.2,73737
