time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-07T00:00:00.0000000Z,2021-01-08T00:00:00.0000000Z,2021-01-07T13:00:00.0000000Z,2021-01-07T23:59:43.9310000Z,0.1936,0.5,0.1501,0.2005,38511004.75,31654
2021-01-08T00:00:00.0000000Z,2021-01-09T00:00:00.0000000Z,2021-01-08T00:00:04.3520000Z,2021-01-08T23:59:56.8300000Z,0.2031,0.239,0.144,0.1844,33494655.89,24300
2021-01-09T00:00:00.0000000Z,2021-01-10T00:00:00.0000000Z,2021-01-09T00:00:00.4290000Z,2021-01-09T23:58:57.8850000Z,0.1825,0.2142,0.1677,0.1891,13357125.93,10887
2021-01-10T00:00:00.0000000Z,2021-01-11T00:00:00.0000000Z,2021-01-10T00:00:16.8120000Z,2021-01-10T23:59:59.7560000Z,0.1894,0.1994,0.162,0.1894,12288354.63,8362
2021-01-11T00:00:00.0000000Z,2021-01-12T00:00:00.0000000Z,2021-01-11T00:00:01.1470000Z,2021-01-11T23:59:52.7960000Z,0.1856,0.1857,0.1323,0.1551,7116770.2,5163
2021-01-12T00:00:00.0000000Z,2021-01-13T00:00:00.0000000Z,2021-01-12T00:00:00.9800000Z,2021-01-12T23:59:29.1110000Z,0.155,0.1779,0.1475,0.1648,5393541.15,4782
2021-01-13T00:00:00.0000000Z,2021-01-14T00:00:00.0000000Z,2021-01-13T00:00:18.1200000Z,2021-01-13T23:57:51.1620000Z,0.1649,0.19,0.156,0.1772,7614201.39,5764
2021-01-14T00:00:00.0000000Z,2021-01-15T00:00:00.0000000Z,2021-01-14T00:00:30.1470000Z,2021-01-14T23:59:22.9780000Z,0.1771,0.2454,0.1726,0.2333,21778405.79,16714
2021-01-15T00:00:00.0000000Z,2021-01-16T00:00:00.0000000Z,2021-01-15T00:00:20.8160000Z,2021-01-15T23:59:53.3180000Z,0.234,0.26,0.1819,0.2012,20145216.42,15923
2021-01-16T00:00:00.0000000Z,2021-01-17T00:00:00.0000000Z,2021-01-16T00:00:21.9660000Z,2021-01-16T23:59:23.1610000Z,0.2012,0.2195,0.1867,0.1955,7801789.79,6891
