time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T10:03:50.7970000Z,2021-06-06T23:59:49.6250000Z,4.675,4.81,4.553,4.73,32466.0,823
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:01:36.2470000Z,2021-06-07T23:57:51.4410000Z,4.735,4.973,4.196,4.229,26752.4,729
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:20.3550000Z,2021-06-08T23:37:15.2450000Z,4.211,4.298,3.561,4.152,22610.3,908
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:18:17.6910000Z,2021-06-09T23:59:04.7360000Z,4.001,4.257,3.822,4.156,29351.4,542
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:29.1310000Z,2021-06-10T23:58:03.2110000Z,4.157,4.208,3.684,3.684,27395.6,814
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:01:51.3310000Z,2021-06-11T23:57:26.6980000Z,3.68,3.922,3.293,3.363,28660.7,995
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:02:43.5150000Z,2021-06-12T23:57:28.1110000Z,3.335,3.7,3.01,3.17,60113.7,1292
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:02:11.9370000Z,2021-06-13T23:50:47.0530000Z,3.195,3.523,3.138,3.401,31038.0,928
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:02:08.1190000Z,2021-06-14T23:51:34.8980000Z,3.421,3.729,3.284,3.698,45619.5,1404
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:58.6180000Z,2021-06-15T23:58:34.7620000Z,3.675,4.72,3.621,4.085,899043.3,20345
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:11.0130000Z,2021-06-16T23:59:07.3510000Z,4.088,4.088,3.7,3.777,94897.3,2404
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:40.0660000Z,2021-06-17T23:56:47.0790000Z,3.777,4.029,3.533,3.645,101384.9,1502
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:02:06.3310000Z,2021-06-18T23:59:49.1570000Z,3.617,3.617,3.182,3.384,45481.8,1471
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:30:00.1440000Z,2021-06-19T23:59:18.3980000Z,3.417,3.72,3.326,3.33,98514.3,2275
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:07:29.5280000Z,2021-06-20T23:42:44.3060000Z,3.314,3.58,3.095,3.417,102737.4,938
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:04:56.1990000Z,2021-06-21T23:53:52.7100000Z,3.445,3.445,2.65,2.656,109539.2,1213
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:03:05.6750000Z,2021-06-22T23:47:41.8540000Z,2.631,2.935,2.2,2.55,52495.5,1009
