time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T10:04:19.8260000Z,2021-10-22T23:59:54.3810000Z,5.98,7.0,5.521,6.558,3148341.6,64060
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:02.4270000Z,2021-10-23T23:59:49.0120000Z,6.549,7.1,6.079,6.117,2066586.2,63996
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:06.2780000Z,2021-10-24T23:59:34.0420000Z,6.119,6.371,5.967,6.208,423184.8,17250
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:21.8100000Z,2021-10-25T23:59:57.9710000Z,6.229,8.04,6.16,7.895,2087512.6,60944
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:00.1780000Z,2021-10-26T23:59:59.4610000Z,7.894,9.911,7.5,7.87,7089924.2,229898
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:00:00.0320000Z,2021-10-27T23:59:47.1030000Z,7.883,9.98,7.258,8.701,3209569.3,108216
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:20.4460000Z,2021-10-28T23:59:57.9470000Z,8.702,10.8,8.446,9.915,3152226.7,104750
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:08.9770000Z,2021-10-29T23:59:46.9000000Z,9.912,10.518,8.82,8.938,1312498.9,51590
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:09.3470000Z,2021-10-30T23:59:49.0480000Z,8.939,9.7,8.751,8.942,985301.6,37522
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:06.2500000Z,2021-10-31T23:58:42.2110000Z,8.933,9.064,8.051,8.517,782735.7,29320
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:11.6930000Z,2021-11-01T23:59:56.4070000Z,8.516,9.611,8.496,8.764,1010643.3,40990
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:01:12.7160000Z,2021-11-02T23:59:56.1400000Z,8.769,10.2,8.5,9.602,1456882.1,51351
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:08.0920000Z,2021-11-03T23:59:40.5970000Z,9.628,10.2,8.727,9.209,1057696.8,42269
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:15.7460000Z,2021-11-04T23:59:29.6470000Z,9.182,9.32,8.45,8.858,819796.9,28679
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:17.3030000Z,2021-11-05T23:59:37.7830000Z,8.856,9.5,8.5,8.981,645047.5,24264
