time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T10:08:55.4910000Z,2021-09-24T23:57:57.3710000Z,135.79,150.0,125.01,139.48,13527.65,2197
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:58.0410000Z,2021-09-25T23:55:03.2300000Z,138.99,149.05,132.49,136.88,5170.6,1017
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:02:13.8230000Z,2021-09-26T23:45:24.6050000Z,135.3,141.0,124.69,135.63,11526.06,1776
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:04:29.8860000Z,2021-09-27T23:59:06.4010000Z,135.88,148.7,133.99,136.44,14002.38,2282
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:47.5140000Z,2021-09-28T23:59:24.9470000Z,136.31,144.71,125.01,131.83,24457.32,2956
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:23.6950000Z,2021-09-29T23:59:54.4340000Z,132.13,140.0,128.4,135.33,14155.15,2539
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:02:22.8070000Z,2021-09-30T23:58:48.0770000Z,135.17,143.38,132.01,141.04,12691.18,2355
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:27.5540000Z,2021-10-01T23:59:57.6140000Z,141.47,170.0,138.33,161.95,18585.71,4577
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:17.6140000Z,2021-10-02T23:59:00.1660000Z,161.95,178.89,156.23,168.97,21595.44,4807
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:01:27.5290000Z,2021-10-03T23:58:29.2370000Z,169.41,186.24,165.77,172.26,11613.91,2941
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:01.8850000Z,2021-10-04T23:59:29.7840000Z,172.65,173.16,162.01,166.81,11065.71,2393
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:59.3040000Z,2021-10-05T23:59:16.0800000Z,167.17,172.0,160.0,164.64,10302.49,3306
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:03.0170000Z,2021-10-06T23:59:21.5400000Z,164.48,166.76,150.1,153.97,19874.25,4648
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:27.3700000Z,2021-10-07T23:49:55.5800000Z,153.72,161.56,150.37,154.28,13997.09,3880
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:56.6830000Z,2021-10-08T23:59:09.9990000Z,154.37,168.98,152.42,159.11,20937.1,4740
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:01:28.0790000Z,2021-10-09T23:59:22.4520000Z,158.6,161.52,154.3,156.75,11186.85,2590
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:17.1480000Z,2021-10-10T23:59:02.7570000Z,156.79,158.47,145.61,147.69,11480.56,2762
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:30.0250000Z,2021-10-11T23:58:10.4690000Z,147.47,154.05,140.41,144.91,13454.0,4134
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:04:18.7430000Z,2021-10-12T23:56:14.5440000Z,145.08,153.42,137.73,152.82,14604.28,3595
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:30.3060000Z,2021-10-13T23:59:10.8730000Z,152.36,155.52,144.36,148.27,12271.32,3122
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:01:49.5240000Z,2021-10-14T23:59:49.8590000Z,148.74,155.88,147.28,150.14,15229.1,3235
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:02:34.5130000Z,2021-10-15T23:59:52.3090000Z,150.0,165.38,146.85,163.18,25693.09,6785
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:02:39.7560000Z,2021-10-16T23:59:25.9150000Z,162.28,164.75,156.5,157.39,12245.95,2453
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:02:25.6810000Z,2021-10-17T23:59:51.8920000Z,157.57,167.5,153.93,159.95,19905.49,3460
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:25.2220000Z,2021-10-18T23:59:14.2360000Z,160.22,162.88,155.0,157.23,20364.98,3758
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:02:13.6710000Z,2021-10-19T23:56:38.9400000Z,157.29,159.91,153.25,155.85,15626.14,2533
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:01:11.9390000Z,2021-10-20T23:59:27.1280000Z,155.8,176.8,155.15,176.8,23094.54,5120
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:16.1950000Z,2021-10-21T23:58:23.1310000Z,176.98,194.11,176.98,190.65,26882.62,7939
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:49.5570000Z,2021-10-22T23:59:00.0790000Z,190.61,215.0,188.01,196.22,39234.47,10342
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:01:44.1550000Z,2021-10-23T23:59:19.8690000Z,197.31,205.69,192.0,197.71,15990.2,3696
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:01:10.5220000Z,2021-10-24T23:57:22.1520000Z,197.54,204.93,185.31,202.52,15957.78,3905
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:19.1430000Z,2021-10-25T23:58:50.1860000Z,202.52,219.99,198.16,210.16,22092.2,5316
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:52.9310000Z,2021-10-26T23:59:15.0520000Z,209.53,214.47,196.61,199.98,19480.16,4259
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:00:59.5360000Z,2021-10-27T23:59:17.1950000Z,199.5,205.3,177.18,183.66,27038.61,7460
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:17.7210000Z,2021-10-28T23:59:59.7970000Z,184.76,201.44,180.94,195.38,19202.56,6020
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:00.1590000Z,2021-10-29T23:58:04.9770000Z,195.38,205.8,195.12,200.0,11948.62,3964
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:06.6550000Z,2021-10-30T23:59:55.9160000Z,200.56,200.56,187.44,195.88,8547.84,2441
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:04.8970000Z,2021-10-31T23:59:26.3400000Z,195.75,205.3,185.5,202.69,10665.82,4081
