time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T10:02:01.7250000Z,2021-06-18T23:59:56.0040000Z,0.02012,0.0203,0.01858,0.01961,21544533.0,4374
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:07.2260000Z,2021-06-19T23:59:25.6540000Z,0.01961,0.025,0.01887,0.01894,20603011.0,5066
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:01:24.1390000Z,2021-06-20T23:58:39.5700000Z,0.01888,0.02344,0.01739,0.01945,10408866.0,3140
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:08.1120000Z,2021-06-21T23:56:36.3020000Z,0.01922,0.01933,0.01361,0.01362,7674537.0,1984
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:36.4370000Z,2021-06-22T23:38:49.6430000Z,0.0138,0.01487,0.01069,0.012,13459143.0,2057
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:09.4830000Z,2021-06-23T23:59:15.4300000Z,0.01242,0.01433,0.01208,0.01309,7042961.0,1425
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:02.2120000Z,2021-06-24T23:51:10.4010000Z,0.01313,0.01498,0.01231,0.01399,7800804.0,1079
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:18.0400000Z,2021-06-25T23:39:32.8940000Z,0.01411,0.01499,0.01273,0.01313,11201803.0,1941
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:23.0000000Z,2021-06-26T23:58:33.0400000Z,0.01287,0.01371,0.01248,0.01326,4277043.0,914
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:02:16.5360000Z,2021-06-27T23:57:25.1210000Z,0.01316,0.01429,0.01307,0.01418,3642770.0,725
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:02:12.7950000Z,2021-06-28T23:59:56.5640000Z,0.01427,0.018,0.0138,0.0163,66436302.0,9127
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:13.3910000Z,2021-06-29T23:59:59.8110000Z,0.01634,0.01923,0.01618,0.0175,59795242.0,8504
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:39.2720000Z,2021-06-30T23:59:24.3500000Z,0.01757,0.01915,0.01646,0.01885,26213054.0,4897
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:01:01.0220000Z,2021-07-01T23:59:30.9230000Z,0.01885,0.0235,0.01876,0.02038,135865150.0,22889
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:00:16.6440000Z,2021-07-02T23:59:25.8250000Z,0.0204,0.024,0.02014,0.02145,38138658.0,7486
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:00:08.3570000Z,2021-07-03T23:59:40.5900000Z,0.02152,0.02179,0.02021,0.02147,23531947.0,4802
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:00:03.1670000Z,2021-07-04T23:59:54.8440000Z,0.02147,0.02257,0.02043,0.02162,15052115.0,3000
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:00:34.6950000Z,2021-07-05T23:55:35.9360000Z,0.02154,0.022,0.01965,0.02036,9404096.0,2227
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:01:56.5690000Z,2021-07-06T23:56:03.2100000Z,0.02045,0.02125,0.02007,0.02082,11560449.0,1993
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:00:31.1000000Z,2021-07-07T23:59:10.1010000Z,0.02065,0.022,0.02008,0.02091,13533889.0,2581
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:01:35.7460000Z,2021-07-08T23:47:41.6390000Z,0.02087,0.02108,0.01782,0.01836,7422833.0,1845
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:01:56.0370000Z,2021-07-09T23:59:18.6800000Z,0.01825,0.01876,0.01702,0.01856,7019819.0,1486
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:06:01.8350000Z,2021-07-10T23:59:40.9810000Z,0.01856,0.01925,0.01801,0.0186,6405353.0,1484
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:02:06.0750000Z,2021-07-11T23:59:16.1250000Z,0.0186,0.01977,0.01783,0.01909,8526111.0,1791
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:00:26.9260000Z,2021-07-12T23:59:56.9560000Z,0.0191,0.02011,0.0186,0.01997,22391584.0,4865
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:00:05.4470000Z,2021-07-13T23:59:55.6080000Z,0.02003,0.02003,0.01841,0.01919,8298246.0,2061
2021-07-14T00:00:00.0000000Z,2021-07-15T00:00:00.0000000Z,2021-07-14T00:01:53.8630000Z,2021-07-14T23:55:51.4640000Z,0.01909,0.01932,0.01732,0.01825,12793600.0,3031
2021-07-15T00:00:00.0000000Z,2021-07-16T00:00:00.0000000Z,2021-07-15T00:00:54.8500000Z,2021-07-15T23:59:16.1440000Z,0.01829,0.01899,0.01663,0.01716,12765633.0,2544
2021-07-16T00:00:00.0000000Z,2021-07-17T00:00:00.0000000Z,2021-07-16T00:00:13.9900000Z,2021-07-16T23:55:28.9300000Z,0.01719,0.01725,0.01528,0.01551,7412769.0,1520
2021-07-17T00:00:00.0000000Z,2021-07-18T00:00:00.0000000Z,2021-07-17T00:01:50.0070000Z,2021-07-17T23:50:02.8010000Z,0.01552,0.01675,0.01508,0.01639,9983453.0,1512
