time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T10:08:59.0610000Z,2021-09-24T23:34:29.7400000Z,1.239,1.306,0.9,1.267,312978.2,950
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:01:15.8370000Z,2021-09-25T23:55:11.5780000Z,1.275,1.299,1.21,1.248,73770.2,264
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:04:49.7550000Z,2021-09-26T23:51:31.5600000Z,1.254,1.292,1.165,1.24,133210.3,380
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:21:09.6300000Z,2021-09-27T23:59:40.9590000Z,1.237,1.3,1.197,1.197,137741.8,336
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:32:40.0790000Z,2021-09-28T23:56:34.9460000Z,1.205,1.221,1.126,1.137,432202.2,596
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:57.1630000Z,2021-09-29T23:56:17.7210000Z,1.134,1.19,1.107,1.141,590016.2,725
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:09:13.0670000Z,2021-09-30T23:13:22.8310000Z,1.134,1.214,1.134,1.196,141933.5,278
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:08:35.9890000Z,2021-10-01T23:57:22.9970000Z,1.196,1.321,1.171,1.321,195568.8,466
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:03.3030000Z,2021-10-02T23:46:02.4570000Z,1.323,1.378,1.307,1.323,138695.5,418
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:19:31.9460000Z,2021-10-03T23:48:15.1470000Z,1.325,1.366,1.299,1.331,131328.9,364
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:41:28.7660000Z,2021-10-04T23:59:38.2120000Z,1.312,1.436,1.275,1.416,661290.0,1383
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:10.8610000Z,2021-10-05T23:56:58.1460000Z,1.416,1.426,1.343,1.411,192214.1,642
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:07:34.8020000Z,2021-10-06T23:51:52.9760000Z,1.402,1.449,1.336,1.374,625690.8,1312
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:02.1030000Z,2021-10-07T23:59:53.2750000Z,1.378,1.444,1.349,1.397,376490.1,745
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:10:25.0620000Z,2021-10-08T23:56:20.9650000Z,1.4,1.487,1.383,1.433,195402.8,781
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:29.9450000Z,2021-10-09T23:59:50.6010000Z,1.433,2.2,1.414,1.864,8818390.2,37359
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:01.4210000Z,2021-10-10T23:59:59.9120000Z,1.868,2.625,1.726,2.031,24083890.3,130719
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:00.8830000Z,2021-10-11T23:59:13.7340000Z,2.03,2.249,1.861,1.915,3281137.8,32880
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:33.8790000Z,2021-10-12T23:59:51.2210000Z,1.914,2.204,1.833,2.047,1653072.2,21014
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:05.5390000Z,2021-10-13T23:59:40.2910000Z,2.044,2.435,2.032,2.224,3596517.7,36935
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:13.6550000Z,2021-10-14T23:59:50.6490000Z,2.223,2.32,2.1,2.211,818720.8,9768
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:02.2990000Z,2021-10-15T23:59:41.8500000Z,2.214,2.246,1.946,1.987,861013.2,8918
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:21.4060000Z,2021-10-16T23:43:33.4170000Z,1.986,2.053,1.922,1.961,503313.3,5735
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:18.5950000Z,2021-10-17T23:59:57.7720000Z,1.962,2.24,1.943,2.198,2883967.7,24744
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:01.0020000Z,2021-10-18T23:59:59.4790000Z,2.198,2.817,2.194,2.567,9420125.2,80530
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:05.8200000Z,2021-10-19T23:59:33.7540000Z,2.57,2.656,2.294,2.339,1112532.4,12279
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:17.3480000Z,2021-10-20T23:59:51.7060000Z,2.329,2.43,2.205,2.409,941382.4,10283
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:18.4290000Z,2021-10-21T23:59:03.1690000Z,2.403,2.457,2.218,2.294,868833.7,9169
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:00.0250000Z,2021-10-22T23:57:25.7290000Z,2.295,2.318,2.162,2.191,426896.8,4497
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:01:13.2930000Z,2021-10-23T23:59:52.0590000Z,2.19,2.243,2.121,2.221,298414.1,3156
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:13.0930000Z,2021-10-24T23:57:14.6270000Z,2.218,2.388,2.131,2.204,1243832.2,12978
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:24.7220000Z,2021-10-25T23:59:10.2320000Z,2.203,2.246,2.155,2.22,469968.6,4109
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:32.2900000Z,2021-10-26T23:59:23.6070000Z,2.22,2.226,2.136,2.157,611971.8,3794
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:02:05.6160000Z,2021-10-27T23:58:11.8350000Z,2.149,2.197,1.842,1.865,1118675.7,10275
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:36.0640000Z,2021-10-28T23:59:10.8610000Z,1.861,1.946,1.812,1.938,656134.2,7174
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:31.4790000Z,2021-10-29T23:54:12.0360000Z,1.937,2.077,1.89,1.986,477355.3,5671
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:50.6630000Z,2021-10-30T23:58:05.3290000Z,1.986,1.986,1.87,1.913,309812.2,4339
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:15.0440000Z,2021-10-31T23:56:35.4420000Z,1.914,1.915,1.773,1.847,449426.2,5316
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:40.6390000Z,2021-11-01T23:59:26.1570000Z,1.838,2.09,1.789,1.947,2355967.3,18355
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:00:53.1660000Z,2021-11-02T23:59:21.5620000Z,1.948,1.996,1.907,1.974,567156.5,6769
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:01:18.4940000Z,2021-11-03T23:58:43.5720000Z,1.977,2.115,1.574,1.957,844504.1,9341
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:01:08.0160000Z,2021-11-04T23:55:08.3560000Z,1.962,1.962,1.881,1.931,251230.2,3560
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:01.5340000Z,2021-11-05T23:59:42.1780000Z,1.937,2.023,1.89,1.994,399243.6,5708
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:01:04.3330000Z,2021-11-06T23:58:42.5410000Z,1.99,2.023,1.904,2.004,253947.7,3819
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:26.0660000Z,2021-11-07T23:59:22.7940000Z,2.003,2.215,1.974,2.204,810263.0,9902
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:19.1480000Z,2021-11-08T23:59:47.8860000Z,2.212,2.444,2.15,2.311,1957470.6,19298
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:03.0750000Z,2021-11-09T23:57:03.2080000Z,2.313,2.379,2.189,2.219,703015.0,5943
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:01:04.1620000Z,2021-11-10T23:59:18.2040000Z,2.213,2.326,2.017,2.099,603450.9,7895
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:57.3550000Z,2021-11-11T23:59:49.8870000Z,2.102,2.276,2.102,2.214,591629.6,7129
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:05.1670000Z,2021-11-12T23:59:21.9670000Z,2.208,2.45,2.172,2.252,1048216.1,11838
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:01:43.3600000Z,2021-11-13T23:57:06.2840000Z,2.262,2.445,2.262,2.306,688475.0,7732
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:50.9890000Z,2021-11-14T23:56:34.0050000Z,2.309,2.337,2.192,2.328,629062.0,6146
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:06.7200000Z,2021-11-15T23:59:12.2110000Z,2.33,2.491,2.273,2.42,663748.9,7684
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:08.5330000Z,2021-11-16T23:59:40.0410000Z,2.425,2.425,2.039,2.159,726922.8,6814
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:36.7360000Z,2021-11-17T23:50:33.0220000Z,2.157,2.193,2.018,2.145,304880.1,4529
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:16.2080000Z,2021-11-18T23:59:48.3610000Z,2.14,2.153,1.85,1.927,509475.6,5895
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:08.2050000Z,2021-11-19T23:59:35.1470000Z,1.925,2.08,1.881,2.048,435889.0,5254
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:00.1440000Z,2021-11-20T23:56:27.6290000Z,2.052,2.128,1.997,2.124,192285.4,3162
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:43.1780000Z,2021-11-21T23:57:03.7840000Z,2.12,2.22,2.014,2.152,314742.2,5544
