time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T10:00:00.0000000Z,2021-03-25T23:59:30.1410000Z,2.71,4.0,1.937,2.72,2414791.513,21010
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:02:31.4330000Z,2021-03-26T23:59:28.3180000Z,2.726,3.557,2.443,3.122,2417162.083,28670
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:00:01.0090000Z,2021-03-27T23:59:58.2950000Z,3.122,3.888,3.098,3.439,1455704.512,27602
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:14.2100000Z,2021-03-28T23:59:59.6270000Z,3.441,3.63,3.097,3.357,1012461.255,16738
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:00.1350000Z,2021-03-29T23:59:26.0390000Z,3.354,3.84,3.24,3.7,775655.421,11311
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:40.2870000Z,2021-03-30T23:59:34.9750000Z,3.699,4.496,3.627,4.205,1452412.774,25497
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:00:24.0120000Z,2021-03-31T23:59:31.7960000Z,4.207,4.9,3.462,3.492,1153637.648,24512
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:06.6520000Z,2021-04-01T23:59:51.5900000Z,3.521,4.0,3.215,3.289,1357115.475,25900
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:00:00.0150000Z,2021-04-02T23:59:39.2430000Z,3.289,3.384,2.955,3.154,1136614.599,22729
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:00:40.9550000Z,2021-04-03T23:59:32.2650000Z,3.17,3.27,2.701,2.725,620847.522,15389
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:04.2150000Z,2021-04-04T23:58:20.4810000Z,2.725,3.34,2.665,3.122,8834204.058,102749
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:25.3770000Z,2021-04-05T23:59:30.5730000Z,3.133,3.175,2.7,2.79,839919.928,15991
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:10.2690000Z,2021-04-06T23:59:46.5610000Z,2.791,2.905,2.4,2.552,1240232.993,19159
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:01:11.4580000Z,2021-04-07T23:59:58.7410000Z,2.56,2.612,2.101,2.434,1085750.267,18485
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:01:24.7300000Z,2021-04-08T23:59:53.1380000Z,2.434,3.193,2.392,2.774,1322781.556,27676
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:01:38.4490000Z,2021-04-09T23:59:45.8830000Z,2.772,3.052,2.618,2.68,909071.697,16656
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:14.4350000Z,2021-04-10T05:34:19.7280000Z,2.68,2.781,2.645,2.658,161563.981,2363
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:29.4750000Z,2021-04-11T23:59:42.6310000Z,3.03,3.649,2.869,2.979,1995155.207,35076
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:51.6460000Z,2021-04-12T23:57:08.3850000Z,2.964,3.303,2.767,2.833,751738.466,15607
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:00:22.0490000Z,2021-04-13T23:59:19.5190000Z,2.821,2.843,2.555,2.65,626558.668,12293
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:02.4580000Z,2021-04-14T23:58:42.6240000Z,2.651,2.94,2.53,2.6,1018576.247,16194
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:31.4940000Z,2021-04-15T23:57:33.1090000Z,2.599,2.839,2.566,2.671,691829.931,11020
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:38.5370000Z,2021-04-16T23:57:08.4340000Z,2.678,2.703,2.408,2.575,678583.596,10882
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:06:28.5000000Z,2021-04-17T23:58:17.9230000Z,2.565,2.703,2.454,2.477,438989.137,8161
