time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T11:13:29.3760000Z,2021-04-21T23:59:35.4690000Z,54.494,68.0,42.416,46.946,242383.925,38131
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:02.9430000Z,2021-04-22T23:57:25.2210000Z,46.972,50.395,37.192,38.028,73367.004,12333
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:18.9470000Z,2021-04-23T23:59:42.2550000Z,37.841,40.13,28.723,35.052,52026.45,8527
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:20.2250000Z,2021-04-24T00:23:45.3250000Z,35.0,36.002,34.114,34.442,1464.011,157
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:01.2530000Z,2021-04-25T04:00:02.5830000Z,37.17,39.0,36.238,37.057,10932.089,726
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:19.0020000Z,2021-04-26T23:59:05.1860000Z,40.316,44.387,39.331,41.871,36456.536,5470
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:17.7410000Z,2021-04-27T23:59:03.2190000Z,41.768,44.5,40.0,41.137,49933.405,3943
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:01:53.0710000Z,2021-04-28T23:59:48.4650000Z,41.129,43.878,38.6,42.37,28611.156,3467
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:03:31.5080000Z,2021-04-29T23:49:08.0590000Z,42.551,46.052,39.079,40.119,38778.927,5566
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:08:17.1580000Z,2021-04-30T23:57:26.2210000Z,40.12,41.631,39.878,40.555,11367.1,1946
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:12.4230000Z,2021-05-01T23:50:21.2610000Z,40.521,41.748,39.737,40.192,13038.768,2568
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:01:21.0400000Z,2021-05-02T23:59:50.7030000Z,40.197,42.4,39.264,41.132,13880.306,2584
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:00:01.2980000Z,2021-05-03T23:58:10.3130000Z,41.132,41.132,38.141,38.351,10129.693,2247
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:05:39.8080000Z,2021-05-04T23:58:54.5730000Z,38.351,40.0,34.895,35.626,17344.64,3980
2021-05-05T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-05T00:00:02.0050000Z,2021-05-05T23:46:42.3140000Z,35.5,40.5,34.373,37.844,33468.183,5854
2021-05-06T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-06T00:38:22.3510000Z,2021-05-06T23:59:08.9690000Z,37.459,39.282,35.6,36.574,15341.97,3643
2021-05-07T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-07T00:02:17.6650000Z,2021-05-07T23:55:28.4490000Z,36.661,38.018,35.255,36.493,10165.918,3244
2021-05-08T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-08T00:03:32.6390000Z,2021-05-08T23:59:43.0520000Z,36.627,41.3,35.051,35.473,31485.073,7834
2021-05-09T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-09T00:00:34.2810000Z,2021-05-09T23:54:12.2540000Z,35.477,35.674,31.756,33.635,17333.533,3758
2021-05-10T00:00:00.0000000Z,2021-05-11T00:00:00.0000000Z,2021-05-10T00:02:32.4050000Z,2021-05-10T23:57:28.0910000Z,33.519,34.346,27.652,30.263,18053.88,3729
2021-05-11T00:00:00.0000000Z,2021-05-12T00:00:00.0000000Z,2021-05-11T00:05:10.1360000Z,2021-05-11T23:58:35.2910000Z,30.211,35.515,28.401,29.866,34818.166,7402
2021-05-12T00:00:00.0000000Z,2021-05-13T00:00:00.0000000Z,2021-05-12T00:00:28.7040000Z,2021-05-12T23:59:46.0700000Z,29.741,38.877,26.373,26.81,57436.494,11082
2021-05-13T00:00:00.0000000Z,2021-05-14T00:00:00.0000000Z,2021-05-13T00:00:00.0590000Z,2021-05-13T23:58:27.9880000Z,26.793,35.606,26.025,29.239,59411.172,11796
2021-05-14T00:00:00.0000000Z,2021-05-15T00:00:00.0000000Z,2021-05-14T00:02:46.3690000Z,2021-05-14T23:56:46.9840000Z,29.325,31.957,27.851,30.637,26237.756,5020
2021-05-15T00:00:00.0000000Z,2021-05-16T00:00:00.0000000Z,2021-05-15T00:00:16.4730000Z,2021-05-15T23:59:05.1890000Z,30.664,43.431,30.115,33.45,168327.474,31327
2021-05-16T00:00:00.0000000Z,2021-05-17T00:00:00.0000000Z,2021-05-16T00:00:11.9050000Z,2021-05-16T23:59:12.0550000Z,33.4,37.999,28.294,28.791,69266.804,15030
2021-05-17T00:00:00.0000000Z,2021-05-18T00:00:00.0000000Z,2021-05-17T00:00:08.9690000Z,2021-05-17T23:58:41.6170000Z,28.703,30.0,26.001,28.072,39631.358,8247
2021-05-18T00:00:00.0000000Z,2021-05-19T00:00:00.0000000Z,2021-05-18T00:00:10.2160000Z,2021-05-18T23:56:27.0310000Z,28.101,33.919,27.809,30.105,68806.368,15259
2021-05-19T00:00:00.0000000Z,2021-05-20T00:00:00.0000000Z,2021-05-19T00:06:26.6470000Z,2021-05-19T23:57:28.5250000Z,30.133,30.8,18.0,20.107,34403.324,6851
