time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T10:03:51.0230000Z,2021-06-06T23:59:43.8550000Z,9.002,9.35,8.364,8.824,201305.42,4617
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:00.4020000Z,2021-06-07T23:59:57.1490000Z,8.85,10.105,8.603,8.737,580539.21,16097
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:09.8730000Z,2021-06-08T23:59:51.6800000Z,8.725,9.186,8.0,8.927,842605.31,26460
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:01.7760000Z,2021-06-09T23:59:08.9880000Z,8.941,9.75,8.339,9.396,708165.35,30739
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:05.6800000Z,2021-06-10T23:59:57.7420000Z,9.396,9.509,8.507,8.741,426242.3,20270
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:23.1400000Z,2021-06-11T23:59:59.5260000Z,8.746,8.757,7.615,7.944,393101.07,18325
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:04.7630000Z,2021-06-12T23:59:49.0240000Z,7.946,8.242,7.336,7.808,354691.79,15558
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:14.7540000Z,2021-06-13T23:59:35.9060000Z,7.821,8.9,7.654,8.785,349950.11,16339
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:32.7450000Z,2021-06-14T23:59:45.5870000Z,8.801,9.452,8.589,9.065,478392.81,21637
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:42.3860000Z,2021-06-15T23:58:32.8590000Z,9.061,9.339,8.808,8.929,220374.63,10853
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:05.5830000Z,2021-06-16T23:59:59.6590000Z,8.906,9.105,8.56,8.972,182663.39,12868
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:03.8030000Z,2021-06-17T23:59:58.6140000Z,8.966,9.854,8.928,9.516,522683.86,24365
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:26.4010000Z,2021-06-18T23:59:59.5500000Z,9.527,10.1,8.513,9.019,823695.45,30023
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:07.0530000Z,2021-06-19T23:59:59.9530000Z,9.001,9.198,8.641,8.814,417483.19,15123
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:00.0530000Z,2021-06-20T23:59:20.3050000Z,8.813,8.897,7.969,8.695,358612.47,14620
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:01.8930000Z,2021-06-21T23:59:53.9490000Z,8.703,8.785,6.476,6.524,553141.31,23266
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:10.5280000Z,2021-06-22T23:59:59.5660000Z,6.513,7.296,5.246,6.489,881827.97,28940
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:00.0510000Z,2021-06-23T23:59:51.4130000Z,6.489,7.525,6.072,6.918,697752.33,25887
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:25.3180000Z,2021-06-24T23:59:40.1130000Z,6.922,7.336,6.607,7.304,618495.68,20840
