time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T13:00:01.0200000Z,2021-04-07T23:59:59.5260000Z,4.9,10.0,2.3,2.9857,316088677.92,1663308
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:00:00.2650000Z,2021-04-08T23:59:59.9950000Z,2.9857,3.2,2.3064,2.3877,80594797.24,574692
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:00:06.1170000Z,2021-04-09T23:59:59.6900000Z,2.3881,2.5564,2.101,2.2719,35012777.77,231702
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:00.1440000Z,2021-04-10T23:59:59.2760000Z,2.2773,2.7689,2.25,2.3497,31585295.66,222740
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:11.8500000Z,2021-04-11T23:59:58.5740000Z,2.3491,2.4,2.2,2.3032,12930472.83,92546
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:08.9410000Z,2021-04-12T23:59:42.6030000Z,2.3045,2.64,2.22,2.3865,22305335.01,158093
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:00:02.1010000Z,2021-04-13T23:59:57.6590000Z,2.3831,2.44,2.0,2.1419,21983209.01,132687
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:06.8560000Z,2021-04-14T23:59:53.8740000Z,2.1419,2.22,1.97,2.0509,18898422.24,101132
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:03.7800000Z,2021-04-15T23:59:55.5670000Z,2.0481,2.195,1.9901,2.0347,13979888.15,71901
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:02.1100000Z,2021-04-16T23:59:57.2150000Z,2.0346,2.0417,1.688,1.7412,19017954.61,89545
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:00.4540000Z,2021-04-17T23:59:59.3990000Z,1.741,2.117,1.7291,2.042,24913764.55,116421
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:01.8310000Z,2021-04-18T23:59:59.9470000Z,2.0476,3.4815,1.851,2.9251,159620851.82,672008
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:00.0190000Z,2021-04-19T23:59:59.9040000Z,2.9334,3.7941,2.7001,2.7515,156541701.99,794269
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:00.8860000Z,2021-04-20T01:59:56.5360000Z,2.7482,2.8154,2.521,2.6999,7416550.37,29773
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:00.9390000Z,2021-04-21T21:48:42.0980000Z,2.4394,2.94,2.3748,2.5178,28891077.86,201128
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:06.2050000Z,2021-04-22T23:59:55.6630000Z,2.41,2.57,2.12,2.1257,23063308.8,148485
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:06.9760000Z,2021-04-23T23:59:58.7630000Z,2.1223,2.31,1.78,2.22,23271737.28,114149
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:06.9900000Z,2021-04-24T23:59:59.5080000Z,2.2157,2.45,2.0063,2.2567,21111330.45,117789
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:00.1160000Z,2021-04-25T04:00:03.9790000Z,2.2566,2.3,2.1461,2.1625,2228273.8,12466
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:04.4400000Z,2021-04-26T23:59:49.8840000Z,2.295,2.5499,2.2714,2.4568,15215678.27,95613
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:14.2500000Z,2021-04-27T23:59:57.2860000Z,2.4501,2.89,2.33,2.755,23896755.84,143770
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:00.2730000Z,2021-04-28T23:59:56.6450000Z,2.75,3.1738,2.58,2.8331,31574236.28,181857
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:00:02.1240000Z,2021-04-29T23:59:58.1460000Z,2.8331,3.1314,2.6633,2.9716,28152883.39,169527
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:03.8280000Z,2021-04-30T23:59:58.9820000Z,2.974,3.58,2.9492,3.5309,39452240.83,253803
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:02.4930000Z,2021-05-01T23:59:54.7380000Z,3.5406,3.551,3.15,3.1917,17155542.97,123438
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:00:01.2620000Z,2021-05-02T23:59:59.9980000Z,3.1917,4.6519,2.9023,4.4668,67296040.43,468005
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:00:00.3400000Z,2021-05-03T23:59:59.4920000Z,4.4624,4.99,4.0334,4.2556,70093059.85,568106
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:00:04.4910000Z,2021-05-04T23:59:59.3750000Z,4.2557,4.3,3.6,3.6201,33039714.54,255135
2021-05-05T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-05T00:00:03.0870000Z,2021-05-05T23:47:24.3280000Z,3.6224,4.3655,3.579,3.9999,25498994.16,233836
2021-05-06T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-06T00:38:16.9640000Z,2021-05-06T23:59:59.9890000Z,3.9155,4.1649,3.6,3.6651,19500780.41,163434
2021-05-07T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-07T00:00:00.9970000Z,2021-05-07T23:59:59.2680000Z,3.6639,3.85,3.38,3.5182,16620660.89,136732
2021-05-08T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-08T00:00:06.2510000Z,2021-05-08T23:59:57.3940000Z,3.5185,4.14,3.4509,3.7426,19722601.85,172490
2021-05-09T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-09T00:00:01.1370000Z,2021-05-09T23:59:58.4420000Z,3.7426,3.75,3.39,3.5328,12139795.15,108187
2021-05-10T00:00:00.0000000Z,2021-05-11T00:00:00.0000000Z,2021-05-10T00:00:00.5480000Z,2021-05-10T23:59:54.6900000Z,3.5328,3.88,3.1,3.2495,17974822.82,157640
2021-05-11T00:00:00.0000000Z,2021-05-12T00:00:00.0000000Z,2021-05-11T00:00:05.3760000Z,2021-05-11T23:59:59.9450000Z,3.2558,3.8492,3.11,3.7067,21155224.68,174344
2021-05-12T00:00:00.0000000Z,2021-05-13T00:00:00.0000000Z,2021-05-12T00:00:02.8530000Z,2021-05-12T23:59:59.9350000Z,3.7002,3.79,3.075,3.0769,14059012.81,121927
2021-05-13T00:00:00.0000000Z,2021-05-14T00:00:00.0000000Z,2021-05-13T00:00:00.3280000Z,2021-05-13T23:59:59.1950000Z,3.0883,3.3232,2.81,2.9649,15303577.79,131652
2021-05-14T00:00:00.0000000Z,2021-05-15T00:00:00.0000000Z,2021-05-14T00:00:02.3140000Z,2021-05-14T23:59:33.6270000Z,2.9649,3.3114,2.9124,3.0977,10539192.74,93049
2021-05-15T00:00:00.0000000Z,2021-05-16T00:00:00.0000000Z,2021-05-15T00:00:00.8480000Z,2021-05-15T23:59:56.4260000Z,3.098,3.1568,2.8109,2.8324,9394471.86,77155
2021-05-16T00:00:00.0000000Z,2021-05-17T00:00:00.0000000Z,2021-05-16T00:00:02.0820000Z,2021-05-16T23:59:59.9890000Z,2.8279,3.229,2.8,2.9481,11138416.69,91218
2021-05-17T00:00:00.0000000Z,2021-05-18T00:00:00.0000000Z,2021-05-17T00:00:04.5460000Z,2021-05-17T23:59:57.8900000Z,2.9499,3.1301,2.5,2.708,12086310.76,101913
2021-05-18T00:00:00.0000000Z,2021-05-19T00:00:00.0000000Z,2021-05-18T00:00:07.7700000Z,2021-05-18T23:59:58.0410000Z,2.7052,3.1766,2.6808,2.9559,17123935.71,145401
2021-05-19T00:00:00.0000000Z,2021-05-20T00:00:00.0000000Z,2021-05-19T00:00:08.5180000Z,2021-05-19T23:59:55.5640000Z,2.9585,3.0362,1.49,1.8809,20229888.14,147276
2021-05-20T00:00:00.0000000Z,2021-05-21T00:00:00.0000000Z,2021-05-20T00:00:05.7380000Z,2021-05-20T23:59:45.0660000Z,1.8867,2.29,1.6667,2.0935,14507062.09,90060
2021-05-21T00:00:00.0000000Z,2021-05-22T00:00:00.0000000Z,2021-05-21T00:00:18.5820000Z,2021-05-21T23:59:59.9580000Z,2.0915,2.25,1.5057,1.7512,12298039.73,70887
2021-05-22T00:00:00.0000000Z,2021-05-23T00:00:00.0000000Z,2021-05-22T00:00:00.3680000Z,2021-05-22T23:47:15.6390000Z,1.7513,1.7952,1.4775,1.5153,8255963.86,43476
2021-05-23T00:00:00.0000000Z,2021-05-24T00:00:00.0000000Z,2021-05-23T00:01:29.0170000Z,2021-05-23T23:59:59.8560000Z,1.5005,1.55,1.002,1.2806,15768465.31,68754
2021-05-24T00:00:00.0000000Z,2021-05-25T00:00:00.0000000Z,2021-05-24T00:00:00.7430000Z,2021-05-24T23:59:56.8650000Z,1.2802,1.7,1.1986,1.6889,11924283.76,66239
2021-05-25T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T00:00:02.7520000Z,2021-05-25T23:59:52.4090000Z,1.689,1.86,1.379,1.6235,10146844.12,60266
2021-05-26T00:00:00.0000000Z,2021-05-27T00:00:00.0000000Z,2021-05-26T00:00:00.7880000Z,2021-05-26T23:59:59.3810000Z,1.6231,1.926,1.5721,1.9113,8168251.2,53319
2021-05-27T00:00:00.0000000Z,2021-05-28T00:00:00.0000000Z,2021-05-27T00:00:01.3940000Z,2021-05-27T23:59:59.9190000Z,1.9141,1.95,1.6668,1.8153,8279733.45,52238
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T00:00:05.0220000Z,2021-05-28T23:59:34.7240000Z,1.8201,1.8306,1.4692,1.5854,7374818.59,44460
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:00:13.0490000Z,2021-05-29T23:59:04.8850000Z,1.5841,1.6294,1.3678,1.4567,4657446.27,25881
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:00:15.6240000Z,2021-05-30T23:59:26.0920000Z,1.4561,1.6146,1.3769,1.5337,4010244.42,24295
2021-05-31T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-31T00:00:15.5990000Z,2021-05-31T23:59:59.2540000Z,1.5302,1.6741,1.4416,1.6612,5066960.1,29359
2021-06-01T00:00:00.0000000Z,2021-06-02T00:00:00.0000000Z,2021-06-01T00:00:12.4560000Z,2021-06-01T23:59:59.3860000Z,1.6602,2.2493,1.6372,2.0284,41794216.79,195382
2021-06-02T00:00:00.0000000Z,2021-06-03T00:00:00.0000000Z,2021-06-02T00:00:01.2030000Z,2021-06-02T23:59:51.8600000Z,2.0282,2.5311,1.9209,2.4099,28214160.07,207566
2021-06-03T00:00:00.0000000Z,2021-06-04T00:00:00.0000000Z,2021-06-03T00:00:03.0990000Z,2021-06-03T23:59:58.4490000Z,2.4099,2.879,2.36,2.6811,21983657.12,175790
2021-06-04T00:00:00.0000000Z,2021-06-05T00:00:00.0000000Z,2021-06-04T00:00:15.4580000Z,2021-06-04T23:59:37.7100000Z,2.6806,2.6838,2.1267,2.3031,17999429.77,137745
2021-06-05T00:00:00.0000000Z,2021-06-06T00:00:00.0000000Z,2021-06-05T00:00:04.9810000Z,2021-06-05T23:59:59.3000000Z,2.3033,2.7459,2.2712,2.3975,17647352.74,156447
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T00:00:01.9060000Z,2021-06-06T23:59:54.7410000Z,2.3935,2.5101,2.3,2.3897,7230576.03,65618
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:02.6910000Z,2021-06-07T23:59:59.3970000Z,2.3895,2.5282,2.1,2.1472,7709590.48,66172
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:00.8160000Z,2021-06-08T23:59:56.6430000Z,2.1484,2.25,1.7866,2.0453,14010732.0,101945
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:00.5540000Z,2021-06-09T23:59:57.4560000Z,2.0453,2.2822,1.8717,2.2732,12316379.03,87732
