time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T06:00:59.2960000Z,2021-04-13T22:08:23.7030000Z,1.6498,1.88,0.5017,0.63,42186567.26,101689
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:00.4900000Z,2021-04-14T21:31:02.1710000Z,0.7296,0.95,0.5556,0.5777,58320671.49,111672
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:17.7080000Z,2021-04-15T23:59:59.2370000Z,0.5847,0.5847,0.4668,0.4788,21561070.59,41689
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:16.3030000Z,2021-04-16T23:59:35.4320000Z,0.4793,0.4849,0.3711,0.3837,21503321.76,43602
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:12.5640000Z,2021-04-17T23:59:53.2490000Z,0.3836,0.4505,0.379,0.4005,15443744.89,31386
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:22.4470000Z,2021-04-18T23:59:42.6780000Z,0.3993,0.4098,0.305,0.359,11672823.17,18291
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:26.4220000Z,2021-04-19T23:59:20.6760000Z,0.3605,0.415,0.3174,0.321,13249544.53,21478
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:03.6390000Z,2021-04-20T01:59:05.8760000Z,0.3214,0.3227,0.2882,0.3055,1625782.4,1974
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:21.8270000Z,2021-04-21T23:59:28.2140000Z,0.3021,0.3219,0.2782,0.2827,9062776.91,14787
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:00.2000000Z,2021-04-22T23:59:59.7340000Z,0.2827,0.2985,0.251,0.2513,8460414.99,13870
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:04.9640000Z,2021-04-23T23:59:48.1860000Z,0.2536,0.2564,0.1972,0.225,9670189.94,8704
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:40.0770000Z,2021-04-24T23:59:13.9760000Z,0.2272,0.2985,0.1972,0.265,14096426.88,12936
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:42.0280000Z,2021-04-25T04:00:11.3580000Z,0.265,0.3172,0.2566,0.26,7901377.09,10511
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:02.4370000Z,2021-04-26T23:59:18.2930000Z,0.2444,0.278,0.2414,0.2702,11301308.92,11417
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:14.1660000Z,2021-04-27T23:59:38.1500000Z,0.2677,0.38,0.2571,0.3387,25336807.79,22321
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:10.4550000Z,2021-04-28T23:59:58.6820000Z,0.3408,0.4288,0.3201,0.3539,39643712.66,39192
