time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T06:14:44.0000000Z,2021-06-11T23:59:44.0490000Z,75.77,87.5,60.07,61.16,40366.04,8290
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:54.2040000Z,2021-06-12T23:54:59.1160000Z,61.32,61.74,50.33,53.99,12670.37,2774
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:01:05.7320000Z,2021-06-13T23:53:23.0610000Z,53.98,58.43,50.52,58.03,4684.99,1121
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:02:35.8150000Z,2021-06-14T23:57:02.6400000Z,58.03,62.97,54.46,56.74,4863.25,916
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:02:10.0360000Z,2021-06-15T23:27:09.9330000Z,57.64,59.95,55.59,55.99,2779.09,619
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:02:44.1050000Z,2021-06-16T23:47:32.6720000Z,55.99,56.48,50.75,52.41,3580.14,1186
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:02:05.5350000Z,2021-06-17T23:54:19.6620000Z,52.41,54.22,50.0,51.5,2452.59,953
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:10:09.3050000Z,2021-06-18T23:54:29.4460000Z,51.5,53.41,44.1,46.46,1744.81,715
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:32:48.6690000Z,2021-06-19T23:57:55.8360000Z,47.44,75.5,45.3,51.49,63422.75,12317
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:51.9550000Z,2021-06-20T23:57:46.9500000Z,51.5,52.98,43.83,46.99,19490.68,4066
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:14.5520000Z,2021-06-21T23:38:25.4910000Z,46.89,48.51,34.5,36.11,7724.33,1904
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:08:57.9970000Z,2021-06-22T23:59:17.5500000Z,35.0,50.0,33.92,41.92,69504.59,13798
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:40.1550000Z,2021-06-23T23:45:05.4420000Z,41.93,46.0,41.22,44.57,8071.54,2639
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:05:46.9690000Z,2021-06-24T23:45:56.8480000Z,44.57,47.5,42.46,45.76,6343.63,1693
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:17.5780000Z,2021-06-25T23:57:55.6200000Z,45.8,50.0,38.11,38.91,6791.18,1550
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:51.6420000Z,2021-06-26T23:57:46.3440000Z,38.91,42.81,35.81,37.9,6138.31,1486
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:03:11.2990000Z,2021-06-27T23:58:07.5840000Z,38.16,42.81,35.94,40.51,5557.12,1121
