time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T06:02:41.0310000Z,2021-08-24T23:59:59.2910000Z,0.9187,0.9478,0.7956,0.8668,113182449.0,255152
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:00:00.7860000Z,2021-08-25T23:59:57.1290000Z,0.8672,0.93,0.805,0.849,58655303.0,133146
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:00:04.5220000Z,2021-08-26T23:59:59.2490000Z,0.849,0.9204,0.84,0.8797,44649540.0,99774
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:04.6440000Z,2021-08-27T23:59:50.9260000Z,0.8796,0.91,0.8565,0.8649,24383943.0,52092
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:16.6760000Z,2021-08-28T23:59:46.3830000Z,0.8649,0.8725,0.8319,0.834,15536856.0,34710
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:00:04.9710000Z,2021-08-29T23:59:34.8610000Z,0.8342,0.8463,0.7651,0.7949,22022025.0,36735
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:16.7600000Z,2021-08-30T23:59:46.8800000Z,0.7951,0.7984,0.766,0.7688,11616733.0,21938
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:02.2620000Z,2021-08-31T23:59:40.0360000Z,0.769,0.8105,0.7652,0.7856,12390794.0,29063
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:00.6150000Z,2021-09-01T23:59:53.5000000Z,0.7856,0.8828,0.774,0.8032,23352817.0,47309
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:10.5280000Z,2021-09-02T23:59:17.3130000Z,0.8038,0.815,0.7863,0.8006,10158225.0,20478
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:32.9030000Z,2021-09-03T23:59:55.9650000Z,0.8012,0.82,0.794,0.7973,6281847.0,13254
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:29.6970000Z,2021-09-04T23:59:43.8500000Z,0.7978,0.8003,0.7778,0.7822,6621524.0,12810
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:11.7880000Z,2021-09-05T23:58:32.8700000Z,0.7825,0.7925,0.7569,0.7715,6665125.0,15985
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:13.6450000Z,2021-09-06T23:59:05.6490000Z,0.7724,0.7975,0.7625,0.7676,8240042.0,19839
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:00:02.1510000Z,2021-09-07T23:59:40.2350000Z,0.7682,0.7695,0.6,0.6658,14404580.0,32403
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:11.1810000Z,2021-09-08T23:59:09.8340000Z,0.6656,0.68,0.6383,0.6524,7542743.0,19403
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:00:59.4710000Z,2021-09-09T23:59:51.4060000Z,0.6536,0.6736,0.6376,0.644,7086994.0,17448
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:10.2990000Z,2021-09-10T23:59:49.1880000Z,0.6442,0.6626,0.6083,0.6202,5175914.0,15037
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:16.0770000Z,2021-09-11T23:59:36.6000000Z,0.6215,0.6434,0.5853,0.6055,7152985.0,16098
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:22.2030000Z,2021-09-12T23:57:18.6870000Z,0.607,0.6471,0.5986,0.632,5675095.0,16253
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:00:15.5720000Z,2021-09-13T23:59:07.3530000Z,0.632,0.7329,0.5945,0.626,32968930.0,53684
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:01:38.9100000Z,2021-09-14T23:59:56.9210000Z,0.6259,0.6434,0.605,0.6287,7064848.0,14122
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:01:06.6390000Z,2021-09-15T23:59:59.6290000Z,0.6297,0.642,0.6089,0.631,7653934.0,15107
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:00:06.5180000Z,2021-09-16T23:59:49.9390000Z,0.6321,0.688,0.6291,0.6781,22063292.0,33891
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:06.7890000Z,2021-09-17T23:59:32.2180000Z,0.6781,0.6789,0.6295,0.6405,10210256.0,15151
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:22.0850000Z,2021-09-18T23:59:33.6850000Z,0.6408,0.6524,0.6311,0.6378,4177058.0,8796
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:01:15.5310000Z,2021-09-19T23:57:04.5150000Z,0.6374,0.648,0.6297,0.6334,2391487.0,6303
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:00:10.2200000Z,2021-09-20T23:59:59.7980000Z,0.6326,0.9035,0.6248,0.6498,79716712.0,126141
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:00:11.2580000Z,2021-09-21T23:58:14.4650000Z,0.6515,0.6566,0.6012,0.6088,14372923.0,23933
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:00:18.8300000Z,2021-09-22T23:59:55.8050000Z,0.6088,0.6616,0.6052,0.6229,9039610.0,15889
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:02.7320000Z,2021-09-23T23:59:40.4570000Z,0.6229,0.6298,0.6125,0.6221,7700819.0,11421
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:00:31.5560000Z,2021-09-24T23:57:56.7920000Z,0.6221,0.6251,0.5904,0.5984,12509467.0,14477
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:30.4660000Z,2021-09-25T23:59:43.9440000Z,0.6,0.6023,0.5847,0.5897,3244858.0,7270
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:30.7980000Z,2021-09-26T23:59:37.0350000Z,0.5891,0.602,0.5742,0.5804,4966465.0,9127
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:01:26.4380000Z,2021-09-27T23:57:11.1710000Z,0.581,0.5953,0.5772,0.5827,3847328.0,7744
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:01.2510000Z,2021-09-28T23:59:59.2520000Z,0.5812,0.605,0.5805,0.5912,9252215.0,19141
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:04.8360000Z,2021-09-29T23:58:53.5290000Z,0.5912,0.598,0.5818,0.587,4364051.0,7737
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:02:19.5910000Z,2021-09-30T23:59:37.6800000Z,0.5864,0.5919,0.5801,0.5868,3066411.0,5964
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:01:09.9480000Z,2021-10-01T23:58:40.1880000Z,0.5868,0.6335,0.5808,0.6192,8599488.0,14818
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:26.8510000Z,2021-10-02T23:59:38.5580000Z,0.6193,0.6264,0.6061,0.6091,3912262.0,9155
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:00:19.9780000Z,2021-10-03T23:59:39.5290000Z,0.6093,0.6209,0.606,0.6144,2500328.0,6171
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:22.5790000Z,2021-10-04T23:59:37.9570000Z,0.6148,0.62,0.6011,0.6126,5103671.0,10048
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:57.5500000Z,2021-10-05T23:59:46.8640000Z,0.6137,0.6551,0.6084,0.6378,7022592.0,14046
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:01:06.1710000Z,2021-10-06T23:59:11.2570000Z,0.6386,0.7463,0.6318,0.6481,20805584.0,33941
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:01:01.9450000Z,2021-10-07T23:59:51.3690000Z,0.6475,0.6559,0.6341,0.6498,5650472.0,10460
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:50.9950000Z,2021-10-08T23:59:56.0440000Z,0.6498,0.6663,0.6466,0.6522,3856979.0,8195
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:01:12.8170000Z,2021-10-09T23:59:23.4690000Z,0.6516,0.73,0.6503,0.7208,12950626.0,26899
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:27.2280000Z,2021-10-10T23:58:42.5690000Z,0.7205,0.7524,0.7062,0.7218,6947414.0,13520
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:01.1870000Z,2021-10-11T23:59:59.5200000Z,0.7207,0.81,0.7201,0.796,16562484.0,47810
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:04.5690000Z,2021-10-12T23:59:56.0800000Z,0.796,0.899,0.7835,0.8941,25790366.0,72669
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:01.1230000Z,2021-10-13T23:59:40.3770000Z,0.8938,0.9181,0.8719,0.9063,12322238.0,35906
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:13.3120000Z,2021-10-14T23:59:59.7120000Z,0.9049,0.91,0.8645,0.8725,5589992.0,14724
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:03.2150000Z,2021-10-15T23:59:56.2500000Z,0.8718,0.872,0.8118,0.8151,5032800.0,12530
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:04.6610000Z,2021-10-16T23:59:53.9050000Z,0.8156,0.8463,0.815,0.8445,2645109.0,7087
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:20.5690000Z,2021-10-17T23:58:29.0860000Z,0.8445,0.85,0.8257,0.8315,2396647.0,6503
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:57.9340000Z,2021-10-18T23:59:36.5940000Z,0.8319,0.8413,0.827,0.8305,1245172.0,3613
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:01:09.4000000Z,2021-10-19T23:59:48.6380000Z,0.8296,0.8363,0.7927,0.8194,3427646.0,6671
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:16.2820000Z,2021-10-20T23:56:45.7580000Z,0.8193,0.8269,0.7976,0.814,2863336.0,6620
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:02:21.2410000Z,2021-10-21T23:59:59.3620000Z,0.8128,0.8652,0.8031,0.8619,5788932.0,12849
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:05.8080000Z,2021-10-22T23:59:17.7780000Z,0.863,0.98,0.8524,0.896,9151657.0,19262
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:07.3350000Z,2021-10-23T23:59:39.2340000Z,0.8957,0.9228,0.8954,0.8994,3565823.0,8800
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:20.3430000Z,2021-10-24T23:59:09.2140000Z,0.9003,0.9206,0.89,0.8971,2888618.0,6584
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:42.1690000Z,2021-10-25T23:59:33.5040000Z,0.8966,0.91,0.888,0.906,2442204.0,6034
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:50.6040000Z,2021-10-26T23:59:52.6370000Z,0.9054,0.9224,0.8968,0.9019,3473073.0,8115
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:01:57.5370000Z,2021-10-27T23:59:50.2750000Z,0.901,0.92,0.87,0.889,4932528.0,9127
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:02.6950000Z,2021-10-28T23:59:15.0970000Z,0.8897,0.9081,0.8651,0.8883,2981874.0,6784
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:03.1020000Z,2021-10-29T23:59:48.7270000Z,0.8878,0.9025,0.8794,0.8943,1764237.0,5176
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:20.8640000Z,2021-10-30T23:58:03.3480000Z,0.8943,0.9065,0.8815,0.8901,1965968.0,5179
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:18.5600000Z,2021-10-31T23:58:25.3440000Z,0.891,0.9021,0.882,0.8921,1787282.0,4867
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:18.3010000Z,2021-11-01T23:55:03.6200000Z,0.8923,0.907,0.8813,0.9032,1888038.0,4669
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:01:11.5380000Z,2021-11-02T23:59:43.2950000Z,0.9034,0.925,0.8981,0.9222,3641319.0,8257
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:19.8040000Z,2021-11-03T23:59:56.6130000Z,0.9226,0.935,0.8975,0.9183,2932537.0,6387
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:12.9490000Z,2021-11-04T23:59:42.9210000Z,0.9201,0.9766,0.9026,0.9556,7692395.0,16286
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:12.9220000Z,2021-11-05T23:59:57.6900000Z,0.9556,1.0699,0.9453,1.0645,9632429.0,24621
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:00.8400000Z,2021-11-06T23:59:53.9090000Z,1.0668,1.1141,1.0334,1.0982,11308288.0,26416
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:01.2250000Z,2021-11-07T23:59:59.6680000Z,1.0987,1.172,1.0812,1.1117,6210014.0,14264
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:05.3660000Z,2021-11-08T23:59:16.8860000Z,1.112,1.1267,1.0954,1.1234,2822456.0,7187
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:44.8820000Z,2021-11-09T23:59:55.7710000Z,1.1229,1.1912,1.1039,1.1499,5251169.0,10383
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:00:15.2570000Z,2021-11-10T23:59:55.6330000Z,1.152,1.242,1.1475,1.1844,7282062.0,13909
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:01.4910000Z,2021-11-11T23:59:57.7890000Z,1.1845,1.3545,1.1674,1.324,10519890.0,23332
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:00.5690000Z,2021-11-12T23:59:55.3670000Z,1.3272,1.35,1.267,1.269,5967507.0,13689
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:00.0500000Z,2021-11-13T23:59:58.6900000Z,1.2676,1.2765,1.192,1.2496,6259578.0,10147
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:01.2280000Z,2021-11-14T23:59:53.0470000Z,1.2478,1.2525,1.2312,1.2394,1322077.0,4012
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:00.6300000Z,2021-11-15T23:59:58.6100000Z,1.2394,1.2444,1.1861,1.2191,2634620.0,6931
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:05.4270000Z,2021-11-16T23:59:59.0110000Z,1.219,1.358,1.184,1.248,11852572.0,29329
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:01.1430000Z,2021-11-17T23:59:59.1460000Z,1.2512,1.2676,1.0985,1.0985,7746646.0,27550
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:03.7830000Z,2021-11-18T23:59:57.6460000Z,1.1009,1.109,1.0034,1.0089,5692873.0,24792
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:02.7550000Z,2021-11-19T23:58:50.5580000Z,1.0089,1.0446,0.9691,1.0257,5135149.0,11903
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:16.4100000Z,2021-11-20T23:59:58.4450000Z,1.0257,1.1087,1.0222,1.1006,2522097.0,6587
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:24.7840000Z,2021-11-21T23:59:31.8780000Z,1.1006,1.1716,1.0959,1.1109,5071064.0,11719
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:17.6280000Z,2021-11-22T23:59:38.7370000Z,1.111,1.15,1.1065,1.1369,1641608.0,5096
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:09.3830000Z,2021-11-23T23:58:10.9730000Z,1.1369,1.1482,1.1228,1.1405,1111119.0,4277
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:01:49.4340000Z,2021-11-24T23:59:56.9850000Z,1.1397,1.1436,1.1011,1.102,1291950.0,3297
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:01:00.5980000Z,2021-11-25T23:57:43.0480000Z,1.102,1.1293,1.0965,1.119,1660600.0,5074
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:01.4930000Z,2021-11-26T23:59:25.8050000Z,1.1165,1.156,0.97,0.9836,4134605.0,9518
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:03.0330000Z,2021-11-27T23:59:57.7780000Z,0.9812,1.0061,0.9223,0.9374,4136715.0,10993
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:04.1500000Z,2021-11-28T23:59:55.0570000Z,0.9369,0.9569,0.9031,0.931,3592034.0,8117
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:20.1130000Z,2021-11-29T23:59:56.1890000Z,0.931,1.145,0.9247,1.1046,6933403.0,20833
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:00.4950000Z,2021-11-30T23:59:59.8140000Z,1.1077,1.5209,1.1004,1.1985,52112060.0,179376
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:00.7140000Z,2021-12-01T23:59:52.4670000Z,1.1985,1.2196,1.132,1.1356,5616390.0,19637
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:07.6630000Z,2021-12-02T23:59:50.1200000Z,1.1356,1.1569,1.124,1.1312,2016632.0,7244
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:51.0890000Z,2021-12-03T23:58:39.1990000Z,1.1323,1.1643,1.0857,1.1018,2450064.0,7021
