time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-19T00:00:00.0000000Z,2021-01-20T00:00:00.0000000Z,2021-01-19T07:00:00.0000000Z,2021-01-19T23:59:59.2250000Z,0.2466,0.385,0.2466,0.2751,68277436.22,64652
2021-01-20T00:00:00.0000000Z,2021-01-21T00:00:00.0000000Z,2021-01-20T00:00:03.5310000Z,2021-01-20T23:59:58.9610000Z,0.2772,0.2893,0.2358,0.271,21395633.73,18921
2021-01-21T00:00:00.0000000Z,2021-01-22T00:00:00.0000000Z,2021-01-21T00:00:19.8380000Z,2021-01-21T23:59:11.2040000Z,0.2697,0.2803,0.22,0.2315,10316439.15,8865
2021-01-22T00:00:00.0000000Z,2021-01-23T00:00:00.0000000Z,2021-01-22T00:00:30.1710000Z,2021-01-22T23:59:35.9310000Z,0.2315,0.246,0.2014,0.2373,7519436.07,6704
2021-01-23T00:00:00.0000000Z,2021-01-24T00:00:00.0000000Z,2021-01-23T00:01:21.6630000Z,2021-01-23T23:57:27.2030000Z,0.2372,0.2446,0.2186,0.2263,6300422.55,5191
2021-01-24T00:00:00.0000000Z,2021-01-25T00:00:00.0000000Z,2021-01-24T00:00:49.6480000Z,2021-01-24T23:58:42.0270000Z,0.2264,0.2592,0.2181,0.2514,11759119.41,9203
2021-01-25T00:00:00.0000000Z,2021-01-26T00:00:00.0000000Z,2021-01-25T00:00:15.7040000Z,2021-01-25T23:59:59.8970000Z,0.2513,0.27,0.233,0.2381,8555914.12,7056
2021-01-26T00:00:00.0000000Z,2021-01-27T00:00:00.0000000Z,2021-01-26T00:00:01.4910000Z,2021-01-26T23:58:46.6350000Z,0.238,0.2497,0.2165,0.2361,7937679.63,7374
2021-01-27T00:00:00.0000000Z,2021-01-28T00:00:00.0000000Z,2021-01-27T00:00:03.1200000Z,2021-01-27T23:57:40.2330000Z,0.2362,0.2362,0.2058,0.216,4699081.64,4841
2021-01-28T00:00:00.0000000Z,2021-01-29T00:00:00.0000000Z,2021-01-28T00:00:10.7320000Z,2021-01-28T23:59:43.9610000Z,0.2154,0.246,0.2101,0.2271,6607612.26,6285
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T00:00:03.0180000Z,2021-01-29T23:57:43.9240000Z,0.2272,0.2425,0.2182,0.2316,5908414.5,6112
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:02:06.7680000Z,2021-01-30T23:56:47.9110000Z,0.2308,0.237,0.2204,0.2292,6014939.5,5533
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:04:05.7560000Z,2021-01-31T23:58:49.3820000Z,0.2296,0.2685,0.2272,0.2493,12039535.2,10470
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:00:53.2310000Z,2021-02-01T23:59:38.8770000Z,0.2489,0.2489,0.2206,0.2332,7231184.71,6934
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:00:05.0280000Z,2021-02-02T23:58:22.2510000Z,0.233,0.271,0.2302,0.2619,7420791.09,7290
2021-02-03T00:00:00.0000000Z,2021-02-04T00:00:00.0000000Z,2021-02-03T00:00:24.3610000Z,2021-02-03T23:59:51.1640000Z,0.2612,0.2959,0.2514,0.2891,10957560.91,10693
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T00:00:07.8210000Z,2021-02-04T23:58:39.8790000Z,0.2891,0.292,0.2514,0.269,8794310.49,9439
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:16.5580000Z,2021-02-05T23:59:47.8870000Z,0.2686,0.3226,0.2665,0.3016,11547736.11,12530
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:00:20.5330000Z,2021-02-06T23:59:48.9970000Z,0.3018,0.328,0.282,0.3154,12128501.19,12953
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:06.6940000Z,2021-02-07T23:58:29.5890000Z,0.3154,0.3599,0.289,0.3128,42523836.69,29337
2021-02-08T00:00:00.0000000Z,2021-02-09T00:00:00.0000000Z,2021-02-08T00:00:36.7360000Z,2021-02-08T23:59:51.6750000Z,0.3128,0.4176,0.3115,0.3853,17086619.84,26025
2021-02-09T00:00:00.0000000Z,2021-02-10T00:00:00.0000000Z,2021-02-09T00:00:19.5860000Z,2021-02-09T23:59:46.5220000Z,0.3878,0.4412,0.3669,0.39,15059670.45,21050
2021-02-10T00:00:00.0000000Z,2021-02-11T00:00:00.0000000Z,2021-02-10T00:00:18.5350000Z,2021-02-10T23:59:56.5880000Z,0.3903,0.4655,0.3698,0.3941,14482629.58,21192
2021-02-11T00:00:00.0000000Z,2021-02-12T00:00:00.0000000Z,2021-02-11T00:00:08.7690000Z,2021-02-11T23:59:59.7390000Z,0.3941,0.468,0.3844,0.4406,11583788.05,19083
2021-02-12T00:00:00.0000000Z,2021-02-13T00:00:00.0000000Z,2021-02-12T00:00:15.4720000Z,2021-02-12T23:59:55.1810000Z,0.4403,0.5333,0.4302,0.5263,15569548.44,23492
2021-02-13T00:00:00.0000000Z,2021-02-14T00:00:00.0000000Z,2021-02-13T00:00:13.0840000Z,2021-02-13T23:59:59.9810000Z,0.5295,0.6335,0.5225,0.5565,16306177.91,41139
2021-02-14T00:00:00.0000000Z,2021-02-15T00:00:00.0000000Z,2021-02-14T00:01:02.7670000Z,2021-02-14T23:59:52.4700000Z,0.5596,0.5617,0.4583,0.4958,10382992.04,24466
2021-02-15T00:00:00.0000000Z,2021-02-16T00:00:00.0000000Z,2021-02-15T00:00:18.4880000Z,2021-02-15T23:59:57.0500000Z,0.4958,0.5,0.4,0.4622,19462861.94,36262
2021-02-16T00:00:00.0000000Z,2021-02-17T00:00:00.0000000Z,2021-02-16T00:00:16.8600000Z,2021-02-16T23:59:45.6220000Z,0.4649,0.49,0.4353,0.448,6567874.15,17623
2021-02-17T00:00:00.0000000Z,2021-02-18T00:00:00.0000000Z,2021-02-17T00:00:04.1960000Z,2021-02-17T23:59:59.7430000Z,0.4482,0.4664,0.4242,0.4633,8529622.91,19192
2021-02-18T00:00:00.0000000Z,2021-02-19T00:00:00.0000000Z,2021-02-18T00:00:03.1370000Z,2021-02-18T23:59:42.0160000Z,0.4634,0.5399,0.46,0.5167,10337794.98,27593
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T00:00:03.4140000Z,2021-02-19T23:59:35.2740000Z,0.5167,0.5206,0.4459,0.4556,13158250.52,31246
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:04.3980000Z,2021-02-20T23:59:58.2920000Z,0.4561,0.4647,0.3853,0.3956,13286577.94,30654
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:07.6490000Z,2021-02-21T23:58:20.8900000Z,0.3957,0.44,0.392,0.4202,9126335.98,20592
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:16.4640000Z,2021-02-22T23:58:06.8250000Z,0.4205,0.439,0.3356,0.38,10865080.19,17806
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:00:16.6510000Z,2021-02-23T23:58:59.7660000Z,0.38,0.399,0.2934,0.3214,15584174.91,19887
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:18.2020000Z,2021-02-24T23:59:48.5710000Z,0.3214,0.3622,0.3105,0.3236,7551132.5,13257
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:11.0370000Z,2021-02-25T23:59:51.9170000Z,0.3231,0.341,0.2877,0.2917,7895989.41,15108
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:41.9250000Z,2021-02-26T23:59:59.0280000Z,0.2926,0.3158,0.2664,0.2875,9428538.04,16537
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:45.7320000Z,2021-02-27T23:59:52.2280000Z,0.2875,0.313,0.2801,0.2876,7163968.22,13612
