time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-25T00:00:00.0000000Z,2021-01-26T00:00:00.0000000Z,2021-01-25T10:00:00.0000000Z,2021-01-25T23:40:10.1210000Z,1.0,4.8875,0.9998,1.0,164107.88,279
2021-01-26T00:00:00.0000000Z,2021-01-27T00:00:00.0000000Z,2021-01-26T00:02:36.8430000Z,2021-01-26T23:57:10.8150000Z,1.0002,1.0002,0.9997,0.9997,492653.81,505
2021-01-27T00:00:00.0000000Z,2021-01-28T00:00:00.0000000Z,2021-01-27T00:00:15.7590000Z,2021-01-27T23:45:32.6150000Z,0.9998,1.0002,0.9997,0.9997,527622.76,739
2021-01-28T00:00:00.0000000Z,2021-01-29T00:00:00.0000000Z,2021-01-28T00:13:16.8840000Z,2021-01-28T23:58:19.6600000Z,0.9997,1.0002,0.9995,1.0001,2288858.92,1989
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T00:00:09.6110000Z,2021-01-29T23:59:44.3010000Z,1.0001,1.01,0.21,1.0001,5997533.39,4975
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:00:28.4640000Z,2021-01-30T23:59:47.1830000Z,1.0001,1.0044,0.9996,1.0,1766779.69,2930
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:00:04.1680000Z,2021-01-31T23:57:31.2200000Z,1.0,1.0048,0.9998,1.0,1491489.9,2251
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:00:25.2500000Z,2021-02-01T23:58:56.2850000Z,1.0,1.1374,0.9998,1.0001,1664845.7,4586
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:00:35.8590000Z,2021-02-02T23:57:52.8970000Z,0.9999,1.0004,0.9998,0.9999,3599217.69,3560
2021-02-03T00:00:00.0000000Z,2021-02-04T00:00:00.0000000Z,2021-02-03T00:03:15.0490000Z,2021-02-03T23:58:41.7020000Z,1.0,1.0033,0.9982,1.0,4729328.9,3934
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T00:00:18.3770000Z,2021-02-04T23:59:49.0810000Z,1.0,1.0002,0.9993,0.9999,4936859.88,5235
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:26.5940000Z,2021-02-05T23:53:18.5510000Z,1.0,1.0004,0.9999,0.9999,3303348.49,4766
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:01:00.6130000Z,2021-02-06T23:58:45.9720000Z,0.9999,1.001,0.9996,1.0,2565616.2,3506
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:37.4700000Z,2021-02-07T23:59:38.9530000Z,0.9999,1.0001,0.9998,1.0,1857096.86,2297
2021-02-08T00:00:00.0000000Z,2021-02-09T00:00:00.0000000Z,2021-02-08T00:00:07.9550000Z,2021-02-08T23:59:42.8770000Z,1.0,1.11,0.9994,0.9999,4275225.08,3961
2021-02-09T00:00:00.0000000Z,2021-02-10T00:00:00.0000000Z,2021-02-09T00:00:10.1900000Z,2021-02-09T23:59:55.5180000Z,1.0,1.007,0.9995,0.9999,4623600.63,4169
2021-02-10T00:00:00.0000000Z,2021-02-11T00:00:00.0000000Z,2021-02-10T00:00:27.6080000Z,2021-02-10T23:59:55.6490000Z,1.0001,1.0059,0.9997,1.0,7210702.76,8552
2021-02-11T00:00:00.0000000Z,2021-02-12T00:00:00.0000000Z,2021-02-11T00:00:00.9700000Z,2021-02-11T23:59:56.6310000Z,1.0,1.0001,0.9997,1.0,4892147.01,7390
2021-02-12T00:00:00.0000000Z,2021-02-13T00:00:00.0000000Z,2021-02-12T00:00:16.8560000Z,2021-02-12T23:59:52.5280000Z,1.0,1.0007,0.9996,0.9998,9111407.45,9729
2021-02-13T00:00:00.0000000Z,2021-02-14T00:00:00.0000000Z,2021-02-13T00:00:05.0930000Z,2021-02-13T23:59:57.8650000Z,0.9998,1.0013,0.9997,0.9999,5904632.21,10061
2021-02-14T00:00:00.0000000Z,2021-02-15T00:00:00.0000000Z,2021-02-14T00:00:25.3700000Z,2021-02-14T23:59:50.3060000Z,0.9999,1.0001,0.9995,0.9998,6345827.48,8844
2021-02-15T00:00:00.0000000Z,2021-02-16T00:00:00.0000000Z,2021-02-15T00:00:05.3370000Z,2021-02-15T23:59:32.6890000Z,1.0,1.0006,0.9992,0.9997,4530066.56,4119
2021-02-16T00:00:00.0000000Z,2021-02-17T00:00:00.0000000Z,2021-02-16T00:01:11.7540000Z,2021-02-16T23:58:13.9350000Z,0.9999,1.0006,0.9997,1.0,6533952.34,4846
2021-02-17T00:00:00.0000000Z,2021-02-18T00:00:00.0000000Z,2021-02-17T00:01:03.9400000Z,2021-02-17T23:56:07.4170000Z,1.0,1.0001,0.9994,0.9997,4627453.66,3320
2021-02-18T00:00:00.0000000Z,2021-02-19T00:00:00.0000000Z,2021-02-18T00:01:36.6090000Z,2021-02-18T23:59:58.8200000Z,1.0001,1.0006,0.999,0.9999,6504049.49,9413
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T00:00:04.5190000Z,2021-02-19T23:59:32.9810000Z,0.9999,1.0001,0.9994,1.0,6055690.04,9293
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:04.5940000Z,2021-02-20T23:59:59.8180000Z,1.0,1.0004,0.9996,0.9999,6572459.88,7518
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:17.4330000Z,2021-02-21T23:59:25.1360000Z,0.9999,1.0006,0.9993,0.9999,5190594.78,4823
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:00.2870000Z,2021-02-22T23:58:56.5400000Z,0.9999,1.0339,0.9995,0.9999,9414620.19,9512
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:01:50.3740000Z,2021-02-23T23:59:29.5960000Z,1.0,1.0339,0.9996,0.9999,6135113.11,10241
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:03.8600000Z,2021-02-24T23:59:57.5220000Z,0.9999,1.001,0.9997,0.9999,3931978.8,6500
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:10.3430000Z,2021-02-25T23:59:35.2220000Z,0.9999,1.0001,0.955,1.0001,2999938.3,2647
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:17.4070000Z,2021-02-26T23:51:00.2720000Z,1.0,1.0003,0.9995,0.9999,2045788.38,2806
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:05:59.3210000Z,2021-02-27T23:54:54.5400000Z,0.9999,1.0003,0.9996,0.9999,2576647.22,2454
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:04.8430000Z,2021-02-28T23:59:57.6320000Z,0.9999,1.0001,0.9997,1.0,2582578.82,2335
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:07.6670000Z,2021-03-01T23:58:13.2820000Z,1.0,1.0,0.9997,1.0,2750060.44,2052
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:01:27.6700000Z,2021-03-02T23:57:05.9430000Z,1.0,1.0002,0.9998,1.0,2661355.85,2702
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:01:21.3910000Z,2021-03-03T23:59:57.9650000Z,0.9999,1.0001,0.9999,1.0,2247856.99,2278
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:05.3920000Z,2021-03-04T23:59:16.8960000Z,1.0,1.0003,0.9997,0.9999,2263511.79,2601
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:28.1620000Z,2021-03-05T23:59:53.6420000Z,0.9999,1.0003,0.9998,1.0,4184494.75,2651
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:00:38.4410000Z,2021-03-06T23:59:20.0140000Z,1.0,1.0001,0.9998,1.0,1805345.34,2173
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:26.7570000Z,2021-03-07T23:43:37.4920000Z,1.0,1.0004,0.9998,0.9999,1597734.38,2211
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:02:40.6800000Z,2021-03-08T23:59:41.2860000Z,1.0,1.0001,0.9997,1.0,1819385.11,1563
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:03:18.0290000Z,2021-03-09T23:48:00.8450000Z,1.0,1.0001,0.9984,0.9999,3250397.61,2516
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:15.0150000Z,2021-03-10T23:57:30.9930000Z,1.0,1.0001,0.9997,0.9999,3403014.82,3249
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:47.3290000Z,2021-03-11T23:59:52.6270000Z,0.9999,1.0001,0.9999,1.0,1979133.53,2000
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:03.5580000Z,2021-03-12T23:58:37.6730000Z,1.0,1.0002,0.9998,1.0,1921398.85,2861
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:00:16.1770000Z,2021-03-13T23:59:57.5170000Z,0.9999,1.0002,0.9997,1.0,3727728.3,3597
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:01:08.4220000Z,2021-03-14T23:57:23.0650000Z,1.0,1.0004,0.9999,1.0,3007005.79,2677
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:05.9820000Z,2021-03-15T23:46:34.8530000Z,1.0,1.0002,0.9999,1.0,3020626.8,4188
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:02:57.0850000Z,2021-03-16T23:56:26.7550000Z,1.0,1.0008,0.9804,1.0,5941941.55,4229
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:27.1310000Z,2021-03-17T23:59:39.6940000Z,1.0,1.0002,0.9998,1.0001,3346720.41,2884
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:01:23.1890000Z,2021-03-18T23:58:55.5330000Z,1.0001,1.0002,0.9999,1.0,1218594.1,1759
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:01:46.6550000Z,2021-03-19T23:56:13.4150000Z,1.0,1.0001,0.9999,1.0001,1147146.62,2612
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:01:43.6670000Z,2021-03-20T23:59:57.8340000Z,1.0001,1.0008,0.98,0.9999,2641463.06,2442
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:02:18.9430000Z,2021-03-21T23:53:10.0830000Z,1.0,1.0002,0.9998,1.0,1224237.58,1345
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:01:32.2960000Z,2021-03-22T23:59:46.8230000Z,1.0,1.0005,0.9999,0.9999,3542495.4,3789
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:09.2500000Z,2021-03-23T23:59:47.1960000Z,0.9999,1.0009,0.9997,1.0,2508849.39,2206
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:16.9320000Z,2021-03-24T23:58:43.1420000Z,1.0,1.0007,0.9995,1.0,4157622.47,3655
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:33.5890000Z,2021-03-25T23:52:21.2740000Z,1.0,1.001,0.9999,1.0,2752124.38,2082
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:01:21.0310000Z,2021-03-26T23:58:05.8880000Z,1.0,1.0007,0.9996,0.9998,7596025.55,6841
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:03:40.0110000Z,2021-03-27T23:59:24.5060000Z,0.9997,1.0001,0.9997,0.9999,7426507.4,7378
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:59.1740000Z,2021-03-28T23:27:34.7680000Z,1.0,1.0001,0.9997,1.0,2487621.91,2664
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:17.4550000Z,2021-03-29T23:59:08.5820000Z,1.0,1.0008,0.9994,0.9999,6311749.34,4690
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:21.0500000Z,2021-03-30T23:59:38.4290000Z,1.0,1.0001,0.9996,0.9999,5497825.25,4601
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:00:04.8610000Z,2021-03-31T23:59:19.7990000Z,0.9999,1.0003,0.9997,1.0,4119163.17,3534
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:08.1610000Z,2021-04-01T23:40:16.5730000Z,0.9999,1.0002,0.9997,0.9999,3598110.31,3188
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:00:43.0740000Z,2021-04-02T23:53:55.5600000Z,1.0,1.0002,0.9996,0.9998,4938819.71,4557
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:01:00.3180000Z,2021-04-03T23:58:13.4470000Z,0.9999,1.0002,0.9997,0.9999,3523945.95,5224
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:22.6300000Z,2021-04-04T23:59:39.6720000Z,1.0,1.0004,0.9997,0.9999,3064545.26,2758
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:06.5310000Z,2021-04-05T23:59:58.9290000Z,0.9999,1.0001,0.9993,0.9999,4294903.07,4287
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:04.5560000Z,2021-04-06T23:58:52.0810000Z,1.0,1.0003,0.9993,0.9998,4320334.01,4935
