time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T09:00:00.0000000Z,2021-02-26T23:59:58.8740000Z,0.5246,0.91,0.4389,0.475,49298240.7,77295
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:00.4710000Z,2021-02-27T23:59:17.4300000Z,0.4752,0.5049,0.4145,0.4459,14594020.95,36053
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:17.3660000Z,2021-02-28T23:59:25.8010000Z,0.4428,0.4445,0.3296,0.4213,12391937.19,24708
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:06.6290000Z,2021-03-01T23:59:12.9040000Z,0.4214,0.52,0.419,0.4438,12941390.75,31751
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:16.5080000Z,2021-03-02T23:59:51.8910000Z,0.4456,0.495,0.4155,0.4284,10039724.65,26745
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:00.7120000Z,2021-03-03T23:59:55.2780000Z,0.4286,0.54,0.427,0.5021,15418198.24,33312
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:01.7840000Z,2021-03-04T23:59:57.7070000Z,0.5014,0.6453,0.4895,0.5933,35087841.94,79455
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:01.7780000Z,2021-03-05T23:58:07.1210000Z,0.5933,0.5968,0.4711,0.52,16839841.49,41395
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:01:27.0120000Z,2021-03-06T23:59:18.7950000Z,0.52,0.5753,0.486,0.5011,12727894.18,31348
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:14.0130000Z,2021-03-07T23:59:57.9710000Z,0.5034,0.5799,0.5,0.5479,15009677.98,42022
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:00:03.5510000Z,2021-03-08T23:59:59.2530000Z,0.5479,0.74,0.5474,0.725,26397637.55,90606
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:03.7680000Z,2021-03-09T23:59:57.5090000Z,0.7251,0.775,0.6275,0.7507,28559575.43,92282
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:03.8690000Z,2021-03-10T23:59:57.5490000Z,0.7504,0.7557,0.6533,0.664,17360777.32,59772
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:01.3530000Z,2021-03-11T23:59:52.2640000Z,0.6634,0.84,0.654,0.816,30452521.97,100830
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:00.7930000Z,2021-03-12T23:59:58.7090000Z,0.816,0.8347,0.7145,0.8336,22144649.0,73505
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:00:02.1960000Z,2021-03-13T23:59:53.3900000Z,0.8335,1.0282,0.7908,0.9597,37819811.31,143171
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:06.8260000Z,2021-03-14T23:59:58.2710000Z,0.9597,1.05,0.851,0.9499,22353774.74,90175
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:03.6720000Z,2021-03-15T23:59:56.0300000Z,0.9499,1.2475,0.86,1.145,45468600.16,157988
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:11.6120000Z,2021-03-16T23:59:59.7810000Z,1.145,1.2,0.86,1.0065,35983162.12,135447
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:09.5050000Z,2021-03-17T23:59:47.9870000Z,1.0053,1.0068,0.783,0.8908,25125319.28,91109
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:09.1780000Z,2021-03-18T23:59:55.4620000Z,0.8907,0.94,0.8364,0.8505,13443206.31,59421
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:15.4470000Z,2021-03-19T23:59:52.1710000Z,0.8507,0.9,0.7817,0.8133,16685866.2,66266
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:02.8690000Z,2021-03-20T23:59:58.8900000Z,0.8133,0.89,0.808,0.8236,12273626.84,54353
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:02.9220000Z,2021-03-21T23:59:31.9600000Z,0.8235,0.8352,0.7182,0.7777,13186600.5,48402
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:31.1900000Z,2021-03-22T23:59:59.4290000Z,0.7781,0.8782,0.7247,0.7248,19779180.48,69496
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:07.3330000Z,2021-03-23T23:59:37.3690000Z,0.7245,0.8078,0.674,0.7441,16881409.3,59946
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:17.5890000Z,2021-03-24T23:59:56.5530000Z,0.7444,0.895,0.7023,0.7193,24768372.01,87009
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:06.5730000Z,2021-03-25T23:59:59.6840000Z,0.7192,0.77,0.6252,0.6824,15749320.61,53899
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:22.0250000Z,2021-03-26T23:59:53.3020000Z,0.6823,0.792,0.681,0.7449,14354604.71,45055
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:00:00.4520000Z,2021-03-27T23:59:59.9610000Z,0.7435,0.77,0.7022,0.7597,10550610.96,36881
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:03.2410000Z,2021-03-28T23:59:57.8310000Z,0.7596,0.894,0.7361,0.83,22618946.72,76484
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:21.7070000Z,2021-03-29T23:59:58.5550000Z,0.8307,0.8841,0.8,0.8114,13167761.9,49274
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:08.0500000Z,2021-03-30T23:59:52.4610000Z,0.8114,0.8284,0.76,0.7789,12893828.93,43705
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:00:27.4050000Z,2021-03-31T23:59:35.5720000Z,0.7793,0.805,0.7,0.722,12370734.39,41448
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:00.4060000Z,2021-04-01T23:59:50.7650000Z,0.722,0.7894,0.685,0.7279,14210047.69,50184
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:00:00.7700000Z,2021-04-02T23:59:58.4170000Z,0.7277,0.7639,0.705,0.7125,13019308.89,48150
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:00:45.0320000Z,2021-04-03T23:59:23.2270000Z,0.7124,0.7328,0.6376,0.642,14120768.58,48662
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:10.6710000Z,2021-04-04T23:59:53.0370000Z,0.6421,0.75,0.63,0.7177,280935500.52,386670
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:02.3580000Z,2021-04-05T23:59:44.4460000Z,0.7181,0.7599,0.6631,0.715,15117679.43,51528
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:04.7040000Z,2021-04-06T23:59:58.4770000Z,0.715,0.745,0.6488,0.6691,12929459.29,41851
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:00:02.5400000Z,2021-04-07T23:59:49.8440000Z,0.67,0.6701,0.5385,0.5814,16807032.91,48817
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:00:00.4590000Z,2021-04-08T23:59:56.5480000Z,0.5814,0.66,0.5746,0.6375,10277929.54,35282
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:00:12.4830000Z,2021-04-09T23:59:55.4730000Z,0.6377,0.7,0.6281,0.6714,11793581.61,39000
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:03.5290000Z,2021-04-10T05:34:15.5670000Z,0.6721,0.69,0.6517,0.6559,1720442.15,6639
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:04.2230000Z,2021-04-11T23:59:10.9640000Z,0.633,0.6351,0.6,0.6058,9519222.26,28869
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:11.2050000Z,2021-04-12T23:59:58.4200000Z,0.6057,0.67,0.58,0.6466,17725158.5,49984
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:00:01.6630000Z,2021-04-13T23:59:46.3170000Z,0.6456,0.6995,0.5902,0.5991,22005736.48,57479
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:00.3110000Z,2021-04-14T23:59:47.3400000Z,0.5999,0.6099,0.564,0.602,17036110.37,46027
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:11.3080000Z,2021-04-15T23:59:55.9660000Z,0.6022,0.6422,0.5871,0.6208,15267609.98,38669
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:00.4960000Z,2021-04-16T23:59:53.3840000Z,0.6208,0.6223,0.5517,0.5668,17312320.45,46611
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:04.5680000Z,2021-04-17T23:59:56.5210000Z,0.5668,0.5989,0.5524,0.5707,14578920.25,38547
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:00.3490000Z,2021-04-18T23:59:12.4690000Z,0.5698,0.5726,0.4302,0.482,18552513.63,39320
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:13.4100000Z,2021-04-19T23:59:38.8600000Z,0.4806,0.5027,0.4201,0.4447,16729432.57,35626
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:02.7350000Z,2021-04-20T01:59:46.5210000Z,0.445,0.4464,0.38,0.4043,4238190.1,6701
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:25.3890000Z,2021-04-21T23:59:50.8800000Z,0.449,0.4521,0.3865,0.3935,14974610.08,34739
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:14.1770000Z,2021-04-22T23:59:57.8910000Z,0.3947,0.4088,0.334,0.3503,21063947.25,39819
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:11.3640000Z,2021-04-23T23:59:48.0270000Z,0.3501,0.3539,0.2797,0.3246,23621367.91,25488
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:04.0180000Z,2021-04-24T00:23:15.8620000Z,0.3251,0.3259,0.31,0.312,361532.1,305
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:36.1870000Z,2021-04-25T04:00:34.6930000Z,0.3176,0.354,0.3072,0.3319,4430705.26,7450
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:02.6970000Z,2021-04-26T23:59:51.3720000Z,0.3712,0.435,0.371,0.4182,19892827.9,42348
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:13.6320000Z,2021-04-27T23:59:51.0440000Z,0.4172,0.49,0.4117,0.4798,19830843.44,48649
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:02.8950000Z,2021-04-28T23:59:43.6000000Z,0.4781,0.5599,0.415,0.5162,36355591.59,82184
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:00:08.3170000Z,2021-04-29T23:59:40.8310000Z,0.5161,0.5897,0.476,0.5167,39653693.43,96940
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:03.4060000Z,2021-04-30T23:59:55.6840000Z,0.5157,0.54,0.48,0.5159,24914131.7,63365
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:00.9420000Z,2021-05-01T23:59:50.1710000Z,0.5159,0.6,0.4911,0.5725,27564124.34,70157
