time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-27T00:00:00.0000000Z,2021-01-28T00:00:00.0000000Z,2021-01-27T08:00:00.0000000Z,2021-01-27T23:59:59.6310000Z,0.1698,0.5,0.1698,0.431,307684578.14,302378
2021-01-28T00:00:00.0000000Z,2021-01-29T00:00:00.0000000Z,2021-01-28T00:00:00.4420000Z,2021-01-28T23:59:58.3470000Z,0.4312,0.4314,0.2919,0.3012,156658865.88,159822
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T00:00:02.4970000Z,2021-01-29T23:59:58.8600000Z,0.3009,0.321,0.252,0.288,74287042.8,84054
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:00:04.8010000Z,2021-01-30T23:59:59.6200000Z,0.2878,0.348,0.283,0.298,47977142.59,62563
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:00:06.4490000Z,2021-01-31T23:59:53.3970000Z,0.298,0.3213,0.2833,0.2907,26559660.82,34261
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:00:03.0530000Z,2021-02-01T23:59:57.2420000Z,0.2907,0.3197,0.2867,0.3018,21475119.72,26739
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:00:14.3830000Z,2021-02-02T23:59:52.1440000Z,0.3018,0.3399,0.2963,0.3266,25317276.33,31216
2021-02-03T00:00:00.0000000Z,2021-02-04T00:00:00.0000000Z,2021-02-03T00:00:01.3650000Z,2021-02-03T23:59:56.3140000Z,0.3266,0.378,0.3265,0.3696,30757568.42,43471
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T00:00:00.6090000Z,2021-02-04T23:59:57.2170000Z,0.3696,0.4405,0.34,0.413,42694130.14,55675
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:02.2850000Z,2021-02-05T23:59:43.7260000Z,0.4127,0.55,0.4127,0.4634,62958012.21,99247
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:00:03.5150000Z,2021-02-06T23:59:59.9780000Z,0.4661,0.5784,0.4202,0.5504,49784551.89,92387
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:02.4170000Z,2021-02-07T23:59:47.3740000Z,0.5504,0.666,0.5289,0.6096,70100291.98,135475
2021-02-08T00:00:00.0000000Z,2021-02-09T00:00:00.0000000Z,2021-02-08T00:00:02.1730000Z,2021-02-08T23:59:58.9060000Z,0.6096,0.7244,0.5965,0.7042,47781693.34,93953
2021-02-09T00:00:00.0000000Z,2021-02-10T00:00:00.0000000Z,2021-02-09T00:00:06.2440000Z,2021-02-09T23:59:59.9170000Z,0.7067,0.708,0.6152,0.6462,32617301.78,78034
2021-02-10T00:00:00.0000000Z,2021-02-11T00:00:00.0000000Z,2021-02-10T00:00:01.7840000Z,2021-02-10T23:59:57.9440000Z,0.6463,0.7583,0.6049,0.6384,40014648.53,111262
2021-02-11T00:00:00.0000000Z,2021-02-12T00:00:00.0000000Z,2021-02-11T00:00:03.5690000Z,2021-02-11T23:59:45.9070000Z,0.6384,0.7487,0.6273,0.7212,21860290.73,63114
2021-02-12T00:00:00.0000000Z,2021-02-13T00:00:00.0000000Z,2021-02-12T00:00:13.2780000Z,2021-02-12T23:59:34.6980000Z,0.7237,0.7335,0.6711,0.695,17399294.69,54647
2021-02-13T00:00:00.0000000Z,2021-02-14T00:00:00.0000000Z,2021-02-13T00:00:08.1200000Z,2021-02-13T23:59:45.3860000Z,0.6938,0.7071,0.64,0.6552,15809745.24,47891
2021-02-14T00:00:00.0000000Z,2021-02-15T00:00:00.0000000Z,2021-02-14T00:00:01.6520000Z,2021-02-14T23:59:34.5180000Z,0.6551,0.6693,0.61,0.6397,15353053.05,42705
2021-02-15T00:00:00.0000000Z,2021-02-16T00:00:00.0000000Z,2021-02-15T00:00:15.9310000Z,2021-02-15T23:59:44.3650000Z,0.6397,0.642,0.511,0.5693,26036556.1,60435
2021-02-16T00:00:00.0000000Z,2021-02-17T00:00:00.0000000Z,2021-02-16T00:00:14.7020000Z,2021-02-16T23:59:54.5510000Z,0.5692,0.6676,0.5428,0.6453,20098659.26,53694
2021-02-17T00:00:00.0000000Z,2021-02-18T00:00:00.0000000Z,2021-02-17T00:00:17.6230000Z,2021-02-17T23:59:52.0470000Z,0.6454,0.68,0.5783,0.6617,18093775.05,48356
2021-02-18T00:00:00.0000000Z,2021-02-19T00:00:00.0000000Z,2021-02-18T00:00:02.3330000Z,2021-02-18T23:59:57.9450000Z,0.6625,0.7988,0.6512,0.7793,29196733.94,82363
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T00:00:00.1030000Z,2021-02-19T23:59:55.8890000Z,0.7793,0.8871,0.7,0.87,38638383.8,120652
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:01.4770000Z,2021-02-20T23:59:58.3860000Z,0.8699,0.871,0.671,0.7414,26782097.84,85739
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:05.8110000Z,2021-02-21T23:59:59.3160000Z,0.7451,0.825,0.7162,0.7611,16462753.15,53866
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:16.3200000Z,2021-02-22T23:59:33.1940000Z,0.7589,0.7614,0.571,0.7048,24799847.94,62312
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:00:15.0980000Z,2021-02-23T23:59:49.6290000Z,0.7047,0.7079,0.531,0.6047,21497718.24,46992
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:02.5910000Z,2021-02-24T23:59:51.4390000Z,0.605,0.6786,0.5691,0.6289,14722764.87,38289
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:03.0540000Z,2021-02-25T23:59:58.4950000Z,0.6289,0.6395,0.5759,0.578,12052858.69,28381
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:01.6950000Z,2021-02-26T23:59:25.5450000Z,0.5776,0.58,0.502,0.5413,13443778.86,27613
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:22.2350000Z,2021-02-27T23:59:49.3030000Z,0.54,0.5679,0.5151,0.5362,8831063.06,21807
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:07.8220000Z,2021-02-28T23:59:38.1970000Z,0.5362,0.5416,0.4167,0.4605,16047959.55,30211
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:11.5100000Z,2021-03-01T23:59:20.3030000Z,0.462,0.55,0.4571,0.5334,13644332.49,33418
