time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T09:00:30.5160000Z,2021-02-23T23:59:57.8460000Z,3.4066,3.6,2.0,3.1897,9874474.09,84700
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:17.8300000Z,2021-02-24T23:59:52.2040000Z,3.1811,3.3414,2.5,2.6483,3963190.59,54796
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:07.2510000Z,2021-02-25T23:59:29.9510000Z,2.649,2.7979,2.01,2.0107,1890675.17,24075
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:03.0850000Z,2021-02-26T23:55:15.8440000Z,2.0121,2.3,1.8,1.9666,1332883.32,15585
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:01:08.6740000Z,2021-02-27T23:59:49.3890000Z,1.9658,2.495,1.85,2.3702,1362434.91,19587
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:03.1980000Z,2021-02-28T23:59:58.1820000Z,2.3703,2.45,1.9057,2.1376,1090882.43,14443
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:11.4490000Z,2021-03-01T23:59:55.7250000Z,2.1375,3.84,2.0228,3.0939,4203740.47,68355
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:52.7310000Z,2021-03-02T23:59:52.5650000Z,3.0938,3.38,2.55,2.8624,1677998.36,31480
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:13.2030000Z,2021-03-03T23:59:43.4450000Z,2.8657,3.31,2.83,2.8314,1282222.93,23493
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:32.6030000Z,2021-03-04T23:56:52.4390000Z,2.8314,3.0591,2.717,2.8179,972646.91,16035
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:01:50.9650000Z,2021-03-05T23:59:34.5740000Z,2.8178,2.8208,2.4,2.5887,832146.58,11830
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:00:17.1650000Z,2021-03-06T23:58:59.6030000Z,2.587,2.7985,2.55,2.6275,457111.98,8262
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:17.3120000Z,2021-03-07T23:59:44.1950000Z,2.6225,3.225,2.55,2.9947,608504.1,10510
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:00:06.8560000Z,2021-03-08T23:59:25.6010000Z,2.9946,3.2836,2.74,2.913,1108573.31,19585
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:28.6030000Z,2021-03-09T23:59:59.6860000Z,2.9129,3.1,2.7543,2.9329,939208.18,16925
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:25.0330000Z,2021-03-10T23:59:54.7430000Z,2.9329,3.2,2.7,2.8802,1009014.29,23689
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:05.2070000Z,2021-03-11T23:59:59.9700000Z,2.88,3.93,2.7763,3.6791,2092975.79,54996
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:13.1290000Z,2021-03-12T23:59:59.2160000Z,3.6669,3.7,3.06,3.4117,1010029.95,32609
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:01:02.8430000Z,2021-03-13T23:58:53.4310000Z,3.4144,4.05,3.2168,3.7742,1147027.12,39969
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:52.2010000Z,2021-03-14T23:59:55.1360000Z,3.7742,3.9866,3.3599,3.7416,869979.74,35926
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:09.8880000Z,2021-03-15T23:59:45.0530000Z,3.7416,3.928,3.2626,3.3987,1188657.19,45670
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:15.3050000Z,2021-03-16T23:59:33.4960000Z,3.3988,3.4955,3.03,3.2521,909482.7,30079
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:15.4810000Z,2021-03-17T23:58:57.9660000Z,3.2521,3.6594,3.045,3.2324,875371.72,27155
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:33.9460000Z,2021-03-18T23:59:42.8620000Z,3.2206,3.6,3.0888,3.255,1094637.49,36261
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:01.3380000Z,2021-03-19T23:59:48.4280000Z,3.2551,3.4214,3.1396,3.2215,664955.77,21944
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:34.9160000Z,2021-03-20T23:59:54.8470000Z,3.2304,3.3195,2.9602,3.0072,827936.95,25289
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:29.2520000Z,2021-03-21T23:59:46.8380000Z,3.0037,3.0556,2.4801,2.8,1195034.98,31355
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:01:47.8400000Z,2021-03-22T23:58:32.2620000Z,2.8101,2.8871,2.5131,2.5365,867133.02,18905
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:17.8160000Z,2021-03-23T23:59:44.7880000Z,2.533,3.0,2.2569,2.935,1034023.53,21715
