time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T07:07:12.7000000Z,2021-11-22T23:59:58.6190000Z,5.089,5.7,1.05,5.179,9866600.4,164087
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:00.9680000Z,2021-11-23T23:59:52.1330000Z,5.179,5.818,4.688,4.907,4146464.9,69957
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:10.6210000Z,2021-11-24T23:59:45.4300000Z,4.906,4.927,4.18,4.354,1730870.8,24879
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:55.1260000Z,2021-11-25T23:59:10.7610000Z,4.362,4.946,4.234,4.268,2092857.5,27123
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:41.1790000Z,2021-11-26T23:59:55.1670000Z,4.267,4.433,3.759,3.842,1295350.0,15289
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:07.6350000Z,2021-11-27T23:59:58.5150000Z,3.833,4.023,3.719,3.793,709578.9,8835
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:09.8100000Z,2021-11-28T23:59:33.3790000Z,3.796,4.257,3.551,3.926,1348549.1,21319
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:36.3620000Z,2021-11-29T23:59:07.5230000Z,3.926,4.435,3.885,4.223,968286.7,18175
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:09.3480000Z,2021-11-30T23:59:58.6850000Z,4.215,4.77,3.852,4.633,2146251.5,31113
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:00.2450000Z,2021-12-01T23:59:09.8050000Z,4.631,5.499,4.579,4.762,8174963.6,136892
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:46.3150000Z,2021-12-02T23:59:57.5570000Z,4.754,5.082,4.547,4.581,1376286.9,24755
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:23.5980000Z,2021-12-03T23:59:25.5450000Z,4.583,4.746,4.12,4.416,853198.9,13948
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:01:41.2540000Z,2021-12-04T23:58:18.4800000Z,4.416,4.6,3.458,4.153,1618566.3,25662
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:41.8510000Z,2021-12-05T23:54:22.0970000Z,4.156,4.6,3.802,3.961,997103.4,15859
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:28.2900000Z,2021-12-06T23:59:56.9240000Z,3.951,4.0,3.6,3.908,650913.5,10420
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:05.9200000Z,2021-12-07T23:59:20.4700000Z,3.907,4.094,3.695,3.856,706064.6,9744
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:22.2860000Z,2021-12-08T23:59:19.5080000Z,3.856,4.288,3.73,3.999,654429.9,12288
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:01:21.0350000Z,2021-12-09T23:59:17.8220000Z,3.999,4.03,3.556,3.606,585430.3,7994
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:31.7490000Z,2021-12-10T23:59:51.1920000Z,3.604,3.72,3.35,3.35,1099955.5,12077
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:05.2200000Z,2021-12-11T23:59:41.9530000Z,3.353,3.645,3.314,3.613,438931.9,5956
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:00:03.7220000Z,2021-12-12T13:29:27.7290000Z,3.61,3.626,3.497,3.53,84749.9,1561
