time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T06:38:38.9190000Z,2021-08-23T23:59:59.2300000Z,0.4414,0.472,0.3584,0.3955,178492386.0,254149
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:00:00.5920000Z,2021-08-24T23:59:59.1110000Z,0.395,0.456,0.3175,0.3293,73125933.0,92562
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:00:10.5650000Z,2021-08-25T23:59:55.9640000Z,0.3308,0.3651,0.2957,0.3488,56211037.0,71950
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:00:26.6450000Z,2021-08-26T23:59:59.9470000Z,0.348,0.4254,0.3252,0.3732,132152491.0,162079
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:00.2190000Z,2021-08-27T23:59:56.6350000Z,0.3747,0.414,0.3618,0.3866,61323252.0,89352
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:06.3470000Z,2021-08-28T23:59:42.5060000Z,0.3865,0.392,0.3652,0.3775,29586584.0,44796
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:01:18.0340000Z,2021-08-29T23:59:48.6700000Z,0.3771,0.392,0.3487,0.363,24213243.0,34113
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:01.3600000Z,2021-08-30T23:59:38.7630000Z,0.3628,0.3648,0.3373,0.3415,13643274.0,18363
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:24.0730000Z,2021-08-31T23:59:38.0900000Z,0.3414,0.3554,0.333,0.3432,11377612.0,20302
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:09.9860000Z,2021-09-01T23:59:37.5730000Z,0.3423,0.3525,0.3297,0.3488,11566317.0,17947
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:00.1610000Z,2021-09-02T23:59:57.1740000Z,0.3486,0.373,0.3415,0.366,17202022.0,22063
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:05.4960000Z,2021-09-03T23:59:27.8430000Z,0.3663,0.3671,0.354,0.3598,10262143.0,15138
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:26.3580000Z,2021-09-04T23:59:59.6850000Z,0.3594,0.3794,0.3489,0.3777,11731919.0,16711
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:00.3670000Z,2021-09-05T23:59:56.1270000Z,0.3774,0.3781,0.3565,0.3615,7926513.0,11037
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:18.5410000Z,2021-09-06T23:59:55.7650000Z,0.3604,0.3644,0.3463,0.3555,6053810.0,7397
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:00:29.8130000Z,2021-09-07T23:59:46.3490000Z,0.3557,0.3587,0.23,0.2775,10694946.0,14416
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:04.4100000Z,2021-09-08T23:58:31.2590000Z,0.2768,0.3087,0.2444,0.2834,7481099.0,10317
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:01:19.1850000Z,2021-09-09T23:59:40.7180000Z,0.2832,0.3187,0.2726,0.3023,7993703.0,10917
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:16.6430000Z,2021-09-10T23:59:40.3390000Z,0.3019,0.3098,0.2679,0.2762,5990333.0,8875
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:18.1030000Z,2021-09-11T23:59:56.7140000Z,0.2763,0.334,0.2749,0.3225,16625426.0,23318
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:00.2900000Z,2021-09-12T23:59:44.5630000Z,0.3238,0.33,0.2955,0.3091,10665762.0,17425
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:00:04.4950000Z,2021-09-13T23:58:40.5120000Z,0.309,0.31,0.268,0.2824,5251657.0,11247
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:00:19.7650000Z,2021-09-14T23:59:54.5370000Z,0.2823,0.2884,0.2757,0.288,4870166.0,9055
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:00:15.5380000Z,2021-09-15T23:58:09.3360000Z,0.288,0.2919,0.2802,0.2915,3624211.0,6553
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:00:31.9850000Z,2021-09-16T23:59:31.9530000Z,0.2917,0.2928,0.279,0.2853,5202538.0,8326
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:05.0010000Z,2021-09-17T23:59:22.3810000Z,0.2851,0.2895,0.2777,0.2883,11636032.0,12359
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:40.3240000Z,2021-09-18T23:59:17.6630000Z,0.2873,0.291,0.2808,0.2879,5734442.0,8303
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:00:47.4330000Z,2021-09-19T23:57:06.0470000Z,0.2876,0.2877,0.2702,0.2734,4277087.0,6766
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:00:40.0750000Z,2021-09-20T23:59:51.2570000Z,0.2729,0.2809,0.2134,0.2259,10403230.0,16140
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:00:06.8560000Z,2021-09-21T23:59:11.9820000Z,0.2257,0.2324,0.1954,0.2002,9197673.0,13202
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:00:19.9800000Z,2021-09-22T23:59:42.2070000Z,0.2001,0.2315,0.1928,0.2285,7400409.0,11359
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:45.6580000Z,2021-09-23T23:58:59.6290000Z,0.2292,0.2743,0.2206,0.2565,14777629.0,20890
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:00:25.0680000Z,2021-09-24T23:58:39.6710000Z,0.2558,0.2558,0.2111,0.2327,8762142.0,13544
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:15.5800000Z,2021-09-25T23:58:12.2850000Z,0.2318,0.2332,0.2184,0.2255,3188762.0,6174
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:09.4000000Z,2021-09-26T23:59:38.8980000Z,0.2256,0.2327,0.1992,0.216,7956176.0,10173
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:00:36.8720000Z,2021-09-27T23:59:55.5260000Z,0.2158,0.2213,0.2062,0.2062,4539352.0,7659
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:51.5350000Z,2021-09-28T23:59:50.8450000Z,0.2063,0.2087,0.194,0.1951,6785068.0,11197
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:06.1400000Z,2021-09-29T23:59:01.3330000Z,0.1948,0.207,0.1923,0.198,6032357.0,9363
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:02:30.0780000Z,2021-09-30T23:59:56.3120000Z,0.198,0.2878,0.1973,0.234,134472633.0,111545
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:09.5360000Z,2021-10-01T23:59:52.1910000Z,0.234,0.2746,0.2339,0.2626,36197196.0,42039
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:01.7380000Z,2021-10-02T23:59:29.8430000Z,0.2626,0.2751,0.2525,0.2664,10586945.0,19597
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:00:20.0820000Z,2021-10-03T23:59:33.4410000Z,0.2662,0.3189,0.26,0.2942,34886154.0,44588
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:05.4540000Z,2021-10-04T23:59:04.5480000Z,0.2947,0.3091,0.287,0.3028,11953752.0,17694
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:03.6090000Z,2021-10-05T23:59:50.8580000Z,0.3026,0.309,0.2902,0.3061,10458002.0,14862
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:10.6200000Z,2021-10-06T23:59:54.4270000Z,0.3062,0.35,0.2875,0.3052,12087936.0,17675
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:37.7190000Z,2021-10-07T23:59:52.7140000Z,0.3049,0.305,0.2903,0.2955,5587844.0,7155
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:51.5480000Z,2021-10-08T23:59:59.2090000Z,0.2955,0.2984,0.281,0.2932,9817648.0,10229
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:08.1510000Z,2021-10-09T23:59:22.2790000Z,0.2938,0.2945,0.2752,0.2805,14315933.0,19363
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:19.9840000Z,2021-10-10T23:59:52.3300000Z,0.2805,0.2856,0.2714,0.2744,5067371.0,8304
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:10.8180000Z,2021-10-11T23:59:21.2190000Z,0.2741,0.2826,0.2667,0.2733,6078232.0,9578
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:04.8570000Z,2021-10-12T23:55:52.5000000Z,0.2735,0.2856,0.2542,0.282,8346466.0,13301
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:00.6040000Z,2021-10-13T23:58:49.1700000Z,0.2829,0.2908,0.2728,0.2902,5818766.0,9103
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:12.3340000Z,2021-10-14T23:56:52.7380000Z,0.2894,0.2938,0.2847,0.2907,7059057.0,8759
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:01:22.3170000Z,2021-10-15T23:58:14.5530000Z,0.29,0.29,0.2661,0.271,8629287.0,10273
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:47.5110000Z,2021-10-16T23:59:52.8140000Z,0.2712,0.2828,0.2687,0.2821,5934317.0,7607
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:04.3360000Z,2021-10-17T23:59:52.6880000Z,0.2817,0.2821,0.2709,0.2758,5777832.0,6609
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:11.4080000Z,2021-10-18T23:59:51.2790000Z,0.2757,0.295,0.2702,0.2927,12999479.0,14255
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:00.5790000Z,2021-10-19T23:58:51.4550000Z,0.2927,0.2961,0.2822,0.2951,6380060.0,7949
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:00.2830000Z,2021-10-20T23:59:58.5830000Z,0.2949,0.3098,0.2789,0.2985,8598957.0,10848
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:13.9490000Z,2021-10-21T23:59:10.9010000Z,0.2985,0.3018,0.2856,0.288,6655364.0,8163
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:01:38.1060000Z,2021-10-22T23:59:27.5620000Z,0.2879,0.3086,0.2864,0.3058,10130738.0,12299
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:01:14.9970000Z,2021-10-23T23:58:07.7340000Z,0.3058,0.31,0.2969,0.3081,10531318.0,11561
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:31.0780000Z,2021-10-24T23:59:32.5370000Z,0.3082,0.3345,0.3042,0.3124,16191702.0,18469
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:04.0680000Z,2021-10-25T23:59:59.9720000Z,0.3127,0.3145,0.2925,0.3103,11270027.0,12091
