time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-06T00:00:00.0000000Z,2021-08-07T00:00:00.0000000Z,2021-08-06T04:02:44.3630000Z,2021-08-06T23:59:59.7790000Z,6.01e-05,0.00013,5e-05,6.306e-05,1668044389422.0,277218
2021-08-07T00:00:00.0000000Z,2021-08-08T00:00:00.0000000Z,2021-08-07T00:00:04.0060000Z,2021-08-07T23:59:59.0570000Z,6.305e-05,6.399e-05,5.282e-05,5.522e-05,318727945540.0,80332
2021-08-08T00:00:00.0000000Z,2021-08-09T00:00:00.0000000Z,2021-08-08T00:00:02.4840000Z,2021-08-08T23:59:52.1960000Z,5.523e-05,5.67e-05,5.151e-05,5.183e-05,158250665625.0,38356
2021-08-09T00:00:00.0000000Z,2021-08-10T00:00:00.0000000Z,2021-08-09T00:00:31.0140000Z,2021-08-09T23:59:37.8240000Z,5.19e-05,5.6e-05,5.176e-05,5.405e-05,108389578736.0,26302
2021-08-10T00:00:00.0000000Z,2021-08-11T00:00:00.0000000Z,2021-08-10T00:00:00.8020000Z,2021-08-10T23:59:44.2850000Z,5.405e-05,5.503e-05,5.03e-05,5.17e-05,84815190252.0,23066
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T00:00:02.2950000Z,2021-08-11T23:59:57.0320000Z,5.17e-05,5.333e-05,4.8e-05,5.031e-05,175687294988.0,41650
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:00:04.8340000Z,2021-08-12T23:59:59.6830000Z,5.036e-05,5.095e-05,4.555e-05,4.685e-05,85174885461.0,20755
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:00:13.1510000Z,2021-08-13T23:59:57.1130000Z,4.677e-05,5.27e-05,4.6e-05,4.979e-05,71398321433.0,20186
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:00:09.2610000Z,2021-08-14T23:59:52.2700000Z,4.979e-05,5.205e-05,4.841e-05,5.015e-05,53638756561.0,21650
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:01:02.6510000Z,2021-08-15T23:59:49.2440000Z,5.015e-05,5.388e-05,5.011e-05,5.077e-05,62312733727.0,23293
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:00:20.2390000Z,2021-08-16T23:59:58.4120000Z,5.077e-05,7.289e-05,5.039e-05,5.948e-05,416909778588.0,122806
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:00:00.3130000Z,2021-08-17T23:59:52.7050000Z,5.948e-05,6.303e-05,5.174e-05,5.318e-05,187562282657.0,61756
