time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T10:03:51.8140000Z,2021-06-06T23:57:53.0990000Z,0.1859,0.2243,0.1826,0.1875,584139.0,1107
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:01:25.7450000Z,2021-06-07T23:56:15.6100000Z,0.1882,0.1951,0.1686,0.1707,959110.0,1095
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:44.4250000Z,2021-06-08T23:59:42.2910000Z,0.1714,0.1728,0.1545,0.1648,841878.0,1194
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:01:36.6510000Z,2021-06-09T23:53:15.7260000Z,0.1654,0.199,0.1583,0.1744,1160254.0,1980
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:00.6730000Z,2021-06-10T23:59:59.5550000Z,0.1745,0.1831,0.1662,0.1702,643945.0,1422
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:04.5010000Z,2021-06-11T23:59:44.2260000Z,0.1703,0.1899,0.162,0.1641,2134671.0,2692
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:55.1860000Z,2021-06-12T23:50:23.4590000Z,0.1635,0.1635,0.153,0.1563,633898.0,870
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:13:19.2910000Z,2021-06-13T23:59:31.5000000Z,0.156,0.169,0.154,0.1654,504909.0,983
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:06.5080000Z,2021-06-14T23:57:15.1400000Z,0.1658,0.1753,0.1621,0.1742,763105.0,1694
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:20.3690000Z,2021-06-15T23:52:47.6570000Z,0.1734,0.182,0.1694,0.1763,867608.0,1452
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:21.1320000Z,2021-06-16T23:59:59.8510000Z,0.1761,0.1761,0.1633,0.1649,646919.0,1028
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:45.8500000Z,2021-06-17T23:50:06.7110000Z,0.165,0.1755,0.1587,0.1625,2437875.0,1032
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:39.4670000Z,2021-06-18T23:57:05.3390000Z,0.1625,0.163,0.147,0.1519,1054851.0,1093
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:03:12.4850000Z,2021-06-19T23:59:37.6610000Z,0.1518,0.1548,0.147,0.147,446838.0,682
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:01:25.7640000Z,2021-06-20T23:59:19.5770000Z,0.1467,0.1475,0.1326,0.1425,1262075.0,1536
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:03:18.1840000Z,2021-06-21T23:53:13.8020000Z,0.1433,0.1434,0.107,0.107,1609838.0,1576
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:02:59.1670000Z,2021-06-22T23:54:44.6470000Z,0.107,0.1119,0.0851,0.096,1885700.0,1983
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:04:14.7650000Z,2021-06-23T23:57:42.2490000Z,0.0955,0.1174,0.0915,0.1127,917125.0,1298
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:01:30.9980000Z,2021-06-24T23:54:05.4330000Z,0.113,0.1191,0.1066,0.1164,993662.0,1057
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:01:52.8300000Z,2021-06-25T23:53:03.7680000Z,0.1171,0.1195,0.1058,0.1065,950098.0,876
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:32.3520000Z,2021-06-26T23:59:16.0980000Z,0.105,0.1184,0.1018,0.108,1092874.0,1208
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:01:16.4380000Z,2021-06-27T23:59:14.4080000Z,0.1078,0.1131,0.1056,0.1128,1268030.0,893
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:02:14.3470000Z,2021-06-28T23:59:56.9710000Z,0.1131,0.12,0.11,0.117,2453453.0,1699
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:29.9910000Z,2021-06-29T23:59:51.9850000Z,0.1173,0.1352,0.1165,0.1283,5062717.0,2748
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:01:37.0760000Z,2021-06-30T23:59:26.0190000Z,0.1278,0.1369,0.1191,0.1353,2131076.0,2375
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:48.0250000Z,2021-07-01T23:55:07.2730000Z,0.1344,0.139,0.1236,0.1283,907374.0,1448
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:01:35.8270000Z,2021-07-02T23:59:46.1180000Z,0.1278,0.134,0.123,0.1315,1514460.0,1793
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:02:12.2160000Z,2021-07-03T23:53:30.2230000Z,0.1317,0.1365,0.1283,0.1347,457283.0,882
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:11:35.0710000Z,2021-07-04T23:53:33.4060000Z,0.1338,0.1405,0.1299,0.1378,513987.0,918
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:00:27.5720000Z,2021-07-05T23:53:39.8360000Z,0.1373,0.1373,0.1264,0.1306,561021.0,993
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:02:06.2880000Z,2021-07-06T23:57:33.7620000Z,0.1312,0.1452,0.1285,0.134,3693035.0,3627
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:00:31.9880000Z,2021-07-07T23:59:36.4510000Z,0.133,0.136,0.1312,0.1323,847109.0,935
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:04.9090000Z,2021-07-08T23:46:30.3950000Z,0.1326,0.1326,0.1203,0.1226,649021.0,884
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:00:20.5700000Z,2021-07-09T23:58:39.1300000Z,0.1219,0.1249,0.1153,0.1238,421285.0,739
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:18:19.3970000Z,2021-07-10T23:56:40.5300000Z,0.1249,0.1251,0.1186,0.121,665320.0,613
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:05:37.9220000Z,2021-07-11T23:52:11.7910000Z,0.1207,0.1277,0.1184,0.1226,494341.0,479
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:01:32.1540000Z,2021-07-12T23:21:25.2820000Z,0.1228,0.1251,0.1137,0.1191,765171.0,647
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:00:01.9550000Z,2021-07-13T23:57:01.3360000Z,0.1198,0.1208,0.1131,0.1161,663038.0,734
2021-07-14T00:00:00.0000000Z,2021-07-15T00:00:00.0000000Z,2021-07-14T00:20:36.9020000Z,2021-07-14T23:43:25.1350000Z,0.116,0.1178,0.1076,0.1144,893627.0,940
2021-07-15T00:00:00.0000000Z,2021-07-16T00:00:00.0000000Z,2021-07-15T00:07:42.7600000Z,2021-07-15T23:59:07.8960000Z,0.1138,0.125,0.1125,0.1222,1145122.0,1365
2021-07-16T00:00:00.0000000Z,2021-07-17T00:00:00.0000000Z,2021-07-16T00:00:11.8850000Z,2021-07-16T23:59:47.7430000Z,0.1223,0.155,0.1197,0.1391,35701299.0,31030
2021-07-17T00:00:00.0000000Z,2021-07-18T00:00:00.0000000Z,2021-07-17T00:00:05.9330000Z,2021-07-17T23:59:43.4160000Z,0.1395,0.1757,0.1386,0.1585,39067320.0,39187
2021-07-18T00:00:00.0000000Z,2021-07-19T00:00:00.0000000Z,2021-07-18T00:00:09.0470000Z,2021-07-18T23:59:21.3200000Z,0.1581,0.1626,0.141,0.1428,11856865.0,10982
2021-07-19T00:00:00.0000000Z,2021-07-20T00:00:00.0000000Z,2021-07-19T00:00:32.6970000Z,2021-07-19T23:59:21.1530000Z,0.142,0.1558,0.128,0.13,8068343.0,7309
2021-07-20T00:00:00.0000000Z,2021-07-21T00:00:00.0000000Z,2021-07-20T00:01:16.7540000Z,2021-07-20T23:59:07.7710000Z,0.1305,0.1356,0.1119,0.129,4075577.0,4997
2021-07-21T00:00:00.0000000Z,2021-07-22T00:00:00.0000000Z,2021-07-21T00:00:25.9870000Z,2021-07-21T23:59:59.4740000Z,0.1295,0.1419,0.1202,0.1386,3707494.0,4662
2021-07-22T00:00:00.0000000Z,2021-07-23T00:00:00.0000000Z,2021-07-22T00:00:38.9610000Z,2021-07-22T23:59:02.1180000Z,0.1382,0.148,0.1332,0.1435,3443897.0,3620
2021-07-23T00:00:00.0000000Z,2021-07-24T00:00:00.0000000Z,2021-07-23T00:01:08.0970000Z,2021-07-23T23:59:55.7710000Z,0.144,0.1477,0.1358,0.144,2540761.0,2786
2021-07-24T00:00:00.0000000Z,2021-07-25T00:00:00.0000000Z,2021-07-24T00:00:17.7320000Z,2021-07-24T23:59:01.9630000Z,0.1442,0.1488,0.1414,0.1455,3106020.0,2506
2021-07-25T00:00:00.0000000Z,2021-07-26T00:00:00.0000000Z,2021-07-25T00:00:58.3410000Z,2021-07-25T23:50:56.7620000Z,0.1456,0.1537,0.1403,0.1482,3919202.0,3749
2021-07-26T00:00:00.0000000Z,2021-07-27T00:00:00.0000000Z,2021-07-26T00:01:37.7480000Z,2021-07-26T23:51:11.3320000Z,0.1482,0.172,0.1474,0.1528,4260953.0,4045
2021-07-27T00:00:00.0000000Z,2021-07-28T00:00:00.0000000Z,2021-07-27T00:00:07.5700000Z,2021-07-27T23:54:43.6550000Z,0.1515,0.1674,0.1497,0.1596,4295564.0,5037
2021-07-28T00:00:00.0000000Z,2021-07-29T00:00:00.0000000Z,2021-07-28T00:01:31.7330000Z,2021-07-28T23:59:45.4860000Z,0.1597,0.1669,0.155,0.1612,2315421.0,2191
2021-07-29T00:00:00.0000000Z,2021-07-30T00:00:00.0000000Z,2021-07-29T00:02:01.4930000Z,2021-07-29T23:57:59.7180000Z,0.1605,0.1692,0.1565,0.1677,2744218.0,2653
2021-07-30T00:00:00.0000000Z,2021-07-31T00:00:00.0000000Z,2021-07-30T00:00:22.5060000Z,2021-07-30T23:59:20.4640000Z,0.1683,0.1745,0.1574,0.1735,2186845.0,2517
2021-07-31T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-31T00:01:07.7710000Z,2021-07-31T23:59:58.9280000Z,0.1741,0.1795,0.1672,0.1761,2664386.0,2791
2021-08-01T00:00:00.0000000Z,2021-08-02T00:00:00.0000000Z,2021-08-01T00:01:39.6830000Z,2021-08-01T23:59:16.2080000Z,0.1756,0.1855,0.1672,0.1694,3101358.0,2950
2021-08-02T00:00:00.0000000Z,2021-08-03T00:00:00.0000000Z,2021-08-02T00:01:20.2710000Z,2021-08-02T23:56:41.1130000Z,0.1695,0.1736,0.165,0.1706,1069461.0,1294
2021-08-03T00:00:00.0000000Z,2021-08-04T00:00:00.0000000Z,2021-08-03T00:05:20.1810000Z,2021-08-03T23:49:02.9220000Z,0.1689,0.1718,0.1579,0.1634,1157977.0,1301
2021-08-04T00:00:00.0000000Z,2021-08-05T00:00:00.0000000Z,2021-08-04T00:09:52.7670000Z,2021-08-04T23:53:24.0510000Z,0.1611,0.168,0.1574,0.1661,1485867.0,1437
2021-08-05T00:00:00.0000000Z,2021-08-06T00:00:00.0000000Z,2021-08-05T00:01:29.9430000Z,2021-08-05T23:54:45.6650000Z,0.1667,0.1703,0.1595,0.1688,1424461.0,1678
2021-08-06T00:00:00.0000000Z,2021-08-07T00:00:00.0000000Z,2021-08-06T00:00:22.5000000Z,2021-08-06T23:59:43.2430000Z,0.1688,0.1747,0.165,0.1725,1759206.0,2143
2021-08-07T00:00:00.0000000Z,2021-08-08T00:00:00.0000000Z,2021-08-07T00:01:58.9180000Z,2021-08-07T23:58:06.8560000Z,0.1724,0.188,0.1712,0.1858,3855138.0,5625
2021-08-08T00:00:00.0000000Z,2021-08-09T00:00:00.0000000Z,2021-08-08T00:00:10.3850000Z,2021-08-08T23:58:01.1120000Z,0.1864,0.1895,0.1726,0.1752,2817951.0,3723
2021-08-09T00:00:00.0000000Z,2021-08-10T00:00:00.0000000Z,2021-08-09T00:04:05.7420000Z,2021-08-09T23:54:53.4040000Z,0.1765,0.19,0.1635,0.183,2435459.0,3948
2021-08-10T00:00:00.0000000Z,2021-08-11T00:00:00.0000000Z,2021-08-10T00:00:29.3340000Z,2021-08-10T23:53:43.7900000Z,0.1827,0.1922,0.1777,0.1891,3200707.0,5027
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T00:02:23.6980000Z,2021-08-11T23:59:06.3650000Z,0.1893,0.21,0.1877,0.1953,4203671.0,6980
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:00:28.2160000Z,2021-08-12T23:59:52.9300000Z,0.1951,0.2042,0.1796,0.1879,3254064.0,5335
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:00:07.7610000Z,2021-08-13T23:59:00.9890000Z,0.188,0.2229,0.1855,0.2035,2307914.0,3915
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:00:36.4480000Z,2021-08-14T23:59:34.7490000Z,0.2036,0.2175,0.195,0.2133,3063363.0,6612
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:00:16.9170000Z,2021-08-15T23:57:56.3520000Z,0.2135,0.2199,0.2038,0.2183,2722765.0,5033
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:00:20.2640000Z,2021-08-16T23:59:13.2840000Z,0.2183,0.231,0.2104,0.214,3865832.0,6091
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:00:08.9490000Z,2021-08-17T23:53:35.0970000Z,0.2139,0.2169,0.1942,0.1948,2318779.0,2223
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:00:46.5740000Z,2021-08-18T23:59:59.1580000Z,0.1963,0.1986,0.1823,0.191,2524621.0,2379
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T00:01:13.1050000Z,2021-08-19T23:58:57.8480000Z,0.1913,0.2008,0.1846,0.2008,2600375.0,4368
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:00:16.6610000Z,2021-08-20T23:58:36.5180000Z,0.2011,0.2085,0.1974,0.2076,2883048.0,3518
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:02:09.6060000Z,2021-08-21T23:55:33.8630000Z,0.2081,0.2126,0.2014,0.2052,2748076.0,4402
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:01:32.7500000Z,2021-08-22T23:59:07.1780000Z,0.2053,0.2093,0.1967,0.2044,1399918.0,3719
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:02:45.5300000Z,2021-08-23T23:59:24.7030000Z,0.2055,0.2156,0.2036,0.2137,3352014.0,4502
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:00:12.2530000Z,2021-08-24T23:59:44.9410000Z,0.2142,0.2183,0.1937,0.2004,3164530.0,4766
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:02:29.9440000Z,2021-08-25T23:59:52.9350000Z,0.2004,0.2095,0.1911,0.2084,2504307.0,4611
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:05:14.0040000Z,2021-08-26T23:59:52.5590000Z,0.2081,0.2089,0.1874,0.1907,1976570.0,3721
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:09.4070000Z,2021-08-27T23:55:15.5260000Z,0.1907,0.2,0.1828,0.1997,2533292.0,4196
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:21.0120000Z,2021-08-28T23:56:20.0980000Z,0.1999,0.208,0.193,0.195,1519909.0,3309
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:01:17.9150000Z,2021-08-29T23:59:17.9030000Z,0.1954,0.1981,0.1898,0.1947,1614984.0,3267
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:33.4570000Z,2021-08-30T23:59:56.9720000Z,0.1944,0.1966,0.1872,0.1885,1550043.0,3265
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:14.5650000Z,2021-08-31T23:58:12.8950000Z,0.1885,0.1958,0.1854,0.1925,1987750.0,4720
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:53.0880000Z,2021-09-01T23:59:40.3600000Z,0.192,0.2015,0.188,0.201,1869693.0,3880
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:34.5940000Z,2021-09-02T23:59:50.4290000Z,0.201,0.2073,0.1977,0.2031,1879479.0,3943
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:14.1280000Z,2021-09-03T23:58:32.8230000Z,0.203,0.2183,0.1965,0.2079,3527711.0,6037
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:01:40.1320000Z,2021-09-04T23:58:49.2580000Z,0.2079,0.221,0.2067,0.2173,3449364.0,5920
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:15.1550000Z,2021-09-05T23:59:59.0720000Z,0.2174,0.2436,0.2174,0.2431,6767281.0,10775
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:01:00.2600000Z,2021-09-06T23:55:42.4750000Z,0.2406,0.2429,0.2191,0.2371,4865566.0,7456
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:02:11.8100000Z,2021-09-07T23:59:58.7630000Z,0.237,0.2374,0.1679,0.19,7675590.0,9831
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:18.9150000Z,2021-09-08T23:57:50.1190000Z,0.1905,0.1919,0.1685,0.1863,4873554.0,9033
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:00:29.1470000Z,2021-09-09T23:59:26.3320000Z,0.1865,0.1933,0.182,0.191,2828318.0,6197
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:06.6920000Z,2021-09-10T23:59:21.7160000Z,0.191,0.1969,0.1724,0.178,2902338.0,6651
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:02:18.7290000Z,2021-09-11T23:40:52.9290000Z,0.1784,0.1845,0.1757,0.1805,1574109.0,3415
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:01:52.6280000Z,2021-09-12T23:58:00.2600000Z,0.1809,0.1893,0.1775,0.1864,1896964.0,3641
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:02:00.3910000Z,2021-09-13T23:57:20.9530000Z,0.1864,0.1872,0.1694,0.1781,2659520.0,4791
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:00:38.6240000Z,2021-09-14T23:58:39.4260000Z,0.1779,0.1843,0.1755,0.1835,1476897.0,3251
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:00:29.3270000Z,2021-09-15T23:57:40.0100000Z,0.1836,0.192,0.181,0.189,1849108.0,3651
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:00:27.8650000Z,2021-09-16T23:58:51.7990000Z,0.1889,0.1922,0.1842,0.1903,2367011.0,4016
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:27.8150000Z,2021-09-17T23:54:36.4260000Z,0.1906,0.1906,0.1799,0.1819,2532453.0,4573
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:02:32.1500000Z,2021-09-18T23:59:14.8570000Z,0.1818,0.1874,0.1802,0.1838,2733469.0,2686
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:00:05.0520000Z,2021-09-19T23:58:26.6910000Z,0.1835,0.1846,0.1772,0.1787,1961102.0,2850
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:00:18.0800000Z,2021-09-20T23:59:47.0530000Z,0.179,0.1791,0.149,0.1538,4829526.0,7306
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:00:26.3070000Z,2021-09-21T23:59:56.9200000Z,0.1543,0.1597,0.1378,0.1421,3694102.0,4863
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:00:45.8210000Z,2021-09-22T23:57:12.4620000Z,0.1423,0.1583,0.1388,0.1583,1472242.0,2677
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:32.9260000Z,2021-09-23T23:57:06.8910000Z,0.1585,0.1628,0.1554,0.1628,1953246.0,1851
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:00:41.1690000Z,2021-09-24T23:54:52.5150000Z,0.1629,0.1632,0.1397,0.1488,3266193.0,2752
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:02:34.1680000Z,2021-09-25T23:31:25.3110000Z,0.1495,0.1515,0.1427,0.1475,1078318.0,1577
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:01:21.8130000Z,2021-09-26T23:58:26.1060000Z,0.1473,0.1502,0.1361,0.1465,1267862.0,1994
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:00:22.5210000Z,2021-09-27T23:56:11.4800000Z,0.1465,0.1527,0.1411,0.1411,923258.0,1557
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:03:14.0950000Z,2021-09-28T23:53:07.0960000Z,0.1409,0.144,0.1341,0.1345,692672.0,1350
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:05:12.2210000Z,2021-09-29T23:58:44.4390000Z,0.1349,0.1419,0.1334,0.138,1364981.0,1195
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:05:41.3600000Z,2021-09-30T23:59:01.8320000Z,0.1378,0.1474,0.1373,0.1463,1285594.0,1310
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:34.3710000Z,2021-10-01T23:51:58.3450000Z,0.1468,0.16,0.1443,0.1593,1866749.0,1879
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:01:44.5230000Z,2021-10-02T23:54:52.6500000Z,0.1593,0.1638,0.1555,0.1598,991609.0,1715
