time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T06:08:45.4950000Z,2021-09-24T23:59:52.5030000Z,7.827,7.867,6.007,7.041,4868738.7,109957
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:00.3020000Z,2021-09-25T23:59:55.8710000Z,7.063,7.144,5.17,5.79,2101606.0,42459
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:01.8730000Z,2021-09-26T23:59:50.1470000Z,5.789,5.803,4.635,5.134,1840802.2,27857
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:00:00.1560000Z,2021-09-27T23:59:58.1620000Z,5.119,5.6,5.014,5.219,1022859.5,15184
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:00.3610000Z,2021-09-28T23:59:40.9680000Z,5.237,6.198,5.119,5.375,2138770.2,33857
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:32.1610000Z,2021-09-29T23:59:57.4410000Z,5.374,5.987,5.365,5.562,914630.0,16157
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:00:02.2370000Z,2021-09-30T23:59:57.2340000Z,5.555,6.419,5.547,6.202,1141644.2,22601
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:28.7410000Z,2021-10-01T23:59:58.9710000Z,6.202,8.1,6.139,7.938,1570600.4,34505
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:02.0110000Z,2021-10-02T23:59:51.1840000Z,7.94,8.952,7.501,7.786,2702626.1,55404
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:00:44.4560000Z,2021-10-03T23:59:56.6300000Z,7.789,7.9,7.08,7.7,1093728.8,21041
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:18.2040000Z,2021-10-04T23:59:43.8300000Z,7.702,8.069,6.953,7.13,1099197.4,20126
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:24.0930000Z,2021-10-05T23:59:55.4890000Z,7.132,7.919,7.061,7.854,736247.0,15701
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:00.7230000Z,2021-10-06T23:59:53.8550000Z,7.855,8.45,7.132,7.972,942183.6,25768
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:13.2650000Z,2021-10-07T23:58:15.5810000Z,7.99,8.198,7.493,7.869,441089.0,12352
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:01:24.3010000Z,2021-10-08T23:59:58.8390000Z,7.876,7.892,7.165,7.386,402304.6,8576
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:00.2450000Z,2021-10-09T23:59:58.7290000Z,7.387,7.4,6.775,6.794,279931.8,6593
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:16.2610000Z,2021-10-10T23:59:33.6280000Z,6.787,6.99,6.468,6.555,245739.5,7058
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:47.5880000Z,2021-10-11T23:59:58.9130000Z,6.542,7.148,6.31,6.721,334618.6,10662
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:16.8270000Z,2021-10-12T23:56:55.9280000Z,6.712,6.719,6.09,6.258,245291.5,7698
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:01:39.4250000Z,2021-10-13T23:58:56.5660000Z,6.263,6.52,5.889,6.176,305006.6,8275
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:36.7610000Z,2021-10-14T23:59:26.0740000Z,6.187,7.294,6.187,6.817,1303100.4,33086
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:01.7220000Z,2021-10-15T23:59:50.7440000Z,6.821,7.364,6.454,6.728,545540.5,16504
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:27.4610000Z,2021-10-16T23:59:56.5950000Z,6.73,6.899,6.525,6.631,180691.1,6570
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:01.1450000Z,2021-10-17T23:59:15.8970000Z,6.633,6.687,6.116,6.314,103114.2,4238
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:56.8430000Z,2021-10-18T23:59:36.9960000Z,6.313,6.696,6.0,6.14,227042.6,6931
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:03:13.4780000Z,2021-10-19T23:56:57.6410000Z,6.139,6.229,6.007,6.019,92056.4,2932
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:05.0030000Z,2021-10-20T23:59:52.6850000Z,6.019,7.21,5.952,6.898,658318.7,18767
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:01:41.0230000Z,2021-10-21T23:58:28.8880000Z,6.898,6.96,6.531,6.651,202081.5,6449
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:01:02.3980000Z,2021-10-22T23:56:30.5670000Z,6.641,6.662,6.214,6.38,179710.9,5351
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:02:17.3990000Z,2021-10-23T23:59:57.1740000Z,6.38,6.635,6.219,6.364,158833.9,5420
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:17.8990000Z,2021-10-24T23:58:31.9240000Z,6.364,6.435,6.105,6.182,82437.6,3537
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:19.8230000Z,2021-10-25T23:58:26.4500000Z,6.185,6.887,6.185,6.47,209087.0,5929
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:00.1730000Z,2021-10-26T23:56:32.7480000Z,6.47,6.491,6.032,6.117,211125.8,6642
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:03:48.8680000Z,2021-10-27T23:59:55.5080000Z,6.112,6.4,5.206,5.394,333778.7,9378
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:49.2470000Z,2021-10-28T23:59:55.1100000Z,5.398,5.732,5.224,5.496,594580.1,13546
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:02:47.4590000Z,2021-10-29T23:59:55.8560000Z,5.503,6.85,5.482,6.442,1397838.2,35557
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:42.1600000Z,2021-10-30T23:59:59.0910000Z,6.439,8.21,6.115,7.683,1801552.2,38026
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:00.2040000Z,2021-10-31T23:58:59.0490000Z,7.687,8.377,6.266,6.774,937754.6,28087
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:51.6650000Z,2021-11-01T23:59:31.1440000Z,6.789,6.984,6.284,6.407,348656.0,9952
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:01:12.6400000Z,2021-11-02T23:59:58.7210000Z,6.416,7.161,6.406,7.113,435367.1,11094
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:00.1020000Z,2021-11-03T23:59:47.7260000Z,7.122,7.329,6.453,6.724,437942.2,15299
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:02.6950000Z,2021-11-04T23:59:59.8820000Z,6.724,8.187,6.638,7.146,1028263.1,35076
