time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T10:04:02.2900000Z,2021-06-06T23:58:16.3020000Z,97.3,110.0,94.1,96.9,2090.428,1138
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:00:39.7220000Z,2021-06-07T23:59:06.0270000Z,96.8,100.0,86.1,86.4,4286.383,2536
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:09.6690000Z,2021-06-08T23:59:24.3230000Z,86.4,88.9,73.4,83.1,11062.707,10025
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:23.2380000Z,2021-06-09T23:59:51.7300000Z,83.0,92.7,76.8,92.6,8299.312,9155
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:06.1690000Z,2021-06-10T23:58:40.5500000Z,92.8,103.0,84.8,86.9,8606.348,11314
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:21.4190000Z,2021-06-11T23:59:46.2070000Z,87.2,87.9,78.4,79.5,4984.691,5756
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:42.2220000Z,2021-06-12T23:59:58.0730000Z,79.4,85.0,72.2,78.6,9327.624,13276
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:24.9060000Z,2021-06-13T23:58:36.1450000Z,78.7,84.9,76.2,83.8,5387.175,7131
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:31.8220000Z,2021-06-14T23:59:10.2880000Z,84.1,85.8,81.2,84.7,3512.958,5060
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:04.7990000Z,2021-06-15T23:59:38.5340000Z,84.6,87.6,81.2,85.7,3571.139,5581
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:04.3340000Z,2021-06-16T23:59:59.6360000Z,85.7,92.9,81.0,89.6,11743.768,14955
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:15.5610000Z,2021-06-17T23:52:01.5380000Z,89.5,92.7,83.1,85.8,4565.549,7109
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:02:13.3550000Z,2021-06-18T23:59:49.4500000Z,85.6,85.6,78.0,81.3,3804.485,7105
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:15.6360000Z,2021-06-19T23:59:32.0090000Z,81.0,83.9,78.1,79.7,3062.98,4773
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:01:17.3480000Z,2021-06-20T23:59:32.2090000Z,79.5,80.7,72.5,78.2,3604.851,3825
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:16.4030000Z,2021-06-21T23:59:51.4430000Z,78.1,78.7,55.9,56.3,10868.474,9932
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:24.0100000Z,2021-06-22T23:59:55.2800000Z,56.3,63.7,47.4,55.0,20079.009,15077
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:30.8430000Z,2021-06-23T23:59:59.7690000Z,55.1,71.2,52.7,67.6,20036.234,15808
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:14.4030000Z,2021-06-24T23:59:59.5990000Z,67.7,68.8,62.4,64.3,7632.246,9877
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:01.6530000Z,2021-06-25T23:59:55.4110000Z,64.3,66.8,55.8,56.9,6314.976,9017
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:06.8390000Z,2021-06-26T23:59:58.4810000Z,56.3,59.2,51.5,56.5,5456.253,8580
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:01:42.1040000Z,2021-06-27T23:56:07.0160000Z,56.1,59.7,54.7,59.5,6085.842,6086
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:00:05.3610000Z,2021-06-28T23:59:41.1060000Z,59.8,64.4,58.5,62.2,7190.545,6422
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:35.8620000Z,2021-06-29T23:59:51.7590000Z,62.4,70.7,62.0,66.8,15543.421,7887
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:01:09.1760000Z,2021-06-30T23:57:29.9110000Z,67.0,73.0,61.6,68.1,7369.058,7137
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:41.9050000Z,2021-07-01T23:59:18.7710000Z,68.1,68.1,61.1,62.1,5332.88,7196
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:01:43.6400000Z,2021-07-02T23:59:48.4900000Z,61.9,64.2,57.8,62.3,9188.981,5226
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:00:17.6140000Z,2021-07-03T23:58:17.8340000Z,62.3,68.1,61.1,66.6,6545.767,4015
