time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-05-21T16:30:00.0000000Z,2021-05-21T16:45:00.0000000Z,2021-05-21T16:33:36.2470000Z,2021-05-21T16:44:42.8640000Z,2.311,2.415,2.268,2.328,46639.98,273
2021-05-21T16:45:00.0000000Z,2021-05-21T17:00:00.0000000Z,2021-05-21T16:45:02.3880000Z,2021-05-21T16:59:37.1810000Z,2.342,2.46,2.298,2.43,35574.79,254
2021-05-21T17:00:00.0000000Z,2021-05-21T17:15:00.0000000Z,2021-05-21T17:00:09.8500000Z,2021-05-21T17:14:57.0130000Z,2.43,2.516,2.321,2.412,2766815.45,1796
2021-05-21T17:15:00.0000000Z,2021-05-21T17:30:00.0000000Z,2021-05-21T17:15:08.9790000Z,2021-05-21T17:29:52.6000000Z,2.422,2.461,2.278,2.449,59003.38,321
2021-05-21T17:30:00.0000000Z,2021-05-21T17:45:00.0000000Z,2021-05-21T17:30:02.0910000Z,2021-05-21T17:44:55.4180000Z,2.459,2.537,2.396,2.396,49320.05,304
2021-05-21T17:45:00.0000000Z,2021-05-21T18:00:00.0000000Z,2021-05-21T17:45:07.5480000Z,2021-05-21T17:59:36.7250000Z,2.4,2.434,2.318,2.338,41086.27,207
2021-05-21T18:00:00.0000000Z,2021-05-21T18:15:00.0000000Z,2021-05-21T18:00:05.1960000Z,2021-05-21T18:14:53.1140000Z,2.36,2.59,2.35,2.579,54711.84,328
2021-05-21T18:15:00.0000000Z,2021-05-21T18:30:00.0000000Z,2021-05-21T18:15:00.0440000Z,2021-05-21T18:29:34.1310000Z,2.589,2.74,2.527,2.691,120876.71,522
2021-05-21T18:30:00.0000000Z,2021-05-21T18:45:00.0000000Z,2021-05-21T18:30:01.6050000Z,2021-05-21T18:44:50.6660000Z,2.691,2.701,2.43,2.455,39586.69,191
2021-05-21T18:45:00.0000000Z,2021-05-21T19:00:00.0000000Z,2021-05-21T18:45:01.2510000Z,2021-05-21T18:59:52.8390000Z,2.455,2.611,2.43,2.451,29741.95,144
2021-05-21T19:00:00.0000000Z,2021-05-21T19:15:00.0000000Z,2021-05-21T19:00:02.5810000Z,2021-05-21T19:14:48.8480000Z,2.45,2.63,2.45,2.482,20831.13,283
2021-05-21T19:15:00.0000000Z,2021-05-21T19:30:00.0000000Z,2021-05-21T19:15:12.0790000Z,2021-05-21T19:29:57.4020000Z,2.502,2.824,2.502,2.797,86869.0,590
2021-05-21T19:30:00.0000000Z,2021-05-21T19:45:00.0000000Z,2021-05-21T19:30:04.1100000Z,2021-05-21T19:44:56.8730000Z,2.81,2.92,2.743,2.893,76874.79,594
2021-05-21T19:45:00.0000000Z,2021-05-21T20:00:00.0000000Z,2021-05-21T19:45:03.4020000Z,2021-05-21T19:59:53.7150000Z,2.9,2.95,2.706,2.762,63438.71,388
2021-05-21T20:00:00.0000000Z,2021-05-21T20:15:00.0000000Z,2021-05-21T20:00:07.7430000Z,2021-05-21T20:14:58.9990000Z,2.752,3.03,2.675,3.02,86477.87,484
2021-05-21T20:15:00.0000000Z,2021-05-21T20:30:00.0000000Z,2021-05-21T20:15:03.3380000Z,2021-05-21T20:29:43.6150000Z,3.027,3.058,2.757,2.769,90264.97,502
2021-05-21T20:30:00.0000000Z,2021-05-21T20:45:00.0000000Z,2021-05-21T20:30:05.0220000Z,2021-05-21T20:44:54.2180000Z,2.769,2.919,2.718,2.76,34192.07,196
2021-05-21T20:45:00.0000000Z,2021-05-21T21:00:00.0000000Z,2021-05-21T20:45:03.1480000Z,2021-05-21T20:59:51.2050000Z,2.73,2.89,2.625,2.865,50454.63,264
2021-05-21T21:00:00.0000000Z,2021-05-21T21:15:00.0000000Z,2021-05-21T21:00:01.4260000Z,2021-05-21T21:14:59.6300000Z,2.894,3.296,2.753,3.296,152304.92,879
