time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-15T06:00:00.0000000Z,2021-03-15T06:15:00.0000000Z,2021-03-15T06:00:01.2870000Z,2021-03-15T06:14:59.9780000Z,49.4998,50.0,5.1,13.8101,8049574.28,250902
2021-03-15T06:15:00.0000000Z,2021-03-15T06:30:00.0000000Z,2021-03-15T06:15:00.0170000Z,2021-03-15T06:29:59.9880000Z,13.8101,17.6,13.55,16.4714,2304871.84,71113
2021-03-15T06:30:00.0000000Z,2021-03-15T06:45:00.0000000Z,2021-03-15T06:30:00.0230000Z,2021-03-15T06:44:59.9540000Z,16.4307,18.7,15.8137,16.3387,2181656.33,62172
2021-03-15T06:45:00.0000000Z,2021-03-15T07:00:00.0000000Z,2021-03-15T06:45:00.0870000Z,2021-03-15T06:59:59.9820000Z,16.3386,18.6737,16.2005,18.5925,1148305.48,41121
2021-03-15T07:00:00.0000000Z,2021-03-15T07:15:00.0000000Z,2021-03-15T07:00:00.0240000Z,2021-03-15T07:14:59.9580000Z,18.6393,28.4826,18.56,22.6573,4938215.77,145407
2021-03-15T07:15:00.0000000Z,2021-03-15T07:30:00.0000000Z,2021-03-15T07:15:00.0560000Z,2021-03-15T07:29:59.9790000Z,22.6002,26.58,22.1,23.9775,2285668.53,77233
2021-03-15T07:30:00.0000000Z,2021-03-15T07:45:00.0000000Z,2021-03-15T07:30:00.0540000Z,2021-03-15T07:44:59.8600000Z,23.9479,24.5,20.6,23.7,2032593.47,67061
2021-03-15T07:45:00.0000000Z,2021-03-15T08:00:00.0000000Z,2021-03-15T07:45:00.1320000Z,2021-03-15T07:59:59.9680000Z,23.7,25.09,22.2,22.4282,1478305.17,48644
2021-03-15T08:00:00.0000000Z,2021-03-15T08:15:00.0000000Z,2021-03-15T08:00:00.0700000Z,2021-03-15T08:14:59.9190000Z,22.358,24.6,22.324,24.3369,877686.06,32253
2021-03-15T08:15:00.0000000Z,2021-03-15T08:30:00.0000000Z,2021-03-15T08:15:00.0600000Z,2021-03-15T08:29:59.9960000Z,24.3018,27.9497,24.05,27.9489,1832282.8,58450
2021-03-15T08:30:00.0000000Z,2021-03-15T08:45:00.0000000Z,2021-03-15T08:30:00.0870000Z,2021-03-15T08:44:59.9960000Z,27.9488,35.23,26.55,33.1982,3683176.46,132254
2021-03-15T08:45:00.0000000Z,2021-03-15T09:00:00.0000000Z,2021-03-15T08:45:00.0410000Z,2021-03-15T08:59:59.9900000Z,33.1982,47.1556,32.2729,38.5035,5828506.18,233958
2021-03-15T09:00:00.0000000Z,2021-03-15T09:15:00.0000000Z,2021-03-15T09:00:00.0630000Z,2021-03-15T09:14:59.9800000Z,38.6808,38.7052,31.3048,34.7675,2886090.95,115658
2021-03-15T09:15:00.0000000Z,2021-03-15T09:30:00.0000000Z,2021-03-15T09:15:00.0500000Z,2021-03-15T09:29:59.9770000Z,34.7677,34.908,27.0082,31.9166,3419659.41,114947
2021-03-15T09:30:00.0000000Z,2021-03-15T09:45:00.0000000Z,2021-03-15T09:30:00.0490000Z,2021-03-15T09:44:29.3300000Z,31.9721,34.4,29.11,31.7405,1935247.92,75301
2021-03-15T09:45:00.0000000Z,2021-03-15T10:00:00.0000000Z,2021-03-15T09:46:22.5450000Z,2021-03-15T09:59:59.9370000Z,32.0,32.2,30.3,30.8,726959.04,32366
2021-03-15T10:00:00.0000000Z,2021-03-15T10:15:00.0000000Z,2021-03-15T10:00:00.0760000Z,2021-03-15T10:14:59.9120000Z,30.8446,30.85,26.2299,29.7806,1851173.72,71109
2021-03-15T10:15:00.0000000Z,2021-03-15T10:30:00.0000000Z,2021-03-15T10:15:00.1820000Z,2021-03-15T10:29:59.9970000Z,29.6571,29.7645,26.4551,27.2,835832.59,35984
2021-03-15T10:30:00.0000000Z,2021-03-15T10:45:00.0000000Z,2021-03-15T10:30:00.0020000Z,2021-03-15T10:44:59.9580000Z,27.2,32.9,27.1016,31.9999,1476888.08,61006
2021-03-15T10:45:00.0000000Z,2021-03-15T11:00:00.0000000Z,2021-03-15T10:45:00.1300000Z,2021-03-15T10:59:59.8920000Z,31.7418,32.4884,29.5654,30.5547,1010970.34,42998
2021-03-15T11:00:00.0000000Z,2021-03-15T11:15:00.0000000Z,2021-03-15T11:00:00.0110000Z,2021-03-15T11:14:59.7560000Z,30.5547,31.74,28.932,31.0388,773652.18,36659
2021-03-15T11:15:00.0000000Z,2021-03-15T11:30:00.0000000Z,2021-03-15T11:15:00.0790000Z,2021-03-15T11:29:59.7040000Z,31.0388,31.9014,30.1771,30.4,581526.11,25884
2021-03-15T11:30:00.0000000Z,2021-03-15T11:45:00.0000000Z,2021-03-15T11:30:00.1690000Z,2021-03-15T11:44:59.9710000Z,30.4411,31.47,29.321,29.5,490582.83,24642
2021-03-15T11:45:00.0000000Z,2021-03-15T12:00:00.0000000Z,2021-03-15T11:45:00.0550000Z,2021-03-15T11:59:59.9520000Z,29.5722,30.0,28.257,28.5019,505459.2,25251
2021-03-15T12:00:00.0000000Z,2021-03-15T12:15:00.0000000Z,2021-03-15T12:00:00.1580000Z,2021-03-15T12:14:59.8680000Z,28.5,30.5,28.5,30.1643,454707.55,20024
2021-03-15T12:15:00.0000000Z,2021-03-15T12:30:00.0000000Z,2021-03-15T12:15:00.2370000Z,2021-03-15T12:29:59.4640000Z,30.1669,30.9987,29.0,29.7082,383331.22,19403
2021-03-15T12:30:00.0000000Z,2021-03-15T12:45:00.0000000Z,2021-03-15T12:30:00.1630000Z,2021-03-15T12:44:59.9000000Z,29.7116,29.7449,28.5001,29.1352,248719.44,13055
2021-03-15T12:45:00.0000000Z,2021-03-15T13:00:00.0000000Z,2021-03-15T12:45:00.0820000Z,2021-03-15T12:59:59.8000000Z,29.088,29.5,28.5,28.5,203307.26,12040
2021-03-15T13:00:00.0000000Z,2021-03-15T13:15:00.0000000Z,2021-03-15T13:00:00.1420000Z,2021-03-15T13:14:59.9410000Z,28.5002,28.5201,25.5,26.0937,967625.92,39156
2021-03-15T13:15:00.0000000Z,2021-03-15T13:30:00.0000000Z,2021-03-15T13:15:00.0620000Z,2021-03-15T13:29:59.9230000Z,26.0513,27.368,23.2563,23.6993,1036318.98,38309
2021-03-15T13:30:00.0000000Z,2021-03-15T13:45:00.0000000Z,2021-03-15T13:30:00.1190000Z,2021-03-15T13:44:59.9850000Z,23.6993,25.2492,23.0,25.0492,1317093.31,39306
2021-03-15T13:45:00.0000000Z,2021-03-15T14:00:00.0000000Z,2021-03-15T13:45:00.0580000Z,2021-03-15T13:59:59.9250000Z,25.0491,25.5,23.3333,23.5571,620584.02,23518
2021-03-15T14:00:00.0000000Z,2021-03-15T14:15:00.0000000Z,2021-03-15T14:00:00.0680000Z,2021-03-15T14:14:12.8830000Z,23.5563,25.1,23.3336,25.0,351950.28,15241
2021-03-15T14:15:00.0000000Z,2021-03-15T14:30:00.0000000Z,2021-03-15T14:17:08.1480000Z,2021-03-15T14:29:59.9620000Z,24.9864,25.1,23.5,24.0186,254399.63,12282
2021-03-15T14:30:00.0000000Z,2021-03-15T14:45:00.0000000Z,2021-03-15T14:30:00.0680000Z,2021-03-15T14:44:59.7780000Z,24.0326,24.4079,22.8,23.5,373218.15,15748
2021-03-15T14:45:00.0000000Z,2021-03-15T15:00:00.0000000Z,2021-03-15T14:45:00.1450000Z,2021-03-15T14:59:59.8830000Z,23.5452,23.6,21.2386,21.8966,874026.35,25067
2021-03-15T15:00:00.0000000Z,2021-03-15T15:15:00.0000000Z,2021-03-15T15:00:00.1320000Z,2021-03-15T15:14:59.9960000Z,21.8768,22.8655,21.6589,22.5019,466013.29,16293
2021-03-15T15:15:00.0000000Z,2021-03-15T15:30:00.0000000Z,2021-03-15T15:15:00.2190000Z,2021-03-15T15:29:59.9330000Z,22.5019,25.5,22.5001,25.1938,848424.24,31115
2021-03-15T15:30:00.0000000Z,2021-03-15T15:45:00.0000000Z,2021-03-15T15:30:00.0760000Z,2021-03-15T15:44:59.9750000Z,25.1,25.1938,23.5222,24.6945,608165.92,20231
