time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-19T06:00:01.9850000Z,2021-02-28T23:59:59.3460000Z,2.49,3.0,0.8255,0.9752,324789194.64,1664206
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:04.9900000Z,2021-03-31T23:59:57.8240000Z,0.975,1.607,0.86,1.1339,447860226.83,1809875
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:00.3240000Z,2021-04-30T23:59:58.4670000Z,1.1338,6.1,0.914,4.3048,818429149.82,4187363
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:12.5040000Z,2021-05-31T23:59:59.0080000Z,4.3068,8.49,1.8652,4.1396,432460329.82,5840997
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:01.1870000Z,2021-06-30T23:59:59.1690000Z,4.1394,4.6061,1.5688,1.9372,177975290.83,1799019
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:05.3670000Z,2021-07-31T23:59:58.5120000Z,1.9372,2.45,1.4448,2.0163,219347664.84,1340666
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:20.1600000Z,2021-08-31T23:59:50.4870000Z,2.0163,3.2971,1.8813,2.634,203265706.99,1252366
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:16.3140000Z,2021-09-30T23:59:35.6190000Z,2.628,3.093,1.407,1.716,102971069.96,605452
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:01.5940000Z,2021-10-31T23:59:55.3740000Z,1.716,2.454,1.673,2.004,102622453.2,549360
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:05.7730000Z,2021-11-30T23:59:57.1740000Z,2.005,2.356,1.604,1.728,71899869.6,473131
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:17.4790000Z,2021-12-02T16:08:49.9350000Z,1.73,1.801,1.661,1.714,2554985.4,14566
