time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-16T09:00:00.0000000Z,2021-03-16T09:15:00.0000000Z,2021-03-16T09:00:00.0000000Z,2021-03-16T09:14:59.9640000Z,1272.0,6450.0,1272.0,4027.55,6707.68542,85852
2021-03-16T09:15:00.0000000Z,2021-03-16T09:30:00.0000000Z,2021-03-16T09:15:00.0680000Z,2021-03-16T09:29:59.7560000Z,4010.52,4100.0,3450.0,3700.0,2070.88547,21048
2021-03-16T09:30:00.0000000Z,2021-03-16T09:45:00.0000000Z,2021-03-16T09:30:00.0560000Z,2021-03-16T09:44:59.9520000Z,3690.02,3700.62,3009.79,3279.15,2116.55929,15659
2021-03-16T09:45:00.0000000Z,2021-03-16T10:00:00.0000000Z,2021-03-16T09:45:00.3340000Z,2021-03-16T09:59:59.9980000Z,3279.14,3666.23,3104.38,3287.47,1234.70722,11381
2021-03-16T10:00:00.0000000Z,2021-03-16T10:15:00.0000000Z,2021-03-16T10:00:00.5170000Z,2021-03-16T10:14:59.0480000Z,3280.48,3650.0,3269.06,3499.99,1035.53675,8829
2021-03-16T10:15:00.0000000Z,2021-03-16T10:30:00.0000000Z,2021-03-16T10:15:00.1330000Z,2021-03-16T10:29:59.7640000Z,3499.99,3630.74,3255.3,3379.62,647.2902,6151
2021-03-16T10:30:00.0000000Z,2021-03-16T10:45:00.0000000Z,2021-03-16T10:30:00.4170000Z,2021-03-16T10:44:59.2880000Z,3379.62,3425.0,3281.0,3318.99,316.3952,3240
2021-03-16T10:45:00.0000000Z,2021-03-16T11:00:00.0000000Z,2021-03-16T10:45:03.8170000Z,2021-03-16T10:59:59.3320000Z,3318.99,3335.0,3141.33,3275.97,425.86342,4131
2021-03-16T11:00:00.0000000Z,2021-03-16T11:15:00.0000000Z,2021-03-16T11:00:00.0730000Z,2021-03-16T11:14:59.2320000Z,3275.99,3400.0,3170.0,3170.0,330.50231,3530
2021-03-16T11:15:00.0000000Z,2021-03-16T11:30:00.0000000Z,2021-03-16T11:15:02.0280000Z,2021-03-16T11:29:59.9630000Z,3170.0,3200.0,2840.0,2840.03,700.34149,4899
2021-03-16T11:30:00.0000000Z,2021-03-16T11:45:00.0000000Z,2021-03-16T11:30:00.3030000Z,2021-03-16T11:44:59.8180000Z,2849.88,3042.0,2626.21,2779.39,1169.30671,7238
2021-03-16T11:45:00.0000000Z,2021-03-16T12:00:00.0000000Z,2021-03-16T11:45:00.9400000Z,2021-03-16T11:59:58.8260000Z,2779.4,2941.64,2743.14,2909.99,408.51689,3634
2021-03-16T12:00:00.0000000Z,2021-03-16T12:15:00.0000000Z,2021-03-16T12:00:00.0750000Z,2021-03-16T12:14:57.7340000Z,2910.0,3005.65,2786.0,2899.18,538.25147,3756
2021-03-16T12:15:00.0000000Z,2021-03-16T12:30:00.0000000Z,2021-03-16T12:15:01.1050000Z,2021-03-16T12:29:57.6940000Z,2899.12,2987.99,2833.66,2960.71,264.95648,2361
2021-03-16T12:30:00.0000000Z,2021-03-16T12:45:00.0000000Z,2021-03-16T12:30:00.4730000Z,2021-03-16T12:44:59.8970000Z,2960.72,2990.0,2870.63,2910.1,268.02533,2500
2021-03-16T12:45:00.0000000Z,2021-03-16T13:00:00.0000000Z,2021-03-16T12:45:00.0900000Z,2021-03-16T12:59:56.3680000Z,2922.55,2922.55,2786.47,2860.87,201.07983,1968
2021-03-16T13:00:00.0000000Z,2021-03-16T13:15:00.0000000Z,2021-03-16T13:00:00.3250000Z,2021-03-16T13:14:59.7360000Z,2860.88,2869.89,2786.3,2836.73,181.28686,1637
2021-03-16T13:15:00.0000000Z,2021-03-16T13:30:00.0000000Z,2021-03-16T13:15:00.4990000Z,2021-03-16T13:29:59.4360000Z,2830.02,2863.02,2803.44,2830.3,141.02037,1486
2021-03-16T13:30:00.0000000Z,2021-03-16T13:45:00.0000000Z,2021-03-16T13:30:01.9730000Z,2021-03-16T13:44:58.5240000Z,2830.0,2839.31,2581.63,2650.01,273.12565,2364
2021-03-16T13:45:00.0000000Z,2021-03-16T14:00:00.0000000Z,2021-03-16T13:45:00.9230000Z,2021-03-16T13:59:59.6070000Z,2653.05,2738.97,2591.83,2591.83,291.39179,2327
2021-03-16T14:00:00.0000000Z,2021-03-16T14:15:00.0000000Z,2021-03-16T14:00:02.2930000Z,2021-03-16T14:14:57.6040000Z,2591.83,2716.77,2548.0,2649.52,314.0705,2843
2021-03-16T14:15:00.0000000Z,2021-03-16T14:30:00.0000000Z,2021-03-16T14:15:00.5830000Z,2021-03-16T14:29:59.5230000Z,2649.52,2670.05,2551.0,2602.13,168.19785,1532
2021-03-16T14:30:00.0000000Z,2021-03-16T14:45:00.0000000Z,2021-03-16T14:30:04.6280000Z,2021-03-16T14:44:58.7690000Z,2602.21,2602.21,2405.0,2430.02,348.81798,2483
2021-03-16T14:45:00.0000000Z,2021-03-16T15:00:00.0000000Z,2021-03-16T14:45:03.0660000Z,2021-03-16T14:59:58.2900000Z,2430.02,2430.03,2165.11,2199.92,497.20282,2990
2021-03-16T15:00:00.0000000Z,2021-03-16T15:15:00.0000000Z,2021-03-16T15:00:00.2710000Z,2021-03-16T15:14:58.0800000Z,2199.95,2350.0,2182.04,2244.89,415.54775,2612
2021-03-16T15:15:00.0000000Z,2021-03-16T15:30:00.0000000Z,2021-03-16T15:15:01.3940000Z,2021-03-16T15:29:58.7740000Z,2252.53,2430.0,2225.5,2429.98,247.74455,1731
2021-03-16T15:30:00.0000000Z,2021-03-16T15:45:00.0000000Z,2021-03-16T15:30:00.5210000Z,2021-03-16T15:44:59.7520000Z,2415.04,2500.0,2325.0,2325.0,379.81576,2739
2021-03-16T15:45:00.0000000Z,2021-03-16T16:00:00.0000000Z,2021-03-16T15:45:00.2700000Z,2021-03-16T15:59:58.0280000Z,2325.0,2437.02,2272.11,2361.87,226.91983,1810
2021-03-16T16:00:00.0000000Z,2021-03-16T16:15:00.0000000Z,2021-03-16T16:00:00.1210000Z,2021-03-16T16:14:57.4950000Z,2361.87,2550.0,2361.87,2457.8,229.56208,1617
2021-03-16T16:15:00.0000000Z,2021-03-16T16:30:00.0000000Z,2021-03-16T16:15:06.6250000Z,2021-03-16T16:29:59.3660000Z,2442.98,2580.0,2442.98,2547.9,253.94705,2036
2021-03-16T16:30:00.0000000Z,2021-03-16T16:45:00.0000000Z,2021-03-16T16:30:02.6610000Z,2021-03-16T16:44:59.8630000Z,2547.9,2995.0,2540.03,2934.15,778.68734,6542
2021-03-16T16:45:00.0000000Z,2021-03-16T17:00:00.0000000Z,2021-03-16T16:45:01.5450000Z,2021-03-16T16:59:59.5050000Z,2935.0,3268.16,2755.0,3082.43,661.67208,6087
2021-03-16T17:00:00.0000000Z,2021-03-16T17:15:00.0000000Z,2021-03-16T17:00:00.0110000Z,2021-03-16T17:14:59.8840000Z,3082.42,3330.0,3040.93,3330.0,675.19827,6626
2021-03-16T17:15:00.0000000Z,2021-03-16T17:30:00.0000000Z,2021-03-16T17:15:00.1310000Z,2021-03-16T17:29:59.1450000Z,3330.0,3600.0,3150.94,3351.35,1306.26707,12335
2021-03-16T17:30:00.0000000Z,2021-03-16T17:45:00.0000000Z,2021-03-16T17:30:01.5030000Z,2021-03-16T17:44:59.7960000Z,3373.55,3430.0,2810.0,3149.95,892.85992,8039
2021-03-16T17:45:00.0000000Z,2021-03-16T18:00:00.0000000Z,2021-03-16T17:45:00.7820000Z,2021-03-16T17:59:58.9240000Z,3149.57,3180.01,2768.0,3000.0,514.05081,5190
2021-03-16T18:00:00.0000000Z,2021-03-16T18:15:00.0000000Z,2021-03-16T18:00:00.4010000Z,2021-03-16T18:14:59.7700000Z,2999.99,3100.0,2850.0,2887.44,391.54209,3744
2021-03-16T18:15:00.0000000Z,2021-03-16T18:30:00.0000000Z,2021-03-16T18:15:00.4480000Z,2021-03-16T18:29:59.6590000Z,2887.44,2930.0,2750.0,2900.93,272.01665,2610
2021-03-16T18:30:00.0000000Z,2021-03-16T18:45:00.0000000Z,2021-03-16T18:30:01.4520000Z,2021-03-16T18:44:59.8590000Z,2904.26,3200.0,2904.26,3015.0,415.20456,5426
2021-03-16T18:45:00.0000000Z,2021-03-16T19:00:00.0000000Z,2021-03-16T18:45:01.2540000Z,2021-03-16T18:59:59.7580000Z,3015.0,3070.35,2950.03,3022.71,180.71034,2207
2021-03-16T19:00:00.0000000Z,2021-03-16T19:15:00.0000000Z,2021-03-16T19:00:03.9110000Z,2021-03-16T19:14:57.4690000Z,3018.82,3037.02,2916.0,2916.0,111.38106,1351
2021-03-16T19:15:00.0000000Z,2021-03-16T19:30:00.0000000Z,2021-03-16T19:15:02.6860000Z,2021-03-16T19:29:59.7550000Z,2916.0,3019.0,2910.0,2967.24,94.18475,1114
